,entity/cn,,entity/dcn,entity/f/0/fId,entity/f/0/fn,entity/f/1/fId,entity/f/1/fn,entity/f/2/fId,entity/f/2/fn,entity/f/3/fId,entity/f/3/fn,entity/f/4/fId,entity/f/4/fn,entity/f/5/fId,entity/f/5/fn,entity/f/6/fId,entity/f/6/fn,entity/f/7/fId,entity/f/7/fn,entity/f/8/fId,entity/f/8/fn,entity/f/9/fId,entity/f/9/fn,entity/f/10/fId,entity/f/10/fn,entity/f/11/fId,entity/f/11/fn,entity/f/12/fId,entity/f/12/fn,entity/f/13/fId,entity/f/13/fn,entity/f/14/fId,entity/f/14/fn,entity/f/15/fId,entity/f/15/fn,entity/f/16/fId,entity/f/16/fn,entity/f/17/fId,entity/f/17/fn,entity/f/18/fId,entity/f/18/fn,entity/e,entity/extended/dn,entity/extended/sn,entity/extended/pc,entity/ty,entity/id,entity/cc,entity/ecc,displayedTitle,publicationCount,citationCount,entity/f/19/fId,entity/f/19/fn
conf/,cvpr,conf/cvpr,CVPR: Computer Vision and Pattern Recognition,31972630,Computer vision,178980831,Pattern recognition,11413529,Algorithm,41008148,Computer Science,9417928,Image processing,21442007,Graphics,119857082,Machine learning,49774154,Multimedia,104267543,Signal processing,154945302,Artificial intelligence,34413123,Robotics,45374587,Computation,87868495,Information processing,5339829,Machine vision,36464697,Visualization,77088390,Database,46312422,Communication,77660652,Computer graphics,90509273,Robot,"{""DN"":""Computer Vision and Pattern Recognition"",""SN"":""CVPR"",""PC"":11064}",Computer Vision and Pattern Recognition,CVPR,11064,3,1158167855,471948,471948,CVPR: Computer Vision and Pattern Recognition,0,0,115901376,Automation
conf/,wsdm,conf/wsdm,WSDM: Web Search and Data Mining,124101348,Data mining,119857082,Machine learning,41008148,Computer Science,23123220,Information retrieval,518677369,Social media,136764020,World Wide Web,56739046,Knowledge management,154945302,Artificial intelligence,77088390,Database,87868495,Information processing,11413529,Algorithm,195807954,Information extraction,45374587,Computation,44291984,Question answering,86256295,Social network,49774154,Multimedia,195324797,Natural language,197046077,Web mining,46312422,Communication,"{""DN"":""Web Search and Data Mining"",""SN"":""WSDM"",""PC"":645}",Web Search and Data Mining,WSDM,645,3,1120384002,19550,19550,WSDM: Web Search and Data Mining,0,0,,
conf/,aaai,conf/aaai,AAAI: National Conference on Artificial Intelligence,154945302,Artificial intelligence,41008148,Computer Science,11413529,Algorithm,119857082,Machine learning,45374587,Computation,46312422,Communication,124246873,Semantics,34413123,Robotics,87868495,Information processing,77088390,Database,124101348,Data mining,195324797,Natural language,90509273,Robot,115901376,Automation,49774154,Multimedia,115286129,Cybernetics,23123220,Information retrieval,139502532,Computational intelligence,115903868,Software Engineering,"{""DN"":""National Conference on Artificial Intelligence"",""SN"":""AAAI"",""PC"":11245}",National Conference on Artificial Intelligence,AAAI,11245,3,1184914352,185149,185149,AAAI: National Conference on Artificial Intelligence,0,0,,
conf/,chi,conf/chi,CHI: Human Factors in Computing Systems,46312422,Communication,41008148,Computer Science,36464697,Visualization,21442007,Graphics,49774154,Multimedia,77088390,Database,11413529,Algorithm,154945302,Artificial intelligence,121017731,Information technology,45374587,Computation,172195944,Ubiquitous computing,77660652,Computer graphics,119857082,Machine learning,115903868,Software Engineering,13854087,Interaction design,87868495,Information processing,194969405,Virtual reality,518677369,Social media,95831776,Information science,"{""DN"":""Human Factors in Computing Systems"",""SN"":""CHI"",""PC"":14225}",Human Factors in Computing Systems,CHI,14225,3,1163450153,309711,309711,CHI: Human Factors in Computing Systems,0,0,,
conf/,coling,conf/coling,COLING: International Conference on Computational Linguistics,155092808,Computational linguistics,195324797,Natural language,204321447,Natural language processing,41008148,Computer Science,154945302,Artificial intelligence,124246873,Semantics,119857082,Machine learning,46312422,Communication,203005215,Machine translation,23123220,Information retrieval,11413529,Algorithm,45374587,Computation,87868495,Information processing,77088390,Database,195807954,Information extraction,124101348,Data mining,44291984,Question answering,49774154,Multimedia,56739046,Knowledge management,"{""DN"":""International Conference on Computational Linguistics"",""SN"":""COLING"",""PC"":5171}",International Conference on Computational Linguistics,COLING,5171,3,1169674987,73032,73032,COLING: International Conference on Computational Linguistics,0,0,,
conf/,jcdl,conf/jcdl,JCDL: ACM/IEEE Joint Conference on Digital Libraries,41008148,Computer Science,23123220,Information retrieval,49774154,Multimedia,77088390,Database,95831776,Information science,46312422,Communication,124101348,Data mining,154945302,Artificial intelligence,36464697,Visualization,56739046,Knowledge management,121017731,Information technology,87868495,Information processing,136764020,World Wide Web,11413529,Algorithm,119857082,Machine learning,124246873,Semantics,195324797,Natural language,128487930,Information management,45374587,Computation,"{""DN"":""ACM/IEEE Joint Conference on Digital Libraries"",""SN"":""JCDL"",""PC"":1729}",ACM/IEEE Joint Conference on Digital Libraries,JCDL,1729,3,1169258207,15615,15615,JCDL: ACM/IEEE Joint Conference on Digital Libraries,0,0,,
conf/,emnlp,conf/emnlp,EMNLP: Empirical Methods in Natural Language Processing,195324797,Natural language,204321447,Natural language processing,155092808,Computational linguistics,119857082,Machine learning,41008148,Computer Science,154945302,Artificial intelligence,11413529,Algorithm,23123220,Information retrieval,124246873,Semantics,203005215,Machine translation,87868495,Information processing,124101348,Data mining,195807954,Information extraction,46312422,Communication,45374587,Computation,77088390,Database,44291984,Question answering,56739046,Knowledge management,71472368,Text mining,"{""DN"":""Empirical Methods in Natural Language Processing"",""SN"":""EMNLP"",""PC"":2340}",Empirical Methods in Natural Language Processing,EMNLP,2340,3,1192655580,61435,61435,EMNLP: Empirical Methods in Natural Language Processing,0,0,,
conf/,ecir,conf/ecir,ECIR: European Conference on Information Retrieval,23123220,Information retrieval,41008148,Computer Science,49774154,Multimedia,56739046,Knowledge management,124101348,Data mining,154945302,Artificial intelligence,119857082,Machine learning,87868495,Information processing,77088390,Database,195324797,Natural language,518677369,Social media,11413529,Algorithm,95831776,Information science,46312422,Communication,136764020,World Wide Web,124246873,Semantics,155092808,Computational linguistics,121017731,Information technology,204321447,Natural language processing,"{""DN"":""European Conference on Information Retrieval"",""SN"":""ECIR"",""PC"":1235}",European Conference on Information Retrieval,ECIR,1235,3,1180513217,12749,12749,ECIR: European Conference on Information Retrieval,0,0,,
conf/,lrec,conf/lrec,LREC: Language Resources and Evaluation,155092808,Computational linguistics,195324797,Natural language,204321447,Natural language processing,41008148,Computer Science,46312422,Communication,154945302,Artificial intelligence,124246873,Semantics,119857082,Machine learning,77088390,Database,23123220,Information retrieval,45374587,Computation,203005215,Machine translation,11413529,Algorithm,49774154,Multimedia,121017731,Information technology,124101348,Data mining,87868495,Information processing,195807954,Information extraction,28490314,Speech recognition,"{""DN"":""Language Resources and Evaluation"",""SN"":""LREC"",""PC"":4652}",Language Resources and Evaluation,LREC,4652,3,1164963593,42145,42145,LREC: Language Resources and Evaluation,0,0,,
conf/,naacl,conf/naacl,NAACL: North American Chapter of the Association for Computational Linguistics,155092808,Computational linguistics,195324797,Natural language,204321447,Natural language processing,41008148,Computer Science,119857082,Machine learning,154945302,Artificial intelligence,203005215,Machine translation,124246873,Semantics,11413529,Algorithm,23123220,Information retrieval,46312422,Communication,77088390,Database,87868495,Information processing,195807954,Information extraction,124101348,Data mining,44291984,Question answering,45374587,Computation,28490314,Speech recognition,49774154,Multimedia,"{""DN"":""North American Chapter of the Association for Computational Linguistics"",""SN"":""NAACL"",""PC"":2415}",North American Chapter of the Association for Computational Linguistics,NAACL,2415,3,1173951661,53492,53492,NAACL: North American Chapter of the Association for Computational Linguistics,0,0,,
conf/,ijcai,conf/ijcai,IJCAI: International Joint Conference on Artificial Intelligence,154945302,Artificial intelligence,41008148,Computer Science,11413529,Algorithm,45374587,Computation,119857082,Machine learning,46312422,Communication,124246873,Semantics,87868495,Information processing,77088390,Database,34413123,Robotics,124101348,Data mining,195324797,Natural language,115901376,Automation,90509273,Robot,49774154,Multimedia,115286129,Cybernetics,23123220,Information retrieval,139502532,Computational intelligence,115903868,Software Engineering,"{""DN"":""International Joint Conference on Artificial Intelligence"",""SN"":""IJCAI"",""PC"":7598}",International Joint Conference on Artificial Intelligence,IJCAI,7598,3,1203999783,180055,180055,IJCAI: International Joint Conference on Artificial Intelligence,0,0,,
conf/,mir,conf/mir,MIR: Multimedia Information Retrieval,77088390,Database,60644358,Bioinformatics,46312422,Communication,11413529,Algorithm,169760540,Neuroscience,49774154,Multimedia,36464697,Visualization,41008148,Computer Science,143409427,Magnetic resonance imaging,178980831,Pattern recognition,23123220,Information retrieval,45374587,Computation,518677369,Social media,21442007,Graphics,119857082,Machine learning,104267543,Signal processing,124101348,Data mining,86256295,Social network,87868495,Information processing,"{""DN"":""Multimedia Information Retrieval"",""SN"":""MIR"",""PC"":529}",Multimedia Information Retrieval,MIR,529,3,1190496814,10818,10818,MIR: Multimedia Information Retrieval,0,0,9417928,Image processing
conf/,clef,conf/clef,CLEF: Cross-Language Evaluation Forum,23123220,Information retrieval,41008148,Computer Science,195324797,Natural language,154945302,Artificial intelligence,49774154,Multimedia,155092808,Computational linguistics,204321447,Natural language processing,124246873,Semantics,46312422,Communication,119857082,Machine learning,77088390,Database,11413529,Algorithm,87868495,Information processing,56739046,Knowledge management,44291984,Question answering,124101348,Data mining,45374587,Computation,95831776,Information science,121017731,Information technology,"{""DN"":""Cross-Language Evaluation Forum"",""SN"":""CLEF"",""PC"":1201}",Cross-Language Evaluation Forum,CLEF,1201,3,1156586875,8294,8294,CLEF: Cross-Language Evaluation Forum,0,0,,
conf/,icip,conf/icip,ICIP: International Conference on Image Processing,9417928,Image processing,104267543,Signal processing,49774154,Multimedia,11413529,Algorithm,178980831,Pattern recognition,31972630,Computer vision,46312422,Communication,41008148,Computer Science,21442007,Graphics,154945302,Artificial intelligence,77088390,Database,115901376,Automation,45374587,Computation,36464697,Visualization,87868495,Information processing,31601959,Medical imaging,121017731,Information technology,119857082,Machine learning,90509273,Robot,"{""DN"":""International Conference on Image Processing"",""SN"":""ICIP"",""PC"":20804}",International Conference on Image Processing,ICIP,20804,3,1163163559,172652,172652,ICIP: International Conference on Image Processing,0,0,34413123,Robotics
conf/,civr,conf/civr,CIVR: Conference on Image and Video Retrieval,49774154,Multimedia,31972630,Computer vision,41008148,Computer Science,23123220,Information retrieval,1667742,Image retrieval,178980831,Pattern recognition,77088390,Database,9417928,Image processing,104267543,Signal processing,154945302,Artificial intelligence,11413529,Algorithm,124246873,Semantics,46312422,Communication,119857082,Machine learning,21442007,Graphics,36464697,Visualization,87868495,Information processing,124101348,Data mining,95831776,Information science,"{""DN"":""Conference on Image and Video Retrieval"",""SN"":""CIVR"",""PC"":621}",Conference on Image and Video Retrieval,CIVR,621,3,1149945488,11260,11260,CIVR: Conference on Image and Video Retrieval,0,0,,
conf/,iccv,conf/iccv,ICCV: International Conference on Computer Vision,31972630,Computer vision,178980831,Pattern recognition,41008148,Computer Science,11413529,Algorithm,9417928,Image processing,21442007,Graphics,49774154,Multimedia,119857082,Machine learning,104267543,Signal processing,34413123,Robotics,154945302,Artificial intelligence,5339829,Machine vision,45374587,Computation,77660652,Computer graphics,36464697,Visualization,87868495,Information processing,77088390,Database,90509273,Robot,115901376,Automation,"{""DN"":""International Conference on Computer Vision"",""SN"":""ICCV"",""PC"":5734}",International Conference on Computer Vision,ICCV,5734,3,1164975091,209066,209066,ICCV: International Conference on Computer Vision,0,0,46312422,Communication
conf/,wi,conf/wi,WI: Web Intelligence,46312422,Communication,77088390,Database,41008148,Computer Science,169760540,Neuroscience,544335954,Web intelligence,154945302,Artificial intelligence,11413529,Algorithm,45374587,Computation,121017731,Information technology,49774154,Multimedia,124101348,Data mining,87868495,Information processing,139502532,Computational intelligence,124246873,Semantics,119857082,Machine learning,56739046,Knowledge management,2129575,Semantic Web,23123220,Information retrieval,115901376,Automation,"{""DN"":""Web Intelligence"",""SN"":""WI"",""PC"":3548}",Web Intelligence,WI,3548,3,1200067787,21951,21951,WI: Web Intelligence,0,0,,
conf/,pods,conf/pods,PODS: Symposium on Principles of Database Systems,77088390,Database,41008148,Computer Science,11413529,Algorithm,45374587,Computation,124101348,Data mining,1668388,Data management,124246873,Semantics,154945302,Artificial intelligence,46312422,Communication,80444323,Theoretical computer science,12439846,Database theory,119857082,Machine learning,72634772,Data integration,136764020,World Wide Web,87868495,Information processing,56739046,Knowledge management,128838566,Logic programming,23123220,Information retrieval,49774154,Multimedia,"{""DN"":""Symposium on Principles of Database Systems"",""SN"":""PODS"",""PC"":1266}",Symposium on Principles of Database Systems,PODS,1266,3,1184151122,54093,54093,PODS: Symposium on Principles of Database Systems,0,0,,
conf/,icdm,conf/icdm,ICDM: International Conference on Data Mining,124101348,Data mining,41008148,Computer Science,119857082,Machine learning,11413529,Algorithm,154945302,Artificial intelligence,77088390,Database,45374587,Computation,60644358,Bioinformatics,46312422,Communication,49774154,Multimedia,23123220,Information retrieval,56739046,Knowledge management,178980831,Pattern recognition,87868495,Information processing,36464697,Visualization,1668388,Data management,115286129,Cybernetics,121017731,Information technology,139502532,Computational intelligence,"{""DN"":""International Conference on Data Mining"",""SN"":""ICDM"",""PC"":4574}",International Conference on Data Mining,ICDM,4574,3,1183478919,58924,58924,ICDM: International Conference on Data Mining,0,0,,
conf/,icdke,conf/icdke,ICDKE: Data and Knowledge Engineering,84685590,Knowledge engineering,121017731,Information technology,56739046,Knowledge management,95831776,Information science,154945302,Artificial intelligence,46312422,Communication,41008148,Computer Science,128487930,Information management,124101348,Data mining,77088390,Database,13606891,Conceptual model,29848774,Management information systems,2129575,Semantic Web,115903868,Software Engineering,76155785,Telecommunications,135572916,Data warehouse,134503902,Information technology management,49774154,Multimedia,201995342,Systems engineering,"{""DN"":""Data and Knowledge Engineering"",""SN"":""ICDKE"",""PC"":1706}",Data and Knowledge Engineering,ICDKE,1706,3,1168542559,40063,40063,ICDKE: Data and Knowledge Engineering,0,0,,
conf/,icme,conf/icme,ICME: International Conference on Multimedia and Expo,49774154,Multimedia,46312422,Communication,104267543,Signal processing,41008148,Computer Science,11413529,Algorithm,9417928,Image processing,178980831,Pattern recognition,31972630,Computer vision,77088390,Database,45374587,Computation,121017731,Information technology,154945302,Artificial intelligence,21442007,Graphics,87868495,Information processing,115901376,Automation,36464697,Visualization,119857082,Machine learning,76155785,Telecommunications,23123220,Information retrieval,"{""DN"":""International Conference on Multimedia and Expo"",""SN"":""ICME"",""PC"":7530}",International Conference on Multimedia and Expo,ICME,7530,3,1126322613,50283,50283,ICME: International Conference on Multimedia and Expo,0,0,,
conf/,icdar,conf/icdar,ICDAR: International Conference on Document Analysis and Recognition,178980831,Pattern recognition,41008148,Computer Science,11413529,Algorithm,31972630,Computer vision,9417928,Image processing,154945302,Artificial intelligence,49774154,Multimedia,77088390,Database,46312422,Communication,104267543,Signal processing,119857082,Machine learning,21442007,Graphics,45374587,Computation,23123220,Information retrieval,87868495,Information processing,115901376,Automation,34413123,Robotics,115286129,Cybernetics,5339829,Machine vision,"{""DN"":""International Conference on Document Analysis and Recognition"",""SN"":""ICDAR"",""PC"":3091}",International Conference on Document Analysis and Recognition,ICDAR,3091,3,1150099070,37740,37740,ICDAR: International Conference on Document Analysis and Recognition,0,0,,
conf/,eswc,conf/eswc,ESWC: European Semantic Web Conference,2129575,Semantic Web,124246873,Semantics,41008148,Computer Science,154945302,Artificial intelligence,136764020,World Wide Web,56739046,Knowledge management,77088390,Database,84685590,Knowledge engineering,45374587,Computation,124101348,Data mining,49774154,Multimedia,23123220,Information retrieval,46312422,Communication,11413529,Algorithm,121017731,Information technology,115903868,Software Engineering,72634772,Data integration,87868495,Information processing,119857082,Machine learning,"{""DN"":""European Semantic Web Conference"",""SN"":""ESWC"",""PC"":611}",European Semantic Web Conference,ESWC,611,3,1180003657,11160,11160,ESWC: European Semantic Web Conference,0,0,,
conf/,trec,conf/trec,TREC: Text REtrieval Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""DN"":""Text REtrieval Conference"",""SN"":""TREC"",""PC"":265}",Text REtrieval Conference,TREC,265,3,2534788800,9674,9674,TREC: Text REtrieval Conference,0,0,,
conf/,acm sac,conf/acm sac,ACM SAC: ACM Symposium on Applied Computing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""DN"":""ACM Symposium on Applied Computing"",""SN"":""ACM SAC"",""PC"":6142}",ACM Symposium on Applied Computing,ACM SAC,6142,3,2533350135,45437,45437,ACM SAC: ACM Symposium on Applied Computing,0,0,,
conf/,icml,conf/icml,ICML: International Conference on Machine Learning,119857082,Machine learning,41008148,Computer Science,154945302,Artificial intelligence,11413529,Algorithm,124101348,Data mining,87868495,Information processing,45374587,Computation,178980831,Pattern recognition,31972630,Computer vision,77088390,Database,195324797,Natural language,46312422,Communication,23123220,Information retrieval,60644358,Bioinformatics,97541855,Reinforcement learning,34413123,Robotics,104267543,Signal processing,204321447,Natural language processing,49774154,Multimedia,"{""DN"":""International Conference on Machine Learning"",""SN"":""ICML"",""PC"":4655}",International Conference on Machine Learning,ICML,4655,3,1180662882,192584,192584,ICML: International Conference on Machine Learning,0,0,,
conf/,hypertext,conf/hypertext,Hypertext: ACM Conference on Hypertext,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""DN"":""ACM Conference on Hypertext"",""SN"":""Hypertext"",""PC"":2163}",ACM Conference on Hypertext,Hypertext,2163,3,2532863000,34286,34286,Hypertext: ACM Conference on Hypertext,0,0,,
conf/,dexa,conf/dexa,DEXA: Database and Expert Systems Applications,77088390,Database,41008148,Computer Science,49774154,Multimedia,46312422,Communication,11413529,Algorithm,154945302,Artificial intelligence,124246873,Semantics,124101348,Data mining,115903868,Software Engineering,121017731,Information technology,45374587,Computation,56739046,Knowledge management,23123220,Information retrieval,84685590,Knowledge engineering,95831776,Information science,1668388,Data management,2129575,Semantic Web,136764020,World Wide Web,87868495,Information processing,"{""DN"":""Database and Expert Systems Applications"",""SN"":""DEXA"",""PC"":4883}",Database and Expert Systems Applications,DEXA,4883,3,1192664773,28284,28284,DEXA: Database and Expert Systems Applications,0,0,,
conf/,recsys,conf/recsys,RecSys: Conference on Recommender Systems,41008148,Computer Science,23123220,Information retrieval,124101348,Data mining,119857082,Machine learning,154945302,Artificial intelligence,49774154,Multimedia,56739046,Knowledge management,11413529,Algorithm,46312422,Communication,518677369,Social media,557471498,Recommender system,77088390,Database,136764020,World Wide Web,86256295,Social network,503923677,Social web,87868495,Information processing,45374587,Computation,121017731,Information technology,2129575,Semantic Web,"{""DN"":""Conference on Recommender Systems"",""SN"":""RecSys"",""PC"":902}",Conference on Recommender Systems,RecSys,902,3,1134284382,13575,13575,RecSys: Conference on Recommender Systems,0,0,,
conf/,nips,conf/nips,NIPS: Neural Information Processing Systems,119857082,Machine learning,87868495,Information processing,41008148,Computer Science,11413529,Algorithm,154945302,Artificial intelligence,45374587,Computation,124101348,Data mining,31972630,Computer vision,178980831,Pattern recognition,46312422,Communication,104267543,Signal processing,77088390,Database,34413123,Robotics,49774154,Multimedia,90509273,Robot,23123220,Information retrieval,97541855,Reinforcement learning,195324797,Natural language,169760540,Neuroscience,"{""DN"":""Neural Information Processing Systems"",""SN"":""NIPS"",""PC"":7270}",Neural Information Processing Systems,NIPS,7270,3,1127325140,247590,247590,NIPS: Neural Information Processing Systems,0,0,9417928,Image processing
conf/,smc,conf/smc,"SMC: Systems, Man and Cybernetics",115286129,Cybernetics,46312422,Communication,41008148,Computer Science,11413529,Algorithm,115901376,Automation,154945302,Artificial intelligence,45374587,Computation,34413123,Robotics,49774154,Multimedia,104267543,Signal processing,87868495,Information processing,90509273,Robot,139502532,Computational intelligence,121017731,Information technology,178980831,Pattern recognition,77088390,Database,9417928,Image processing,119857082,Machine learning,115903868,Software Engineering,"{""DN"":""Systems, Man and Cybernetics"",""SN"":""SMC"",""PC"":23990}","Systems, Man and Cybernetics",SMC,23990,3,1170695740,286694,286694,"SMC: Systems, Man and Cybernetics",0,0,,
