index,Vkey,VPsize,Information Retrieval,H-Index,Citations,Qualis,World Wide Web,Computer graphics (images),Operating system,Algorithm,Database,Computer network,Data mining,Programming language,Machine learning,Computer vision,Natural language processing,Computer hardware,Pattern recognition,Embedded system,Simulation,Internet privacy,Artificial intelligence,Human-computer interaction,Speech recognition,Parallel computing,Distributed computing,Computer architecture,Computational biology,Real-time computing,Computational science,Data science,Information retrieval,Theoretical computer science,Management science,Cognitive science,Operations research,Computer security,Bioinformatics,Multimedia,Mathematical optimization,Knowledge management,Telecommunications
1285,conf/cnkbs,23.0,,,957.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1286,journals/tsc,278.0,,,2768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287,journals/jwsr,206.0,,,1169.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1288,conf/csfw,560.0,,,25727.0,A1,,,,32.0,,,,,,,,,,,,95.0,,,,,,,,,,,,,,,,,,,,,
1289,conf/bncod,595.0,,,2712.0,B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290,conf/parma,11.0,,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291,journals/ijcis,419.0,,,18840.0,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1292,journals/rda,101.0,,,103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1293,books/kl/jajodiaK97,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1294,journals/spe,2881.0,,,77791.0,A2,,,41.0,,,,,105.0,,,,,,,,40.0,,,,,,,,,20.0,,,,,,,,,,,,
1295,journals/ieeesp,1371.0,,,20218.0,,,,114.0,34.0,,,,,,,,,,,,125.0,,,,,,37.0,,,,,,,,,,,,,,,
1296,conf/uss,981.0,,,44064.0,,,,80.0,78.0,,,,,,,,,,,,275.0,,,,,,,,,,,,,,,,68.0,,,,,
1297,conf/isict,150.0,,,595.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1298,series/sbcs,162.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299,journals/ibmrd,1800.0,,,74371.0,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,journals/jods,130.0,,,4150.0,B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1301,conf/cp,1416.0,,,28395.0,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1302,conf/ercimdl,1123.0,137.0,,9491.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,,,,,,,,,,
1303,journals/acta,1418.0,,12.0,51206.0,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1304,conf/psd,172.0,,,1042.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1305,conf/tc11-5,121.0,,,8115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1306,books/mk/freytagMV91,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1307,journals/ijwbc,320.0,,,1534.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1308,journals/ijsn,214.0,,,2322.0,B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1309,conf/edbtw,246.0,,,2817.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1310,conf/isips,13.0,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1311,conf/ifip8,533.0,,,1928.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1312,journals/jlp,935.0,,,53402.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1313,conf/IEEEares,1317.0,,20.0,5269.0,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1314,conf/w3c,132.0,,,2151.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1315,conf/group,598.0,,19.0,10785.0,A2,,,,,,,,,,,,,,,,,,119.0,,,,,,,,,,,20.0,,,,,124.0,,123.0,
1316,conf/oois,382.0,,,6400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1317,conf/ngits,187.0,,,2671.0,B4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1318,journals/dsonline,556.0,,,3161.0,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1319,journals/pervasive,791.0,,,28157.0,A2,,,50.0,,,,,,,,,,,,,,,200.0,,,,40.0,,,,,,,,,,,,106.0,,105.0,
1320,conf/ifip11-4,44.0,,,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1321,conf/sofsem,1001.0,,,6627.0,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1322,conf/avi,830.0,,14.0,7670.0,A2,,,,,,,,,,,,,,,,,,119.0,,,,,,,,,,,,,,,,123.0,,120.0,
1323,conf/fosad,65.0,,,2827.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1324,conf/dagstuhl,4387.0,,,49198.0,,68.0,,58.0,57.0,73.0,,45.0,183.0,43.0,43.0,,,43.0,,54.0,62.0,59.0,34.0,,,,,44.0,,44.0,42.0,,,31.0,,34.0,36.0,15.0,35.0,,32.0,
1325,conf/bda,590.0,,,5166.0,,,,,,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1326,conf/sec,831.0,,34.0,5600.0,B1,,,,23.0,,,,,,,,,,,,65.0,,,,,,,,,,,,,,,,,,,,,
1327,conf/seus,168.0,,,436.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1328,conf/widm,209.0,,,3458.0,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1329,books/kl,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1330,conf/ecoopwException,35.0,,,501.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331,journals/geoinformatica,391.0,,19.0,8048.0,B1,,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1332,books/sp/subrahmanianJ96,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1333,conf/ph,659.0,,21.0,3089.0,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,,,52.0,,52.0,
1334,conf/IEEEcloud,598.0,,42.0,2567.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1335,conf/icoodb,39.0,,,145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1336,conf/pos,298.0,,8.0,4551.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1337,conf/caise,2452.0,,,27619.0,A2,,,,,,,,89.0,,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,
1338,journals/informaticaLT,605.0,,,2832.0,B5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1339,conf/icuimc,897.0,,,867.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1340,conf/imecs,651.0,,,573.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1341,journals/ijhpcn,210.0,,,521.0,B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1342,conf/human,168.0,,,341.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1343,journals/jss,3704.0,,,53738.0,,,,60.0,,,,,326.0,,,,,,,,144.0,,,,,,46.0,,,,,,,18.0,,,,,,,,
1344,conf/kyotoDL,70.0,,,208.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1345,conf/mse,564.0,,,1730.0,B4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1346,conf/codas,136.0,,2.0,906.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1347,conf/asiajcis,64.0,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1348,conf/cococ,34.0,,,898.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1349,journals/dcc,1873.0,,21.0,22606.0,B1,,,,131.0,,,,,,,,,,,,,,,,,,,,,,,,151.0,,,,,,,,,
1350,journals/bit,320.0,,,3463.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1351,journals/smartcr,151.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1352,conf/awcc,63.0,,,162.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1353,journals/ijmc,436.0,,,5243.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1354,conf/escape,47.0,,,448.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1355,journals/informaticaSI,1050.0,,,4838.0,B5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1356,conf/iwdw,424.0,,9.0,8602.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1357,conf/appt,298.0,,,591.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1358,journals/ijmis,49.0,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1359,journals/iet-ipr,209.0,,,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1360,journals/jikm,412.0,,,1548.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1361,journals/iet-cdt,389.0,,16.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1362,conf/ipc,108.0,,,197.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1363,journals/jips,349.0,,,943.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1364,journals/ecr,297.0,,31.0,3699.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1365,conf/cpa,28.0,,,725.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1366,conf/iral,61.0,,,710.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1367,conf/iiwas,1131.0,,11.0,1496.0,B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1368,conf/wisa,340.0,,5.0,2474.0,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1369,journals/iet-cds,449.0,,,1206.0,,,,,,,,,,,,,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,
1370,homepages/c,886.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1371,journals/ijhsc,244.0,,,3084.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1372,conf/isdb,49.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1373,conf/iceb,251.0,,,328.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1374,conf/pkc,558.0,,30.0,21362.0,A2,,,,279.0,,,,,,,,,,,,87.0,,,,,,,,,,,,,,,,,,,,,
1375,conf/asiacrypt,884.0,,34.0,39222.0,A1,,,,451.0,,,,,,,,,,,,101.0,,,,,,,,,,,,,,,,,,,,,
1376,journals/ijiip,16.0,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1377,journals/jis,703.0,,27.0,8908.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1378,conf/wstst,249.0,,,410.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1379,journals/pc,2477.0,,25.0,46196.0,A2,,,,,,,,,,,,,,,,,,,,88.0,,39.0,,,210.0,,,,,,21.0,,,,,,
1380,journals/access,238.0,,,141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1381,reference/tf,569.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1382,conf/ew,404.0,,18.0,524.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0
1383,conf/mobimedia,318.0,,,943.0,B4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1384,journals/scholarpedia,933.0,,,75815.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385,homepages/92,11016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1386,journals/mr,4677.0,,,24059.0,,,,,,,,,,,,,20.0,,20.0,,,,,,,,,,,,,,,,,,,,,,,
1387,conf/his2,106.0,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1388,conf/ssme,129.0,,6.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1389,journals/nla,323.0,,21.0,1405.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1390,journals/jrtip,318.0,,,1741.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1391,conf/wbdb,45.0,,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1392,conf/ncm,817.0,,,1206.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1393,homepages/w,681.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1394,conf/3dic,345.0,,20.0,749.0,,,,,,,,,,,,,14.0,,14.0,,,,,,,,,,,,,,,,,,,,,,,
1395,journals/iim,132.0,,8.0,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1396,conf/sns,50.0,,,504.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1397,conf/sigsoft,1171.0,,,92271.0,,,,,,,,,514.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1398,conf/csise,367.0,,4.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1399,conf/bsn,385.0,,21.0,2257.0,,,,,,,,,,,,,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,
1400,conf/serp,1022.0,,5.0,1561.0,B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1401,conf/iita,92.0,,10.0,189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1402,journals/jamds,351.0,,,1192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1403,conf/secrypt,626.0,,10.0,742.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1404,journals/advcs,634.0,,15.0,10151.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1405,conf/iukm,48.0,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1406,conf/medbiometrics,123.0,,,211.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1407,conf/sacrypt,446.0,,20.0,14299.0,,,,,162.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1408,journals/tbcas,495.0,,,3844.0,,,,,,,,,,,,,62.0,,62.0,,,,,,,,,,,,,,,,,,,,,,,
1409,journals/evs,118.0,,,516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1410,conf/det,135.0,,8.0,401.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1411,conf/hpsr,186.0,,10.0,136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1412,journals/osn,335.0,,14.0,1146.0,,,,,,,,,,,,,,,,,,,,,,51.0,,,51.0,,,,,,,,38.0,,,,,
1413,journals/ijbic,209.0,,,1438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1414,conf/aiia,721.0,,,19218.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,,,,,,
1415,conf/fse,555.0,,38.0,28756.0,A2,,,,240.0,,,,,,,,,,,,41.0,,,,,,,,,,,,,,,,,,,,,
1416,journals/gpb,306.0,,19.0,1824.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1417,conf/crypto,1392.0,,,269304.0,A1,,,,1042.0,,,,,,,,,,,,155.0,,,,,,,,,,,,22.0,,,,,,,,,
1418,conf/eurocrypt,1310.0,,48.0,147911.0,A1,,,,817.0,,,,,,,,,,,,139.0,,,,,,,,,,,,27.0,,,,,,,,,
1419,conf/wine,584.0,,17.0,6553.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1420,conf/ctrsa,408.0,,,13567.0,,,,,156.0,,,,,,,,,,,,55.0,,,,,,,,,,,,,,,,,,,,,
1421,journals/algorithms,263.0,,44.0,616.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1422,conf/ats,1259.0,,14.0,5361.0,,,,,,,,,,,,,,,,,,,,,271.0,,,,,,,,,,,,,,,,,
1423,conf/esann,1719.0,,12.0,10714.0,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1424,journals/ijdet,276.0,,,698.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1425,conf/ais2,112.0,,8.0,133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1426,conf/xsede,153.0,,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1427,conf/nocs,263.0,,,1862.0,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1428,journals/jda,593.0,,18.0,6871.0,B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1429,conf/semcco,436.0,,8.0,359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1430,conf/cc,503.0,,32.0,12201.0,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1431,journals/bpmj,703.0,,,24141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,,,,,,,,
1432,conf/sigmap,426.0,,5.0,318.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1433,conf/vlsid,2573.0,,18.0,16525.0,A2,,,,,,,,,,,,46.0,,46.0,,,,,,359.0,,66.0,,,,,,,,,,,,,,,
1434,conf/momm,600.0,,9.0,842.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1435,conf/case,1561.0,,14.0,2464.0,,,,,,,,,,,,,,,,158.0,,155.0,,,,,,,,,,,,,,21.0,,,,,,
1436,journals/fini,287.0,,,3648.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1437,conf/icaart,950.0,,13.0,705.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1438,journals/jocs,311.0,,17.0,1939.0,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,
1439,conf/paisi,142.0,,,211.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1440,journals/ijwis,201.0,,,1286.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1441,conf/iiswc,189.0,,18.0,1618.0,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,
1442,conf/iciw,291.0,,15.0,1126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1443,conf/semweb,2587.0,47.0,,52477.0,,246.0,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,
1444,conf/vts,1599.0,,18.0,18311.0,A2,,,,,,,,,,,,13.0,,13.0,,,,,,358.0,,,,,,,,,,,,,,,,,
1445,conf/IEEEpact,810.0,,32.0,14843.0,,,,,,,,,,,,,,,,,,,,,239.0,,246.0,,,29.0,,,,,,,,,,,,
1446,conf/aswec,473.0,,,2933.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1447,conf/c3s2e,178.0,,9.0,287.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1448,conf/ACMse,1711.0,,,2948.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1449,conf/wistp,150.0,,,648.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1450,conf/iwsec,208.0,,,824.0,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1451,conf/mswim,1016.0,,,9363.0,B1,,,,,,66.0,,,,,,,,,,,,,,,68.0,,,68.0,,,,,,,,52.0,,,,,31.0
1452,conf/irregular,125.0,,,2075.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453,conf/scn,204.0,,,4876.0,B2,,,,121.0,,,,,,,,,,,,42.0,,,,,,,,,,,,,,,,,,,,,
1454,journals/cbsn,1834.0,,,50741.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1455,journals/smr,660.0,,,8401.0,,,,,,,,,101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1456,journals/ccds,118.0,,,342.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1457,conf/alcosp,258.0,,,214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1458,journals/itm,331.0,,,6685.0,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,,,,,,,,
1459,conf/iscslp,529.0,,6.0,478.0,,,,,,,,,,,,37.0,,,,,,,,129.0,,,,,,,,,,,,,,,,,,
1460,conf/icdcit,445.0,,,792.0,B4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1461,journals/ejbsb,151.0,,,872.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1462,journals/ahswn,409.0,,42.0,2580.0,,,,,,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1463,conf/ialp,399.0,,6.0,115.0,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1464,conf/icisc,506.0,,12.0,10069.0,,,,,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1465,conf/dba,132.0,,,283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1466,conf/qi,128.0,,5.0,462.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1467,journals/isse,262.0,,,1058.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1468,conf/apdc,96.0,,,377.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1469,conf/sew,196.0,,,1152.0,B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470,conf/sose,326.0,,,584.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1471,conf/cvm,33.0,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1472,conf/asicon,244.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1473,conf/icexss,145.0,,8.0,172.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1474,conf/tes,92.0,,,2546.0,B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1475,journals/rts,616.0,,30.0,20049.0,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1476,conf/mie,1018.0,,,2409.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1477,conf/ant,327.0,,,158.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1478,conf/odyssey,240.0,,,1513.0,,,,,,,,,,,,,,,,,,,,53.0,,,,,,,,,,,,,,,,,,
1479,journals/urban,603.0,,,9620.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1480,conf/icait,178.0,,5.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1481,journals/ijes,166.0,,,434.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1482,conf/apvis,386.0,,,2571.0,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,
1483,conf/qomex,206.0,,,168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1484,conf/ispw,670.0,,,21724.0,,,,41.0,,,,,180.0,,,,,,,,,,,,,,41.0,,,,,,,,,,,,,,,
1485,journals/siamnum,1758.0,,38.0,54659.0,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1486,journals/aeog,945.0,,,6853.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1487,journals/qre,772.0,,,4773.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1488,conf/asiasim,343.0,,,298.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1489,journals/cluster,714.0,,39.0,8003.0,B2,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,
1490,journals/lht,509.0,,21.0,7759.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491,conf/cicc,1523.0,,23.0,4740.0,B2,,,,,,,,,,,,442.0,,442.0,,,,,,,,,,,,,,,,,,,,,,,
1492,conf/taros,199.0,,5.0,151.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1493,conf/cgc,217.0,,6.0,122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1494,homepages/l,948.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1495,conf/iciso,118.0,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1496,conf/ijcbs,116.0,,,137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1497,conf/w2gis,203.0,,,870.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1498,journals/jgtools,304.0,,,7432.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1499,conf/sefm,487.0,,16.0,3431.0,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,conf/parelec,308.0,,,885.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1501,conf/sss,383.0,,14.0,2122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1502,journals/agis,357.0,,,1563.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1503,conf/comgeo,231.0,,,257.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1504,journals/ijwoc,68.0,,,242.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
