index,Vkey,VPsize,Information Retrieval,H-Index,Citations,Qualis,World Wide Web,Computer graphics (images),Operating system,Algorithm,Database,Computer network,Data mining,Programming language,Machine learning,Computer vision,Natural language processing,Computer hardware,Pattern recognition,Embedded system,Simulation,Internet privacy,Artificial intelligence,Human-computer interaction,Speech recognition,Parallel computing,Distributed computing,Computer architecture,Computational biology,Real-time computing,Computational science,Data science,Information retrieval,Theoretical computer science,Management science,Cognitive science,Operations research,Computer security,Bioinformatics,Multimedia,Mathematical optimization,Knowledge management,Telecommunications
35,conf/sigmetrics,1490.0,,39.0,70702.0,A1,,,237.0,,,320.0,,,,,,,,,,,,,,121.0,387.0,136.0,,387.0,,,,28.0,,,,221.0,,,31.0,,
36,conf/vtc,10987.0,,42.0,36827.0,A1,,,,,,133.0,,,,,33.0,8.0,,8.0,,,,,114.0,,122.0,,,122.0,,,,119.0,,,,240.0,,,,,3690.0
37,journals/prl,5475.0,,44.0,100320.0,A1,,335.0,,,,,39.0,,312.0,312.0,,,312.0,,,,146.0,,161.0,72.0,,,46.0,,,,,,,,,,,,,,
38,journals/tac,5525.0,,,219475.0,A1,,,,,,97.0,,,,,,,,,82.0,,69.0,,,,93.0,,,93.0,,,,39.0,,,20.0,,,,1407.0,,
39,journals/wcl,550.0,,,297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,125.0
40,journals/tsg,1076.0,,,6210.0,,,,,,,53.0,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,
41,conf/iccnc,849.0,,,284.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,,,,,32.0
42,conf/cdc,8622.0,,43.0,25900.0,B1,,,,,,83.0,,,,,,,,,206.0,,174.0,,85.0,,88.0,,,88.0,,,,62.0,,,,,,,1277.0,,
43,conf/wpmc,561.0,,9.0,201.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.0
44,journals/ett,1770.0,,,183600.0,,,,,,,66.0,,,,,,,,,,,,,,,53.0,,,53.0,,,,79.0,,,,43.0,,,,,145.0
45,journals/spl,2555.0,,,14486.0,A1,,,,,,,,,,,,,,,,,,,331.0,,,,,,,,,57.0,,,,,,,29.0,,140.0
46,journals/anor,2361.0,,,41689.0,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.0,,,,,,
47,conf/eusipco,1505.0,,9.0,414.0,,,,,,,,,,,,,,,,,,,,274.0,,,,,,,,,,,,,,,,,,24.0
48,conf/wicon,341.0,,8.0,1421.0,B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0
49,conf/fusion,2644.0,,25.0,6062.0,,,,,,,,,,,,,,,,,,,,105.0,,,,,,,,,24.0,,,,,,,,,
50,journals/phycomm,278.0,,18.0,1867.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0
51,journals/scl,1739.0,,89.0,26654.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.0,,
52,journals/mcss,375.0,,,19543.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,
53,journals/mmor,1423.0,,,14871.0,B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.0,,,,,,
54,conf/valuetools,519.0,,,2149.0,,,,,,,57.0,,,,,,,,,,,,,,,54.0,,,54.0,,,,,,,,,,,38.0,,
55,journals/ijdmbc,174.0,,,428.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,journals/eor,9513.0,,,255722.0,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,,1982.0,,,,,,
57,journals/neco,2472.0,,38.0,320711.0,A1,,49.0,,,,,,,52.0,52.0,,,52.0,,,,,,,,,,,,,,,,,62.0,,,9.0,,388.0,,
58,journals/iet-com,2119.0,,25.0,3949.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,,35.0,,,,,234.0
59,journals/adt,1198.0,,,4253.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0
60,conf/mlsp,297.0,,12.0,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,conf/spawc,375.0,,18.0,74.0,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,31.0,,,,,,,,,35.0
62,conf/broadnets,642.0,,,6531.0,B1,,,,,,94.0,,,,,,,,,,,,,,,117.0,,,117.0,,,,,,,,36.0,,,,,
63,conf/pimrc,7388.0,,27.0,26633.0,A1,,,,,,121.0,,,,,31.0,9.0,,9.0,,,,,116.0,,112.0,,,112.0,,,,118.0,,,,228.0,,,,,1519.0
64,conf/wiopt,789.0,,,4095.0,B1,,,,,,186.0,,,,,,,,,,,,,,,205.0,,,205.0,,,,77.0,,,,38.0,,,41.0,,28.0
65,journals/winet,1535.0,,25.0,43453.0,A1,,,47.0,,,259.0,,,,,,,,,,,,,,,274.0,,,274.0,,,,28.0,,,,85.0,,,,,76.0
66,conf/icip,17283.0,44.0,35.0,156642.0,A1,47.0,738.0,48.0,,,61.0,39.0,,1104.0,1104.0,31.0,34.0,1104.0,34.0,63.0,,344.0,,1573.0,,61.0,37.0,47.0,61.0,26.0,59.0,65.0,288.0,,,,40.0,,,107.0,,44.0
67,journals/da,262.0,,17.0,1889.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,journals/jcn,908.0,,16.0,3627.0,B2,,,,,,52.0,,,,,,,,,,,,,,,50.0,,,50.0,,,,56.0,,,,,,,,,67.0
69,journals/ftcit,36.0,,,4486.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,
70,journals/vlsisp,1852.0,,,17801.0,,,,,,,,,,,,,47.0,,47.0,,,,,169.0,121.0,,,,,,,,21.0,,,,,,,,,26.0
71,conf/cns,163.0,,45.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,journals/wicomm,1434.0,,25.0,8282.0,B1,,,,,,109.0,,,,,,,,,,,,,,,92.0,,,92.0,,,,20.0,,,,98.0,,,,,171.0
73,journals/cm,1467.0,,86.0,7672.0,A1,,,,,,137.0,,,,,,15.0,,15.0,,,,,,,82.0,,,82.0,,,,31.0,,,,407.0,,,,,170.0
74,conf/iwcmc,2021.0,,19.0,3875.0,B1,,,,,,70.0,,,,,,,,,,,,,,,62.0,,,62.0,,,,,,,,86.0,,,,,166.0
75,conf/kdd,2869.0,168.0,,148223.0,A1,294.0,,43.0,,477.0,,911.0,,37.0,37.0,38.0,,37.0,,,,,,,,,37.0,39.0,,,1097.0,461.0,,,,,,5.0,,170.0,,
76,journals/network,579.0,,,10331.0,A1,,,,,,118.0,,,,,,,,,,,,,,,106.0,,,106.0,,,,,,,,121.0,,,,,51.0
