Pkey,NGroups,Gkeys
journals/aim/AnandBBBCCDDDEGGGHJJJKKLLLLMMMMNNOOPRRRSSWW07,7,"['University of Michigan-Ann Arbor', 'Oregon State University', 'University of Kentucky', 'Indiana University at Bloomington', 'Yale University', 'North Carolina State University', 'Rensselaer Polytechnic Institute']"
conf/gis/2009,7,"['University of California-Santa Barbara', 'University of Southern California', 'University of Illinois at Chicago', 'Purdue University Main Campus', 'University of Minnesota-Twin Cities', 'Northwestern University', 'Virginia Polytechnic Institute and State University']"
journals/aim/BlakeHHFSBMGPMKBSKPBdJDDRSGWGHIWAGL02,7,"['Arizona State University', 'Cornell University', 'University of Nebraska - Lincoln', 'University of Maryland Baltimore County', 'University of Illinois at Chicago', 'North Carolina State University', 'Washington University In St. Louis']"
journals/sigir/AllanABBCCDFHHHHHKLLLLMMPPRRRRRSSSSTVWXZ03,7,"['University of Massachusetts Amherst', 'University of Southern California', 'University of Illinois at Urbana-Champaign', 'University of Michigan-Ann Arbor', 'Carnegie Mellon University', 'University of Chicago', 'University of Rochester']"
journals/ijhpca/DongarraBM11,7,"['University of Tennessee', 'Northwestern University', 'University of Houston', 'University of Illinois at Urbana-Champaign', 'University of California-Berkeley', 'Indiana University at Bloomington', 'University of Chicago']"
conf/hpec/MattsonBBBDFFGGHKLLPPRSWY13,7,"['University of Tennessee', 'Carnegie Mellon University', 'University of Illinois at Urbana-Champaign', 'Georgia Institute of Technology', 'Indiana University at Bloomington', 'Massachusetts Institute of Technology', 'University of California-Santa Barbara']"
journals/ijpp/BermanCCCDDDDJKKLLMMMMMOPRSSXY05,7,"['University of Tennessee', 'University of California-San Diego', 'University of Chicago', 'University of Illinois at Urbana-Champaign', 'Rice University', 'University of Houston', 'Rensselaer Polytechnic Institute']"
conf/ipps/CooperDKKMMMMBCCDLOSXJLPRDMSYD04,7,"['University of Tennessee', 'University of California-San Diego', 'University of Chicago', 'University of Illinois at Urbana-Champaign', 'Rice University', 'University of Houston', 'Rensselaer Polytechnic Institute']"
conf/hpc/CatlettAA06,7,"['University of Chicago', 'University of Wisconsin-Madison', 'Indiana University at Bloomington', 'University of Illinois at Urbana-Champaign', 'Rensselaer Polytechnic Institute', 'Stanford University', 'Clemson University']"
journals/dt/LeeHKRWWRPSSBDFGTJJKMPMR14,7,"['University of Pennsylvania', 'California Institute of Technology', 'Carnegie Mellon University', 'University of Michigan-Ann Arbor', 'University of California-Berkeley', 'University of California-San Diego', 'University of Massachusetts Amherst']"
conf/iaai/ZhangYDADDGGKLMMMMOPRRSSTZZCDDKLMRSTWWHHW09,7,"['University of Massachusetts Amherst', 'Arizona State University', 'Rensselaer Polytechnic Institute', 'Oregon State University', 'Georgia Institute of Technology', 'University of Illinois at Urbana-Champaign', 'University of Rochester']"
conf/sbes/ChavezKSBLMSPFCCSAMFCSPBCSLSLPDBVRBAC11,7,"['Pontif\xc3\xadcia Universidade Cat\xc3\xb3lica do Rio de Janeiro', 'Universidade Federal de Pernambuco', 'Universidade Federal do Rio Grande de Norte', 'USP - S\xc3\xa3o Carlos', 'Universidade Federal da Bahia', 'Universidade de Fortaleza', 'Universidade Federal de S\xc3\xa3o Carlos']"
journals/tist/ZhangSYKDGMHWAWTDMMHDPDTWGRSKLDMORRMZZCLS12,7,"['University of Massachusetts Amherst', 'Arizona State University', 'Rensselaer Polytechnic Institute', 'Oregon State University', 'Georgia Institute of Technology', 'University of Illinois at Urbana-Champaign', 'University of Rochester']"
journals/cacm/JagadishGLPPRS14,6,"['University of Michigan-Ann Arbor', 'University of Southern California', 'Cornell University', 'University of Wisconsin-Madison', 'University of California-San Diego', 'University of Pittsburgh Pittsburgh Campus']"
conf/oopsla/BlackburnGHKMBDFFGHHJLMPSVDW06,6,"['University of Massachusetts Amherst', 'University of Texas at Austin', 'Purdue University Main Campus', 'University of New Mexico Main Campus', 'Tufts University', 'Northeastern University']"
conf/sigcse/PrasadCDDGGJKSLLPPPRRSSSWW11,6,"['University of Florida', 'University of Texas at Austin', 'University of Massachusetts Amherst', 'University of Illinois at Urbana-Champaign', 'University of Maryland College Park', 'Georgia State University']"
journals/tse/AdveBBDDHRSSTV00,6,"['University of Southern California', 'University of Texas at Austin', 'University of California-Los Angeles', 'University of Wisconsin-Madison', 'Purdue University Main Campus', 'University of Illinois at Urbana-Champaign']"
journals/tosn/VicaireHCYZGLSSA09,6,"['University of Virginia', 'University of Illinois at Urbana-Champaign', 'University of Minnesota-Twin Cities', 'College of William and Mary', 'University of Tennessee', 'Texas A & M University']"
journals/aim/HorvitzGGHKSWK10,6,"['University of Michigan-Ann Arbor', 'University of Maryland College Park', 'University of Rochester', 'Carnegie Mellon University', 'University of Minnesota-Twin Cities', 'Rice University']"
journals/aim/AbeckerABBDFGGLLMMMNNSSSSSSW06,6,"['Wright State University Main Campus', 'University of Michigan-Ann Arbor', 'Arizona State University', 'Northeastern University', 'University of Colorado at Boulder', 'University of Pennsylvania']"
conf/wosp/DeelmanDHLOSWABBHLRTV98,6,"['University of Southern California', 'University of Texas at Austin', 'University of California-Los Angeles', 'University of Wisconsin-Madison', 'Purdue University Main Campus', 'University of Illinois at Urbana-Champaign']"
journals/ijhpca/SnirWAABBBBCCCCDDEEFGGJKLLMMSSH14,6,"['Stanford University', 'University of California-San Diego', 'University of Chicago', 'University of Illinois at Urbana-Champaign', 'Purdue University Main Campus', 'University of Southern California']"
journals/jpdc/KennedyBCDFGJMT01,6,"['University of Tennessee', 'Indiana University at Bloomington', 'Rice University', 'University of Houston', 'Duke University', 'University of North Carolina at Chapel Hill']"
conf/tridentcom/TakaiBGDFSBKMMRMSE05,6,"['University of California-Los Angeles', 'University of California-Davis', 'University of California-Riverside', 'University of Delaware', 'University of Kansas', 'University of California-Santa Barbara']"
conf/rtcsa/HeLYGCZSVCSSA05,6,"['University of Virginia', 'University of Illinois at Urbana-Champaign', 'University of Minnesota-Twin Cities', 'College of William and Mary', 'University of Tennessee', 'Texas A & M University']"
journals/internet/HuhnsSBDDFGGJLNPRRSSSTWZ05,6,"['University of Southern California', 'North Carolina State University', 'University of Michigan-Ann Arbor', 'University of South Carolina Columbia', 'University of Maryland Baltimore County', 'University of Central Florida']"
journals/computer/El-RewiniHSEMHBCGLWMEPBW95,6,"['Purdue University Main Campus', 'University of California-San Diego', 'University of Chicago', 'University of Illinois at Urbana-Champaign', 'University of Virginia', 'Brown University']"
journals/sigmod/AbiteboulHVGHHRUVH05,6,"['Rice University', 'Stanford University', 'State University of New York at Albany', 'University of California-Los Angeles', 'University of California-Berkeley', 'University of Southern California']"
journals/cacm/BlackburnMGHKBDFFGHHJLMPSVDW08,6,"['University of Massachusetts Amherst', 'University of Texas at Austin', 'Purdue University Main Campus', 'University of New Mexico Main Campus', 'Tufts University', 'Northeastern University']"
conf/icde/2010,6,"['University of California-Irvine', 'University of California-Riverside', 'University of Southern California', 'Florida State University', 'University of Utah', 'Universidade Federal de Minas Gerais']"
journals/ccr/KoponenSBFGGGMPRRAK11,6,"['University of California-Berkeley', 'Princeton University', 'Massachusetts Institute of Technology', 'Stanford University', 'Georgia Institute of Technology', 'University of Illinois at Urbana-Champaign']"
journals/cacm/BajcsyBBBBFFHJKLLLMMNOPPRTSSW04,6,"['University of California-Berkeley', 'University of Pennsylvania', 'Penn State University', 'University of California-Davis', 'Purdue University Main Campus', 'Tufts University']"
journals/sigcse/ChangEKRSSS99,6,"['Clemson University', 'Iowa State University', 'University of Illinois at Chicago', 'Stanford University', 'University of Connecticut', 'University of Houston']"
conf/wsc/TolkBDFHLPRSZ11,6,"['Georgia State University', 'University of Florida', 'University of Virginia', 'Arizona State University', 'Virginia Polytechnic Institute and State University', 'University of Alabama In Huntsville']"
journals/aim/KarlgrenKGFTSGSBFSHCBGSDL02,6,"['University of Texas at Austin', 'University of Southern California', 'Northwestern University', 'Massachusetts Institute of Technology', 'Georgia Institute of Technology', 'University of Texas at Dallas']"
journals/tosn/HeKLYGSZCVSAHK06,6,"['University of Virginia', 'University of Illinois at Urbana-Champaign', 'University of Minnesota-Twin Cities', 'College of William and Mary', 'University of Tennessee', 'Texas A & M University']"
conf/sbes/BatistaMSKFMGBRBSMFDP11,6,"['Universidade Federal do Rio Grande do Sul', 'Universidade Federal do Rio Grande de Norte', 'Universidade Estadual de Campinas', 'Universidade Federal de Pernambuco', 'Pontif\xc3\xadcia Universidade Cat\xc3\xb3lica do Rio de Janeiro', 'Universidade de Fortaleza']"
conf/rtas/HeVYLGZSCSA06,6,"['University of Virginia', 'University of Illinois at Urbana-Champaign', 'University of Minnesota-Twin Cities', 'College of William and Mary', 'University of Tennessee', 'Texas A & M University']"
journals/cn/TouchBDFFJMMPRR11,6,"['North Carolina State University', 'University of California-Los Angeles', 'Yale University', 'University of California-Irvine', 'University of Southern California', 'Duke University']"
journals/computer/AdveBERSGKLCFY97,6,"['Penn State University', 'Northwestern University', 'University of Minnesota-Twin Cities', 'University of Texas at Austin', 'University of Illinois at Urbana-Champaign', 'Harvard University']"
conf/stoc/EdelsbrunnerLMSTTUW00,6,"['Illinois Institute of Technology', 'Duke University', 'University of Southern California', 'Carnegie Mellon University', 'University of Florida', 'College of William and Mary']"
conf/icdcs/AbdelzaherBCCEGGGHKLSSSW04,6,"['University of Illinois at Urbana-Champaign', 'Texas Tech University', 'University of Virginia', 'University of Minnesota-Twin Cities', 'University of Tennessee', 'Texas A & M University']"
conf/infocom/HeVYCZGLSSA06,6,"['University of Virginia', 'University of Illinois at Urbana-Champaign', 'University of Minnesota-Twin Cities', 'College of William and Mary', 'University of Tennessee', 'Texas A & M University']"
conf/stoc/KargerKSTY99,5,"['Massachusetts Institute of Technology', 'University of Massachusetts Amherst', 'University of California-Riverside', 'Brown University', 'Columbia University In The City of New York']"
conf/sc/AhrensCCBHKMMPPSS06,5,"['University of California-Davis', 'University of Tennessee', 'University of Utah', 'Ohio State University Main Campus', 'North Carolina State University']"
journals/pvldb/AbadiCHKMB09,5,"['University of California-Berkeley', 'Massachusetts Institute of Technology', 'ETH Zurich', 'Yale University', 'University of Michigan-Ann Arbor']"
journals/pvldb/JainMSGWBCCTZ08,5,"['Stanford University', 'Cornell University', 'Massachusetts Institute of Technology', 'Brown University', 'Brandeis University']"
conf/trec/SinghalABCHP99,5,"['Columbia University In The City of New York', 'Massachusetts Institute of Technology', 'University of Pennsylvania', 'University of Rochester', 'University of Michigan-Ann Arbor']"
journals/sigmod/BernsteinBCDFGGHHJLMNPSU98,5,"['Stanford University', 'Massachusetts Institute of Technology', 'University of Michigan-Ann Arbor', 'University of California-Berkeley', 'University of Wisconsin-Madison']"
conf/dgo/SuFKPMTCCJWCTCAHMdVTCOPBH04,5,"['University of Massachusetts Amherst', 'Carnegie Mellon University', 'University of Florida', 'North Carolina State University', 'University of Colorado at Boulder']"
conf/random/ColeFMMRSU98,5,"['Harvard University', 'Brown University', 'New York University', 'Duke University', 'University of Massachusetts Amherst']"
conf/plilp/FindlerFFKF97,5,"['Northeastern University', 'Brown University', 'University of California-Santa Cruz', 'Northwestern University', 'University of Utah']"
conf/humanoids/BluethmannADHFRPGBBLPJMB04,5,"['University of Southern California', 'University of Massachusetts Amherst', 'Brown University', 'University of Oklahoma Norman Campus', 'State University of New York at Buffalo']"
journals/interactions/PratesBSSBMFAMK13,5,"['Universidade Estadual de Campinas', 'Pontif\xc3\xadcia Universidade Cat\xc3\xb3lica do Rio de Janeiro', 'Universidade Federal de Minas Gerais', 'Pontif\xc3\xadcia Universidade Cat\xc3\xb3lica do Rio Grande do Sul', 'Universidade Federal de S\xc3\xa3o Carlos']"
journals/internet/EstrinCYSOCRISCHBMHE10,5,"['University of California-Los Angeles', 'California Institute of Technology', 'Massachusetts Institute of Technology', 'North Carolina State University', 'University of California-San Diego']"
journals/computer/ClarkFGHLMRSW98,5,"['Cornell University', 'Carnegie Mellon University', 'University of Virginia', 'Massachusetts Institute of Technology', 'Stanford University']"
conf/pervasive/RamanACCCJLLMMPRSSSSSZJKS02,5,"['University of California-Berkeley', 'University of Michigan-Ann Arbor', 'New York University', 'ETH Zurich', 'University of Illinois at Urbana-Champaign']"
journals/cacm/SaltzSGDBD98,5,"['University of Tennessee', 'Georgia Institute of Technology', 'University of California-Berkeley', 'University of Maryland College Park', 'University of California-San Diego']"
journals/jidm/MeiraSTHM10,5,"['Universidade Federal de Minas Gerais', 'USP - S\xc3\xa3o Carlos', 'Universidade Federal do Amazonas', 'Universidade Federal de Pernambuco', 'Universidade Federal do Rio Grande do Sul']"
conf/crypto/CanettiRSTVW07,5,"['Massachusetts Institute of Technology', 'Boston University', 'Harvard University', 'Stanford University', 'George Washington University']"
conf/snapl/FelleisenFFKBMT15,5,"['Northeastern University', 'Brown University', 'Northwestern University', 'University of Utah', 'Brigham Young University']"
conf/soda/AgarwalAMVV98,5,"['Duke University', 'Purdue University Main Campus', 'University of Kansas', 'University of Iowa', 'Virginia Polytechnic Institute and State University']"
conf/sigcse/Arpaci-DusseauABBCDFGGGKKMMOU13,5,"['University of Alabama', 'University of Wisconsin-Madison', 'Duke University', 'Illinois Institute of Technology', 'Virginia Polytechnic Institute and State University']"
journals/comgeo/FinnKLMSVY98,5,"['Stanford University', 'Princeton University', 'Rice University', 'University of Utah', 'University of California-Riverside']"
conf/iceccs/MendoncaMOCFSTHB08,5,"['University of Maryland College Park', 'USP - S\xc3\xa3o Carlos', 'Universidade Federal do Rio de Janeiro', 'Universidade Federal da Bahia', 'Universidade Federal de S\xc3\xa3o Carlos']"
journals/pc/BeckABBCDMOPSVW02,5,"['University of Tennessee', 'University of California-Santa Barbara', 'Rensselaer Polytechnic Institute', 'Indiana University at Bloomington', 'University of New Mexico Main Campus']"
conf/stacs/CaiLLORS95,5,"['Georgia Institute of Technology', 'Princeton University', 'University of Wisconsin-Madison', 'University of Rochester', 'State University of New York at Buffalo']"
journals/siamcomp/PeikertKSFRS13,5,"['University of Maryland College Park', 'University of Connecticut', 'California Institute of Technology', 'Georgia Institute of Technology', 'Cornell University']"
journals/jsac/EltoweissyDGGGSYT10,5,"['University of California-Los Angeles', 'University of Massachusetts Amherst', 'Columbia University In The City of New York', 'University of Texas at Austin', 'University of Minnesota-Twin Cities']"
conf/nsf/Konig-RiesMMPPRSVWW01,5,"['University of Illinois at Chicago', 'Florida International University', 'Northwestern University', 'Imperial College London', 'University of California-Los Angeles']"
journals/ipl/BaruahGPSAJ97,5,"['University of California-Berkeley', 'Cornell University', 'University of North Carolina at Chapel Hill', 'Old Dominion University', 'University of Texas at Austin']"
conf/cidr/AbadiABCCHLMRRTXZ05,5,"['Brown University', 'Yale University', 'Brandeis University', 'State University of New York at Albany', 'Johns Hopkins University']"
journals/jfr/HsiehCKCGKTEAJWSM07,5,"['University of Pennsylvania', 'University of Southern California', 'Georgia Institute of Technology', 'Universidade Federal de Minas Gerais', 'USP - S\xc3\xa3o Carlos']"
journals/jfp/FindlerCFFKSF02,5,"['Northeastern University', 'Brown University', 'University of California-Santa Cruz', 'Northwestern University', 'University of Utah']"
conf/pldi/FlanaganFKWF96,5,"['Northeastern University', 'Brown University', 'University of California-Santa Cruz', 'University of Pennsylvania', 'University of Utah']"
conf/focs/BlumCKLMM03,5,"['Massachusetts Institute of Technology', 'Carnegie Mellon University', 'University of Wisconsin-Madison', 'University of New Mexico Main Campus', 'University of California-Los Angeles']"
journals/mor/KargerKSTY04,5,"['Massachusetts Institute of Technology', 'University of Massachusetts Amherst', 'University of California-Riverside', 'Brown University', 'Columbia University In The City of New York']"
conf/birthday/2003pkc,5,"['Purdue University Main Campus', 'University of Kansas', 'State University of New York at Stony Brook', 'University of Connecticut', 'Brown University']"
conf/emnlp/TaskarKCKM04,5,"['Stanford University', 'University of California-Berkeley', 'Columbia University In The City of New York', 'Massachusetts Institute of Technology', 'University of Pennsylvania']"
journals/jpdc/TheysASCHKSSSSS01,5,"['University of Michigan-Ann Arbor', 'University of Illinois at Urbana-Champaign', 'California Institute of Technology', 'Indiana University at Bloomington', 'University of Washington']"
journals/comgeo/AgarwalGMV00,5,"['Stanford University', 'Duke University', 'Purdue University Main Campus', 'University of Kansas', 'Virginia Polytechnic Institute and State University']"
conf/dgo/SuFKPMTCCJWCTCAHMdVTCOPBH04a,5,"['University of Massachusetts Amherst', 'Carnegie Mellon University', 'University of Florida', 'North Carolina State University', 'University of Colorado at Boulder']"
journals/sigact/AhoJKKMPP97,5,"['University of California-Berkeley', 'University of California-San Diego', 'Columbia University In The City of New York', 'Johns Hopkins University', 'University of Massachusetts Amherst']"
conf/lcpc/OlivierHLPDST06,5,"['Ohio State University Main Campus', 'University of Kansas', 'University of Maryland College Park', 'University of North Carolina at Chapel Hill', 'University of Kentucky']"
journals/aim/BunescuCCCCDDDFGGGHJJKKKLLMMMMPPRRSSSATWSWZ09,5,"['Duke University', 'University of Southern California', 'State University of New York at Buffalo', 'Rutgers The State University of New Jersey New Brunswick Campus', 'University of North Carolina at Charlotte']"
conf/wsc/DavisFHMHORST08,5,"['University of Georgia', 'Georgia State University', 'University of Florida', 'Auburn University', 'Arizona State University']"
conf/compgeom/AgarwalGMV97,5,"['Stanford University', 'Duke University', 'Purdue University Main Campus', 'University of Kansas', 'Virginia Polytechnic Institute and State University']"
journals/sigmod/SnodgrassHMOPRRWY98,5,"['University of Illinois at Chicago', 'University of Arizona', 'Stanford University', 'University of Maryland College Park', 'Case Western Reserve University']"
journals/aim/LesperanceWBBNWAFGJHGGHSKMDGMBM01,5,"['University of Maryland College Park', 'University of Southern California', 'Cornell University', 'Carnegie Mellon University', 'University of Maryland Baltimore County']"
journals/aim/BullerCDDDEFGHMMMRSSSSTU11,5,"['University of Southern California', 'Vanderbilt University', 'Texas A & M University', 'New York University', 'Rice University']"
conf/ppopp/ZhouISLTSHW97,5,"['Princeton University', 'University of Wisconsin-Madison', 'University of California-San Diego', 'University of Illinois at Urbana-Champaign', 'Rutgers The State University of New Jersey New Brunswick Campus']"
journals/ese/ShullMBCMFTO04,5,"['University of Maryland College Park', 'USP - S\xc3\xa3o Carlos', 'Universidade Federal do Rio de Janeiro', 'Universidade Federal da Bahia', 'Universidade Federal de S\xc3\xa3o Carlos']"
conf/nips/AllenderAKMR02,5,"['Rutgers The State University of New Jersey New Brunswick Campus', 'University of Connecticut', 'University of New Mexico Main Campus', 'Princeton University', 'University of Pennsylvania']"
conf/isi/FininJKYSBLCSTKBBKHZSXMA09,5,"['Purdue University Main Campus', 'University of Illinois at Urbana-Champaign', 'University of Texas at Dallas', 'University of Maryland Baltimore County', 'University of Michigan-Ann Arbor']"
conf/sigada/SitaramanFFFHMW94,5,"['Ohio State University Main Campus', 'Clemson University', 'Virginia Polytechnic Institute and State University', 'George Washington University', 'North Carolina State University']"
journals/tog/PeersBMRLRD06,5,"['University of California-Berkeley', 'Massachusetts Institute of Technology', 'Princeton University', 'University of Southern California', 'University of Virginia']"
conf/isca/DallyCCHHKSTW98,5,"['Stanford University', 'University of California-San Diego', 'University of Chicago', 'University of Illinois at Urbana-Champaign', 'Tufts University']"
journals/sigplan/AllenACFFGHHSWZ09,5,"['Princeton University', 'Carnegie Mellon University', 'University of Massachusetts Amherst', 'University of Oregon', 'University of Pennsylvania']"
conf/rtss/StoicaAJBGP96,5,"['University of California-Berkeley', 'Cornell University', 'University of North Carolina at Chapel Hill', 'Old Dominion University', 'University of Texas at Austin']"
conf/ieeeams/BeckABDMPSVWBCO01,5,"['University of Tennessee', 'University of California-Santa Barbara', 'Rensselaer Polytechnic Institute', 'Indiana University at Bloomington', 'University of New Mexico Main Campus']"
conf/stoc/STOC11,5,"['Massachusetts Institute of Technology', 'Columbia University In The City of New York', 'Yale University', 'University of California-San Diego', 'Georgia Institute of Technology']"
journals/tog/LawrenceBDMPRR06,5,"['Harvard University', 'University of California-Berkeley', 'Massachusetts Institute of Technology', 'Princeton University', 'University of Virginia']"
journals/ccr/McKeownABPPRST08,5,"['University of California-Berkeley', 'Princeton University', 'Massachusetts Institute of Technology', 'Stanford University', 'Washington University In St. Louis']"
journals/siamcomp/AaronsonGKMMS09,5,"['University of California-Los Angeles', 'Cornell University', 'University of Pennsylvania', 'Massachusetts Institute of Technology', 'University of Wisconsin-Madison']"
