,NameAZList,NameH1,ShortNameAZList,GSHindex
conf/adbt,Advances in Data Base Theory,,ADBT,
conf/adc,Australasian Database Conference,,ADC,
conf/adcog,Application and Development of Computer Games,,ADCOG,
conf/adcons,"Advanced Computing, Networking and Security",,ADCONS,5.0
conf/adcs,Australasian Document Computing Symposium,,ADCS,
conf/adg,Automated Deduction in Geometry,,ADG,
conf/adhoc-now,"Ad-Hoc, Mobile and Wireless Networks",,ADHOC-NOW,
conf/adhocnets,Ad Hoc Networks,,ADHOCNETS,42.0
conf/adis,Apoyo a la Decisión en Ingeniería del Software / Decision Support in Software Engineering,,ADIS,
conf/adl,Advances in Digital Libraries,,ADL,
conf/adma,Advanced Data Mining and Applications,,ADMA,10.0
conf/admi,Agents and Data Mining Interaction,,ADMI,
conf/adntiic,"Advances in New Technologies, Interactive Interfaces, and Communicability",,ADNTIIC,
conf/adprl,Adaptive Dynamic Programming and Reinforcement Learning,,ADPRL,
conf/ads,Affective Dialogue Systems,,ADS,
conf/adt,Workshop on Recent Trends in Algebraic Development Techniques,,WADT,
conf/advis,Advances in Information Systems,,ADVIS,
conf/ae,Evolution Artificielle,,EA,
conf/aegs,Agents for Educational Games and Simulations,,AEGS,
conf/aes,AES (Candidate) Conference,,AES,5.0
conf/afips,American Federation of Information Processing Societies National Computer Conferences,,AFIPS,
conf/afl,Automata and Formal Languages,,AFL,
conf/afp,Advanced Functional Programming School,,AFP,1.0
conf/afpac,Algebraic Frames for the Perception-Action Cycle,,AFPAC,
conf/africacrypt,International Conference on Cryptology in Africa,,AFRICACRYPT,17.0
conf/africom,AFRICOM,,,
conf/afrigraph,"AfrigraphComputer Graphics, Virtual Reality, Visualisation and Interaction in Africa",,Afrigraph,
conf/afss,Advances in Soft Computing,,AFSS,
conf/agdm,Advanced Geographic Data Modelling,,AGDM,
conf/agentCL,Issues in Agent Communication,,,
conf/agentlink,AgentLink,,,
conf/agents,AgentsInternational Conference on Autonomous Agents,,Agents,83.0
conf/agere,"AGERE!Programming based on Actors, Agents, and Decentralized Control",,AGERE!,
conf/agi,Artificial General Intelligence,,AGI,11.0
conf/agile,Association of Geographic Information Laboratories for Europe Conferences,,AGILE,14.0
conf/agiledc,Agile Conference,,AGILE,14.0
conf/agp,Joint Conference on Declarative Programming,,GULP-PRODE,
conf/ags,Agents for Games and Simulations,,AGS,
conf/agtive,Applications of Graph Transformations with Industrial Relevance,,AGTIVE,
conf/ah,Adaptive Hypermedia and Adaptive Web-Based Systems,,AH,11.0
conf/ahs,Adaptive Hardware and Systems,,AHS,12.0
conf/ai,Canadian Conference on Artificial Intelligence,,AI,35.0
conf/ai50,AI@50 Years of Artificial Intelligence,,AI@50,
conf/aia,Artificial Intelligence and Applications,,AIA,
conf/aic,Artificial Intelligence and Cognition,,AIC,
conf/aiccsa,ACS/IEEE International Conference on Computer Systems and Applications,,AICCSA,
conf/aici,Artificial Intelligence and Computational Intelligence,,AICI,12.0
conf/aicol,AI Approaches to the Complexity of Legal Systems,,AICOL,
conf/aics,Artificial Intelligence and Cognitive Science,,AICS,
conf/aict,Advanced Industrial Conference on Telecommunications,,AICT,9.0
conf/aicv,Applications of Invariance in Computer Vision,,,
conf/aied,Artificial Intelligence in Education,,AIED,19.0
conf/aifipp,Artificial Intelligence from the Information Processing Perspective,,AIFIPP,
conf/aihc,Artifical Intelligence for Human Computing,,,
conf/aii,Analogical and Inductive Inference,,AII,
conf/aiia,AI*Congress of the Italian Association for Artificial Intelligence,,AI*IA,
conf/aiide,Artificial Intelligence and Interactive Digital Entertainment Conference,,AIIDE,17.0
conf/aim,Conference of the Association Information and Management,,AIM,8.0
conf/aimdm,Artificial Intelligence in Medicine and Medical Decision Making,,AIMDM,
conf/aime,Artificial Intelligence in Medicine in Europe,,AIME,10.0
conf/aiml,Advances in Modal Logic,,AIML,
conf/aims,"Autonomous Infrastructure, Management and Security",,AIMS,9.0
conf/aimsa,"Artificial Intelligence: Methodology, Systems, Applications",,AIMSA,
conf/aina,Advanced Information Networking and Applications,,AINA,25.0
conf/aintec,Asian Internet Engineering Conference,,AINTEC,
conf/aipr,Applied Imagery Pattern Recognition Workshop,,AIPR,8.0
conf/aiprf,Artificial Intelligence and Pattern Recognition,,AIPR,8.0
conf/aips,International Conference on Automated Planning and Scheduling,,ICAPS,25.0
conf/aipt,Advanced Information Processing Techniques for LAN and MAN Management,,AIPT,
conf/air,Advances In Robotics,,AIR,33.0
conf/airs,Asia Information Retrieval Symposium,,AIRS,10.0
conf/airweb,AIRWebAdversarial Information Retrieval on the Web,,AIRWeb,
conf/ais,Artificial Intelligence and Simulation,,AIS,3.0
conf/ais2,Autonomous and Intelligent Systems,,AIS,8.0
conf/aisa,Advanced Internet Services and ApplicationsAISA,,AISA,
conf/aisadm,Autonomous Intelligent Systems: Agents and Data Mining,,AIS-ADM,
conf/aisb,Evolutionary ComputingAISB Workshop,,Evolutionary Computing,18.0
conf/aisc,Artificial Intelligence and Symbolic Mathematical Computation,,AISMC,
conf/aism,Australian Information Security Management Conference,,AISM,
conf/aist,"Analysis of Images, Social Networks and Texts",,AIST,
conf/aistats,Artificial Intelligence and Statistics,,AISTATS,
conf/aiworc,AIWoAcademia/Industry Working Conference on Research Challenges,,AIWoRC,
conf/aka,"Architekturen, Komponenten, Anwendungen",,AKA,
conf/alart,ALaAutomatic Learning and Real-Time,,ALaRT,
conf/alc,Algorithmic Languages and Calculi,,,
conf/alcob,AlCoAlgorithms for Computational Biology,,AlCoB,
conf/alcosp,Adaptation and Learning in Control and Signal Processing,,ALCOSP,
conf/aldt,Algorithmic Decision Theory,,ADT,
conf/alenex,Algorithm Engineering and Experimentation,,ALENEX,
conf/algol,ALGOL 68 Implementation,,ALGOL 68,
conf/algosensors,Algorithmic Aspects of Wireless Sensor Networks,,ALGOSENSORS,
conf/alife,Workshop on the Synthesis and Simulation of Living Systems,,ALIFE,12.0
conf/allerton,"Allerton Conference on Communication, Control, and Computing",,Allerton,33.0
conf/almodep,AlMoAlgorithms and Models for Distributed Event Processing,,AlMoDEP,
conf/alp,Algebraic and Logic Programming,,ALP,
conf/alpit,Advanced Language Processing and Web Information Technology,,ALPIT,
conf/alpuk,UK Conference on Logic Programming,,ALPUK,
conf/alsc,Annual Linux Showcase & Conference,,,
conf/alt,Algorithmic Learning Theory,,ALT,13.0
conf/aluacs,Algebraic Logic and Universal Algebra in Computer Science,,,
conf/am,Algebraic Methods,,,
conf/amai,Artificial Intelligence and Mathematics,,AMAI,
conf/amast,Algebraic Methodology and Software Technology,,AMAST,
conf/ambisys,Ambient Media and Systems,,AMBI-SYS,
conf/amcis,Americas Conference on Information Systems,,AMCIS,22.0
conf/amcp,Advanced Multimedia Content Processing,,AMCP,
conf/amcs,Algorithmic Mathematics and Computer Science,,AMCS,
conf/amdo,Articulated Motion and Deformable Objects,,AMDO,
conf/amec,Agent-Mediated Electronic Commerce,,AMEC,
conf/amet,Agent Mediated Electronic Trading,,AMET,
conf/amfg,Analysis and Modeling of Faces and Gestures,,AMFG,
conf/ami,AmAmbient Intelligence,,AmI,
conf/amia,American Medical Informatics Association Annual Symposium,,AMIA,19.0
conf/amif,Ambient Intelligence Forum,,AMIF,
conf/amining,Active Mining,,,
conf/amire,AMiAutonomous Minirobots for Research and Edutainment,,AMiRE,
conf/amkm,Agent Mediated Knowledge Management,,AMKM,
conf/amlta,Advanced Machine Learning Technologies and Applications,,AMLTA,
conf/amma,"Auctions, Market Mechanisms and Their Applications",,AMMA,
conf/ammds,Activity Monitoring by Multiple Distributed Sensing,,AMMDS,
conf/amost,Advances in Model-Based Software Testing,,A-MOST,
conf/amr,Adaptive Multimedia Retrieval,,AMR,
conf/ams,Autonome Mobile Systeme,,AMS,19.0
conf/amsterdam,Amsterdam Colloquium,,,
conf/amt,Active Media Technology,,AMT,9.0
conf/amta,Conference of the Association for Machine Translation in the Americas,,AMTA,
conf/amw,,,AMW,10.0
conf/analco,Analytic Algorithmics and Combinatorics,,ANALCO,
conf/anb,Algebraic and Numeric Biology,,ANB,
conf/ancs,Architectures for Networking and Communications Systems,,ANCS,
conf/and,Analytics for Noisy Unstructured Text Data,,AND,162.0
conf/anlp,Applied Natural Language Processing Conference,,ANLP,
conf/ann,Artificial Neural Networks,,ANN,14.0
conf/anna,Analysis of Neural Network Applications,,ANNA,23.0
conf/annes,Artificial Neural Networks and Expert Systems,,ANNES,
conf/annpr,Artificial Neural Networks in Pattern Recognition,,ANNPR,
conf/anns,ANNsArtificial Neural Networks,,ANNs,
conf/ant,"Ambient Systems, Networks and Technologies",,ANT,
conf/antalg,Ant Algorithms,,ANTS,
conf/ants,Algorithmic Number Theory Symposium,,ANTS,
conf/antsw,Ant Colony Optimization and Swarm Intelligence,,ANTS,
conf/anziis,Australian New Zealand Conference on Intelligent Information Systems,,ANZIIS,
conf/aois,Agent-Oriented Information Systems,,AOIS,
conf/aosd,Virtual Machines and Intermediate Languages for Emerging Modularization Mechanisms,,VMIL,
conf/aose,Agent-Oriented Software Engineering,,AOSE,
conf/ap2pc,Agents and Peer-to-Peer Computing,,AP2PC,
conf/ap2ps,Advances in P2P Systems,,AP2PS,
conf/apbc,Asia-Pacific Bioinformatics Conference,,APBC,
conf/apbpm,Asia Pacific Business Process Management,,AP-BPM,
conf/apccas,Asia Pacific Conference on Circuits and Systems,,APCCAS,8.0
conf/apccm,Asia-Pacific Conference on Conceptual Modelling,,APCCM,
conf/apchi,Asia-Pacific Computer and Human Interaction,,APCHI,
conf/apdc,Advances / Applications in Parallel and Distributed Computing,,APDC,
conf/apf,Annual Privacy Forum,,APF,
conf/apgv,Symposium on Applied Perception,,SAP,
conf/apl,APL Conference,,APL,6.0
conf/aplas,Asian Symposium on Programming Languages and Systems,,APLAS,
conf/apn,Petri NetsApplications and Theory of Petri Nets,,Petri Nets,16.0
conf/apnoms,Asia-Pacific Network Operations and Management Symposium,,APNOMS,9.0
conf/appinf,Applied Informatics,,AI,8.0
conf/approx,Approximation Algorithms for Combinatorial Optimization,,APPROX,19.0
conf/appt,Advanced Parallel Programming Technologies,,APPT,
conf/apscc,Asia-Pacific Services Computing Conference,,APSCC,14.0
conf/apsec,Asia-Pacific Software Engineering Conference,,APSEC,13.0
conf/apsys,APSysAsia Pacific Workshop on Systems,,APSys,
conf/apvis,PacificVisIEEE Pacific Visualization Symposium,,PacificVis,
conf/apwcs,Asia-Pacific Conference on Wearable Computing Systems,,APWCS,6.0
conf/apweb,APWebAsia-Pacific Web Conference,,APWeb,
conf/aquileia,AquileiaThe New Technologies for Aquileia,,Aquileia,
conf/arbeitspl,Arbeitsplätze morgen,,,
conf/arc,Applied Reconfigurable Computing,,ARC,12.0
conf/arcs,Architektur von Rechensystemen,,ARCS,
conf/arcsf,"Automation, Robotics and Control Systems",,ARCS,
conf/ares,ESPRIT ARES Workshops,,ESPRIT ARES,
conf/argmas,ArgArgumentation in Multi-Agent Systems,,ArgMAS,
conf/arith,Symposium on Computer Arithmetic,,ARITH,
conf/arso,Advanced Robotics and its Social Impacts,,ARSO,6.0
conf/artcom,ARTComAdvances in Recent Technologies in Communication and Computing,,ARTCom,
conf/artdb,Active and Real-Time Database Systems,,ARTDB,
conf/artqos,Art-QoArchitectures for Quality of Service in the Internet,,Art-QoS,
conf/arts,AMAST Workshop,,ARTS,22.0
conf/artsit,ArtsArts and Technology,,ArtsIT,
conf/arvlsi,Advanced Research in VLSI,,ARVLSI,
conf/asap,"Application-Specific Systems, Architectures, and Processors",,ASAP,14.0
conf/asc,Artificial Intelligence and Soft Computing,,ASC,13.0
conf/ascilite,Australian Society for Computers in Tertiary Education,,ASCILITE,
conf/ascm,Asian Symposium on Computer Mathematics,,ASCM,
conf/asiacrypt,ASIACRYPT,,,34.0
conf/asiajcis,AsiaAsia Joint Conference on Information Security,,AsiaJCIS,
conf/asiams,Asia International Conference on Modelling and Simulation,,AMS,19.0
conf/asian,Asian Computing Science Conference,,ASIAN,49.0
conf/asiasim,AsiaSimAsian Simulation Conference,,AsiaSim,
conf/asm,Workshops on Abstract State Machines,,ASM,
conf/asmta,Analytical and Stochastic Modeling Techniques and Applications,,ASMTA,9.0
conf/asp,Answer Set Programming,,ASP,28.0
conf/aspdac,Asia and South Pacific Design Automation Conference,,ASP-DAC,28.0
conf/asplos,General Purpose Processing on Graphics Processing Units,,GPGPU,
conf/asru,Automatic Speech Recognition & Understanding,,ASRU,20.0
conf/assets,Conference on Computers and Accessibility,,ASSETS,19.0
conf/assistive,Assistive Technology and Artificial Intelligence,,,
conf/assri,Australian Symposium on Service Research and Innovation,,ASSRI,
conf/asst,Aachener Symposium für Signaltheorie,,ASST,
conf/asunam,Advances in Social Networks Analysis and Mining,,ASONAM,20.0
conf/aswc,Asian Semantic Web Conference,,ASWC,
conf/aswec,Australian Software Engineering Conference,,ASWEC,
conf/aswsd,Automotive Software Workshop,,ASWSD,
conf/async,Symposium on Asynchronous Circuits and Systems,,ASYNC,
conf/at,Agreement Technologies,,AT,21.0
conf/atacss,Application and Theory of Automation in Command and Control Systems,,SNDS,
conf/atal,International Workshop on Trust in Agent Societies,,TRUST,20.0
conf/atc,Autonomic and Trusted Computing,,ATC,11.0
conf/ate,Automated Theory Engineering,,ATE,
conf/atmn,ATM NetworksModelling and Evaluation of ATM Networks,,ATM Networks,
conf/atmos,"Algorithmic Approaches for Transportation Modeling, Optimization, and Systems",,ATMOS,
conf/ats,Asian Test Symposium,,ATS,14.0
conf/atva,Automated Technology for Verification and Analysis,,ATVA,16.0
conf/audio,Audio Mostly Conference,,AM,2.0
conf/aughuman,Augmented Human International Conference,,AH,11.0
conf/auic,Australasian User Interface Conference,,AUIC,
conf/ausai,Australian Joint Conference on Artificial Intelligence,,AUS-AI,
conf/ausdm,AusAustralasian Data Mining Conference,,AusDM,
conf/ausforensics,"Australian Computer, Network & Information Forensics Conference",,,
conf/aussois,AussoisCombinatorial Optimization,,Aussois,
conf/austrographics,Austrographics,,,
conf/autoid,AutoAutomatic Identification Advanced Technologies,,AutoID,
conf/automata,Automata Theory and Formal Languages / Automatentheorie und Formale Sprachen,,,
conf/automotiveSS,AutomotiveSafety & Security,,Automotive,16.0
conf/automotiveUI,AutomotiveAutomotive User Interfaces and Interactive Vehicular Applications,,AutomotiveUI,
conf/autonomics,AutonomicsAutonomic Computing and Communication Systems,,Autonomics,1.0
conf/avbpa,Audio- and Video-Based Biometric Person Authentication,,AVBPA,
conf/avi,Advanced Visual Interfaces,,AVI,14.0
conf/avmfss,Automatic Verification Methods for Finite State Systems,,,
conf/avr,Augmented and Virtual Reality,,AVR,
conf/avsp,Auditory-Visual Speech Processing,,AVSP,8.0
conf/avss,Advanced Video and Signal Based Surveillance,,AVSS,23.0
conf/awcc,Advanced Workshop on Content Computing,,AWCC,
conf/awic,Atlantic Web Intelligence Conference,,AWIC,
conf/awoc,Aegean Workshop on Computing,,AWOC,
conf/awpn,Algorithmen und Werkzeuge für Petrinetze,,AWPN,
conf/axmedis,Automated Production of Cross Media Content for Multi-channel Distribution,,AXMEDIS,
conf/b,Formal Specification and Development in B,,B,128.0
conf/baip,Business Administration and Information Processing,,BAIP,8.0
conf/balt,DB&Baltic Conference on Databases and Information Systems,,DB&IS,132.0
conf/bambi,Bayesian and grAphical Models for Biomedical Imaging,,BAMBI,
conf/banff,Banff Higher Order Workshop,,Banff,
conf/bcb,"Bioinformatics, Computational Biology and Biomedicine",,BCB,
conf/bcbgc,"Bioinformatics, Computational Biology, Genomics and Chemoinformatics",,BCGBC,
conf/bcc,British Combinatorial Conference,,,
conf/bcec,Biocomputing and Emergent Computation,,BCEC,
conf/bci,Balkan Conference in Informatics,,BCI,6.0
conf/bcs,BCS International Academic Conference,,BCS,17.0
conf/bcshci,BCS British Computer Society Conference on Human-Computer Interaction,,BCS HCI,17.0
conf/bda,Journées Bases de Données Avancées,,BDA,
conf/bdas,"Beyond Databases, Architectures, and Structures",,BDAS,
conf/bdim,Business-Driven IT Management,,BDIM,
conf/belief,Belief Functions,,,
conf/beliv,Beyond Time and Errors: Novel Evaluation Methods for Visualization,,BELIV,
conf/berkeley,Berkeley Workshop on Distributed Data Management and Computer Networks,,Berkeley Workshop,
conf/berlin,Berlin Workshops,,,
conf/bertinoro,Bertinoro Workshops,,,
conf/bhi,Biomedical and Health Informatics,,BHI,9.0
conf/bi,Broadband Islands,,,
conf/bibe,Bioinformatics and Bioengineering,,BIBE,10.0
conf/bibm,Bioinformatics and Biomedicine,,BIBM,15.0
conf/bic-ta,Bio-Inspired Computing: Theories and Applications,,BIC-TA,9.0
conf/bica,Biologically Inspired Cognitive Architectures,,BICA,7.0
conf/bicob,BICoBioinformatics and Computational Biology,,BICoB,
conf/bics,Brain Inspired Cognitive Systems,,BICS,
conf/bife,Business Intelligence and Financial Engineering,,BIFE,9.0
conf/bifoa,Internationale Fachtagung: Informationszentren in Wirtschaft und Verwaltung,,GI-BIFOA,
conf/bigcomp,Big Data and Smart Computing,,BIGCOMP,
conf/bigda,Big Data Analytics,,BDA,
conf/bigdata,BigData Congress,,BigData,
conf/bigdataconf,BigDataIEEE International Conference on Big Data,,BigData,
conf/biiml,Bristol Ideas in Mobile Learning,,BIIML,
conf/bildmed,Bildverarbeitung für die Medizin,,,7.0
conf/bioadit,BioBiologically Inspired Approaches to Advanced Information Technology,,BioADIT,
conf/biocomp,Bioinformatics & Computational Biology,,BIOCOMP,104.0
conf/bioid,Biometrics and Identity Management,,BIOID,
conf/biomed,BioBiomedical Engineering,,BioMED,51.0
conf/bionetics,"Bioinspired Models of Network, Information, and Computing Systems",,BIONETICS,7.0
conf/biosig,Biometrics and Electronic Signatures,,BIOSIG,9.0
conf/biostec,Health Informatics,,HEALTHINF,16.0
conf/biosurveillance,BioSurveillance,,,
conf/biotechno,"Biocomputation, Bioinformatics, and Biomedical Technologies",,BIOTECHNO,
conf/biovis,BioVisSymposium on Biological Data Visualization,,BioVis,
conf/biow,Informatik in den Biowissenschaften,,,
conf/biowire,Bio-Inspired Design of Networks,,BIOWIRE,
conf/bir,Business Informatics Research,,BIR,7.0
conf/bird,Bioinformatics Research and Development,,BIRD,15.0
conf/birte,Business Intelligence for the Real-Time Enterprises,,BIRTE,
conf/birthday,Principles of Computing & Knowledge,,PCK50,27.0
conf/bis,Business Information Systems,,BIS,14.0
conf/biwit,Basque International Workshop on Information Technology,,BIWIT,
conf/bliss,"Bio-inspired, Learning, and Intelligent Systems for Security",,BLISS,
conf/blogtalk,BlogTalkInternational Conferences on Social Software,,BlogTalk,
conf/bmas,Behavioral Modeling and Simulation,,BMAS,
conf/bmcv,Biologically Motivated Computer Vision,,BMCV,
conf/bmei,BioMedical Engineering and Informatics,,BMEI,14.0
conf/bmsb,Broadband Multimedia Systems and Broadcasting,,BMSB,13.0
conf/bmsd,Business Modeling and Software Design,,BMSD,
conf/bmvc,British Machine Vision Conference,,BMVC,37.0
conf/bnaic,Belgium-Netherlands Conference on Artificial Intelligence,,BNAIC,
conf/bncod,British National Conference on Databases,,BNCOD,
conf/bnt,Broadband Networking Technologies,,,
conf/boemie,Bootstrapping Ontology Evolution with Multimedia Information Extraction,,BOEMIE,
