	Name	Link	NPubs_list	NCits_list	ShortName
5185	IEEE Circuits and Systems International Conference on Testing and Diagnosis	/Conference/5185/ictd-ieee-circuits-and-systems-international-conference-on-testing-and-diagnosis	172	41	ICTD
3338	Computer Conference, CSICC, International	/Conference/3338/csi-computer-conference-csicc-international	114	41	CSI
1866	International Conference on Information Technology in Asia	/Conference/1866/cita-international-conference-on-information-technology-in-asia	102	41	CITA
2696	International Conference on Agents and Artificial Intelligence	/Conference/2696/icaart-international-conference-on-agents-and-artificial-intelligence	97	41	ICAART
2552	Software Engineering Theory and Practice	/Conference/2552/setp-software-engineering-theory-and-practice	64	41	SETP
2543	Languages, Methodologies and Development Tools for Multi-Agent Systems	/Conference/2543/lads-languages-methodologies-and-development-tools-for-multi-agent-systems	27	41	LADS
2708	International Conference for Young Computer Scientists	/Conference/2708/icycs-international-conference-for-young-computer-scientists	3	41	ICYCS
2539	Medical Biometrics	/Conference/2539/icmb-medical-biometrics	86	40	ICMB
3565	IEEE Symposium on Advanced Management of Information for Globalized Enterprises	/Conference/3565/amige-ieee-symposium-on-advanced-management-of-information-for-globalized-enterprises	75	40	AMIGE
2000	Gemeinschaften in Neuen Medien	/Conference/2000/geneme-gemeinschaften-in-neuen-medien	47	40	GENEME
2597	Electronic Technology Directions to the Year 2000	/Conference/2597/electronic-technology-directions-to-the-year-2000	42	40	
4419	International Conference on Mobile Data Management Workshops	/Conference/4419/mdmw-international-conference-on-mobile-data-management-workshops	25	40	MDMW
2183	Model-Based User Interface	/Conference/2183/mbui-model-based-user-interface	12	40	MBUI
2734	IEEE/IFIP Network Operations and Management Symposium	/Conference/2734/noms-ieee-ifip-network-operations-and-management-symposium	7	40	NOMS
3941	International Conference on High Performance Computing & Simulation	/Conference/3941/hpcs-international-conference-on-high-performance-computing-&-simulation	153	39	HPCS
2740	Scalable Computing and Communications	/Conference/2740/scalcom-embeddedcom-scalable-computing-and-communications	122	39	ScalCom-EmbeddedCom
2731	Nano-Net	/Conference/2731/nano-net	51	39	
2601	China-Japan Conference on Discrete Geometry, Combinatorics and Graph Theory	/Conference/2601/cjcdgcgt-china-japan-conference-on-discrete-geometry-combinatorics-and-graph-theory	31	39	CJCDGCGT
1849	Central European Functional Programming School	/Conference/1849/cefp-central-european-functional-programming-school	28	39	CEFP
1132	IFIP WG13.2 Publications	/Conference/1132/ifip-wg13-2-publications	16	39	
2389	Workshop on Nonlinear Speech Processing	/Conference/2389/wnsp-workshop-on-nonlinear-speech-processing	15	39	WNSP
102	International Unicode Conference	/Conference/102/iuc-international-unicode-conference	2	39	IUC
1569	Simulationstechnik	/Conference/1569/simulationstechnik	411	38	
3106	International Joint Conference on Bioinformatics, Systems Biology and Intelligent Computing	/Conference/3106/ijcbs-international-joint-conference-on-bioinformatics-systems-biology-and-intelligent-computing	114	38	IJCBS
1146	IFIP TC3/WG3.7 Publications	/Conference/1146/ifip-tc3-wg3-7-publications	54	38	
2541	Tbilisi Symposium on Logic, Language, and Computation	/Conference/2541/tbillc-tbilisi-symposium-on-logic-language-and-computation	43	38	TbiLLC
697	Workshop Föderierte Datenbanken	/Conference/697/fdbs-workshop-f-derierte-datenbanken	27	38	FDBS
5055	International Conference on Software Testing, Reliability and Quality Assurance, Conference Proceedings	/Conference/5055/strqa-international-conference-on-software-testing-reliability-and-quality-assurance-conference	26	38	STRQA
562	Canada-France Conference on Parallel and Distributed Computing	/Conference/562/cfcp-canada-france-conference-on-parallel-and-distributed-computing	21	38	CFCP
1155	Analysis of Neural Network Applications	/Conference/1155/anna-analysis-of-neural-network-applications	17	38	ANNA
1841	Cryptographic Algorithms and their Uses	/Conference/1841/cau-cryptographic-algorithms-and-their-uses	14	38	CAU
1487	Portability of Numerical Software	/Conference/1487/portability-of-numerical-software	24	37	
2050	Industrial Conference on Data Mining	/Conference/2050/icdm2-industrial-conference-on-data-mining	19	37	ICDM2
1457	Personal Computing	/Conference/1457/personal-computing	15	37	
