Name	Link	NPubs_list	NCits_list	ShortName
Journal of Applied Econometrics	/Journal/4825/j-appl-econom-journal-of-applied-econometrics	1161	27178	J APPL ECONOM
Journal of Product Innovation Management	/Journal/4920/j-prod-innovat-manage-journal-of-product-innovation-management	1675	27035	J PROD INNOVAT MANAGE
Economic Inquiry	/Journal/4690/econ-inq-economic-inquiry	2536	26962	ECON INQ
Journal of Marketing	/Journal/4905/j-marketing-journal-of-marketing	850	26919	J MARKETING
Organization Studies	/Journal/4979/organ-stud-organization-studies	1944	26849	ORGAN STUD
Industrial Marketing Management	/Journal/4773/ind-market-manag-industrial-marketing-management	2626	26304	IND MARKET MANAG
Tourism Management	/Journal/5062/tourism-manage-tourism-management	3090	26109	TOURISM MANAGE
Long Range Planning	/Journal/4949/long-range-plann-long-range-planning	4145	25959	LONG RANGE PLANN
Journal of International Money and Finance	/Journal/4890/j-int-money-finan-journal-of-international-money-and-finance	1705	25389	J INT MONEY FINAN
Revue Economique	/Journal/5013/rev-econ-revue-economique	8189	23331	REV ECON
Transportation Research Part B-methodological	/Journal/5870/transp-res-pt-b-method-transportation-research-part-b-methodological	1524	23198	TRANSP RES PT B-METHOD
International Journal of Industrial Organization	/Journal/4794/int-j-ind-organ-international-journal-of-industrial-organization	1500	22680	INT J IND ORGAN
Omega-international Journal of Management Science	/Journal/4973/omega-int-j-manage-sci-omega-international-journal-of-management-science	2705	22423	OMEGA-INT J MANAGE SCI
Health Economics	/Journal/4762/health-economics	1870	22314	
Journal of Retailing	/Journal/4926/j-retail-journal-of-retailing	557	21217	J RETAIL
Financial Analysts Journal	/Journal/4745/financ-anal-j-financial-analysts-journal	4425	19769	FINANC ANAL J
Research in Nursing & Health	/Journal/11336/res-nurs-health-research-in-nursing-&-health	1655	18973	RES NURS HEALTH
Journal of Travel Research	/Journal/11018/j-travel-res-journal-of-travel-research	1569	18794	J TRAVEL RES
Interfaces	/Journal/1052/interfaces	2750	18487	
Journal of Marketing Research	/Journal/4904/j-market-res-chicago-journal-of-marketing-research	563	17171	J MARKET RES-CHICAGO
Economica	/Journal/4709/economica	1103	17009	
Organizational Dynamics	/Journal/4976/organ-dyn-organizational-dynamics	1028	16985	ORGAN DYN
Economic Theory	/Journal/4703/econ-theory-economic-theory	2085	16898	ECON THEORY
Business Horizons	/Journal/14270/business-horizons	3892	16891	
Leadership Quarterly	/Journal/4947/leadership-quarterly	1212	16586	
Small Business Economics	/Journal/5047/small-bus-econ-small-business-economics	1179	16363	SMALL BUS ECON
International Journal of Forecasting	/Journal/4789/int-j-forecasting-international-journal-of-forecasting	1876	16358	INT J FORECASTING
Journal of Cleaner Production	/Journal/5500/j-clean-prod-journal-of-cleaner-production	2297	16285	J CLEAN PROD
Journal of Mathematical Economics	/Journal/4906/j-math-econ-journal-of-mathematical-economics	1564	15962	J MATH ECON
Econometric Theory	/Journal/4707/economet-theory-econometric-theory	1323	15733	ECONOMET THEORY
Financial Management	/Journal/4744/finan-manage-financial-management	1335	15632	FINAN MANAGE
Energy Economics	/Journal/4717/energ-econ-energy-economics	2129	15391	ENERG ECON
Industrial and Corporate Change	/Journal/4771/ind-corp-change-industrial-and-corporate-change	616	15193	IND CORP CHANGE
Journal of Economic History	/Journal/4854/j-econ-hist-journal-of-economic-history	7711	15126	J ECON HIST
Mathematical Finance	/Journal/4962/math-financ-mathematical-finance	557	15080	MATH FINANC
International Journal of Research in Marketing	/Journal/4800/int-j-res-mark-international-journal-of-research-in-marketing	835	14921	INT J RES MARK
International Journal of Game Theory	/Journal/4790/int-j-game-theory-international-journal-of-game-theory	1346	14880	INT J GAME THEORY
Technovation	/Journal/5856/technovation	2017	14868	
Insurance Mathematics & Economics	/Journal/4778/insur-math-econ-insurance-mathematics-&-economics	2169	14867	INSUR MATH ECON
Accounting Review	/Journal/4604/account-rev-accounting-review	557	14799	ACCOUNT REV
Naval Research Logistics Quarterly	/Journal/13322/naval-research-logistics-quarterly	1453	14703	
Journal of Business Finance & Accounting	/Journal/4833/j-bus-finan-account-journal-of-business-finance-&-accounting	2033	14637	J BUS FINAN ACCOUNT
Journal of Risk and Uncertainty	/Journal/4929/j-risk-uncertainty-journal-of-risk-and-uncertainty	634	14546	J RISK UNCERTAINTY
Systems Research and Behavioral Science	/Journal/5056/syst-res-behav-sci-systems-research-and-behavioral-science	2451	14293	SYST RES BEHAV SCI
Economic Record	/Journal/4700/econ-rec-economic-record	2942	14131	ECON REC
Journal of Economic Literature	/Journal/4857/j-econ-lit-journal-of-economic-literature	186	13828	J ECON LIT
Oxford Review of Economic Policy	/Journal/4983/oxford-rev-econ-policy-oxford-review-of-economic-policy	803	13810	OXFORD REV ECON POLICY
Environmental & Resource Economics	/Journal/4723/environ-resour-econ-environmental-&-resource-economics	1431	13627	ENVIRON RESOUR ECON
Jcms: Journal of Common Market Studies	/Journal/17372/jcms-journal-of-common-market-studies	2380	13432	
Management Decision	/Journal/4953/manage-decision-management-decision	2613	13225	MANAGE DECISION
International Marketing Review	/Journal/4807/int-mark-rev-international-marketing-review	995	13178	INT MARK REV
World Economy	/Journal/5070/world-econ-world-economy	1643	12889	WORLD ECON
Journal of Comparative Economics	/Journal/4839/j-comp-econ-journal-of-comparative-economics	2022	12822	J COMP ECON
International Journal of Service Industry Management	/Journal/4801/int-j-service-ind-management-international-journal-of-service-industry-management	452	12819	INT J SERVICE IND MANAGEMENT
Human Resource Management	/Journal/4766/hum-resour-manage-human-resource-management	1523	12802	HUM RESOUR MANAGE
International Journal of Human Resource Management	/Journal/4793/int-j-hum-resour-manag-international-journal-of-human-resource-management	2436	12798	INT J HUM RESOUR MANAG
Accounting, Auditing & Accountability Journal	/Journal/16941/accounting-auditing-&-accountability-journal	754	12781	
Kyklos	/Journal/4945/kyklos	2082	12572	
Review of World Economics	/Journal/5032/rev-world-econ-review-of-world-economics	1850	12395	REV WORLD ECON
