Name	Link	NPubs_list	NCits_list	ShortName
Brookings Papers on Economic Activity	/Journal/4653/brookings-pap-econ-activ-brookings-papers-on-economic-activity	347	5160	BROOKINGS PAP ECON ACTIV
Australian Economic Review	/Journal/4642/aust-econ-rev-australian-economic-review	1226	5144	AUST ECON REV
Pacific-basin Finance Journal	/Journal/4986/pac-basin-financ-j-pacific-basin-finance-journal	556	5092	PAC-BASIN FINANC J
Journal of Business Strategy	/Journal/16965/journal-of-business-strategy	1596	5056	
Journal of Financial Services Research	/Journal/4870/j-finan-serv-res-journal-of-financial-services-research	719	5053	J FINAN SERV RES
Socio-economic Planning Sciences	/Journal/14301/socio-economic-planning-sciences	1412	5049	
Journal of Business Communication	/Journal/18119/j-bus-comm-journal-of-business-communication	1559	5028	J Bus Comm
M&som-manufacturing & Service Operations Management	/Journal/11712/m&som-manufacturing-&-service-operations-management	340	5022	
Review of International Political Economy	/Journal/5028/rev-int-polit-econ-review-of-international-political-economy	692	4981	REV INT POLIT ECON
Corporate Governance-an International Review	/Journal/4677/corp-gov-corporate-governance-an-international-review	718	4935	CORP GOV
Business Process Management Journal	/Journal/16952/business-process-management-journal	581	4935	
Fiscal Studies	/Journal/4749/fisc-stud-fiscal-studies	678	4861	FISC STUD
Journal of Economics	/Journal/4849/j-econ-journal-of-economics	2721	4848	J ECON
Accounting Horizons	/Journal/4602/account-horiz-accounting-horizons	291	4700	ACCOUNT HORIZ
Econometrics Journal	/Journal/4705/econom-j-econometrics-journal	291	4697	ECONOM J
The Quarterly Review of Economics and Finance	/Journal/14261/the-quarterly-review-of-economics-and-finance	904	4659	
Experimental Economics	/Journal/4739/exp-econ-experimental-economics	367	4638	EXP ECON
Journal of Financial Markets	/Journal/4873/j-financ-mark-journal-of-financial-markets	324	4625	J FINANC MARK
Financial Accountability and Management	/Journal/17285/financ-account-manag-financial-accountability-and-management	723	4619	Financ Account Manag
International Journal of Manpower	/Journal/4797/int-j-manpower-international-journal-of-manpower	1016	4617	INT J MANPOWER
The British Accounting Review	/Journal/14556/the-british-accounting-review	827	4579	
Capital & Class	/Journal/18245/capital-&-class	1017	4573	
European Journal of Purchasing & Supply Management	/Journal/14299/european-journal-of-purchasing-&-supply-management	201	4482	
History of Political Economy	/Journal/4763/hist-polit-econ-history-of-political-economy	2352	4474	HIST POLIT ECON
Simulation & Gaming	/Journal/18080/simulat-gaming-simulation-&-gaming	1852	4458	Simulat Gaming
International Journal of Social Economics	/Journal/17046/international-journal-of-social-economics	1785	4444	
Journal of Engineering and Technology Management	/Journal/5525/j-eng-technol-manage-journal-of-engineering-and-technology-management	483	4420	J ENG TECHNOL MANAGE
Group Decision and Negotiation	/Journal/4759/group-decis-negotiation-group-decision-and-negotiation	663	4417	GROUP DECIS NEGOTIATION
Employee Relations	/Journal/16961/employee-relations	948	4362	
Management Communication Quarterly	/Journal/4951/manag-commun-q-management-communication-quarterly	646	4341	MANAG COMMUN Q
Marketing Science	/Journal/1046/marketing-marketing-science	326	4285	Marketing
Journal of Macromarketing	/Journal/18079/journal-of-macromarketing	876	4256	
Journal of Retailing and Consumer Services	/Journal/14248/journal-of-retailing-and-consumer-services	750	4221	
Benchmarking: An International Journal	/Journal/16949/benchmarking-an-international-journal	542	4211	
European Financial Management	/Journal/4727/eur-financ-manag-european-financial-management	481	4195	EUR FINANC MANAG
Auditing-a Journal of Practice & Theory	/Journal/4638/auditing-j-pract-theor-auditing-a-journal-of-practice-&-theory	278	4154	AUDITING-J PRACT THEOR
Negotiation Journal	/Journal/4969/negotiation-j-negotiation-journal	1348	4152	NEGOTIATION J
Journal of Air Transport Management	/Journal/4823/j-air-transp-manag-journal-of-air-transport-management	789	4149	J AIR TRANSP MANAG
International Journal of Public Sector Management	/Journal/16940/international-journal-of-public-sector-management	794	4098	
Women in Management Review	/Journal/16926/women-in-management-review	606	4085	
Review of African Political Economy	/Journal/15927/review-of-african-political-economy	1474	4080	
Revista Panamericana De Salud Publica-pan American Journal of Public Health	/Journal/11373/rev-panam-salud-publica-revista-panamericana-de-salud-publica-pan-american-journal-of-public	1502	4076	REV PANAM SALUD PUBLICA
Journal of Small Business Management	/Journal/4934/j-small-bus-management-journal-of-small-business-management	366	4047	J SMALL BUS MANAGEMENT
International Journal of Management Reviews	/Journal/4796/int-j-manag-rev-international-journal-of-management-reviews	202	4027	INT J MANAG REV
Review of Development Economics	/Journal/5012/rev-dev-econ-review-of-development-economics	632	4019	REV DEV ECON
Journal of Economic Education	/Journal/4852/j-econ-educ-journal-of-economic-education	789	3987	J ECON EDUC
Structural Change and Economic Dynamics	/Journal/14284/structural-change-and-economic-dynamics	589	3967	
Journal of Management Inquiry	/Journal/4902/j-manage-inquiry-journal-of-management-inquiry	1265	3965	J MANAGE INQUIRY
The Learning Organization	/Journal/17044/the-learning-organization	500	3925	
Australian Economic Papers	/Journal/4641/aust-econ-pap-australian-economic-papers	1317	3901	AUST ECON PAP
Journal of International Marketing	/Journal/4889/j-int-marketing-journal-of-international-marketing	225	3874	J INT MARKETING
Astin Bulletin	/Journal/10189/astin-bull-astin-bulletin	531	3851	ASTIN BULL
The Journal of Fixed Income	/Journal/21144/the-journal-of-fixed-income	555	3849	
Journal of Housing Economics	/Journal/4879/j-hous-econ-journal-of-housing-economics	401	3821	J HOUS ECON
Journal of Hospitality & Tourism Research	/Journal/18100/j-hospit-tourism-res-journal-of-hospitality-&-tourism-research	1000	3810	J Hospit Tourism Res
Strategy & Leadership	/Journal/16964/strategy-&-leadership	1328	3808	
Energy Journal	/Journal/4718/energy-j-energy-journal	854	3793	ENERGY J
Managerial Auditing Journal	/Journal/17020/managerial-auditing-journal	1133	3783	
Macroeconomic Dynamics	/Journal/4950/macroecon-dyn-macroeconomic-dynamics	463	3754	MACROECON DYN
Review of Accounting Studies	/Journal/13449/review-of-accounting-studies	365	3752	
Abacus-a Journal of Accounting Finance and Business Studies	/Journal/4592/abacus-abacus-a-journal-of-accounting-finance-and-business-studies	717	3733	ABACUS
American Journal of Economics and Sociology	/Journal/10107/amer-j-econ-sociol-american-journal-of-economics-and-sociology	3528	3731	AMER J ECON SOCIOL
South African Journal of Economics	/Journal/5037/s-afr-j-econ-south-african-journal-of-economics	2529	3708	S AFR J ECON
International Journal of Finance & Economics	/Journal/4788/int-j-financ-econ-international-journal-of-finance-&-economics	500	3688	INT J FINANC ECON
Journal of Asian Economics	/Journal/14067/journal-of-asian-economics	1149	3621	
Computational Economics	/Journal/4670/comput-econ-computational-economics	733	3610	COMPUT ECON
Scandinavian Actuarial Journal	/Journal/5039/scand-actuar-j-scandinavian-actuarial-journal	1470	3596	SCAND ACTUAR J
Journal of Small Business and Enterprise Development	/Journal/17021/journal-of-small-business-and-enterprise-development	591	3562	
Nonprofit Management and Leadership	/Journal/13150/nonprofit-management-and-leadership	689	3541	
Journal of Industrial Economics	/Journal/4881/j-ind-econ-journal-of-industrial-economics	314	3533	J IND ECON
National Institute Economic Review	/Journal/18093/natl-inst-econ-rev-national-institute-economic-review	897	3532	Natl Inst Econ Rev
Career Development International	/Journal/16948/career-development-international	653	3530	
Systemic Practice and Action Research	/Journal/5055/syst-pract-action-res-systemic-practice-and-action-research	876	3517	SYST PRACT ACTION RES
Journal of Multi-criteria Decision Analysis	/Journal/13145/journal-of-multi-criteria-decision-analysis	522	3495	
Journal of Industrial Relations	/Journal/4883/j-ind-relat-journal-of-industrial-relations	2883	3477	J IND RELAT
New Directions for Philanthropic Fundraising	/Journal/13153/new-directions-for-philanthropic-fundraising	1816	3463	
The Journal of Education for Business	/Journal/16427/the-journal-of-education-for-business	3806	3439	
International Journal of Conflict Management	/Journal/4784/int-j-confl-management-international-journal-of-conflict-management	382	3434	INT J CONFL MANAGEMENT
Journal of Public Policy & Marketing	/Journal/4923/j-public-policy-marketing-journal-of-public-policy-&-marketing	291	3428	J PUBLIC POLICY MARKETING
Australian Journal of Agricultural and Resource Economics	/Journal/4643/aust-j-agric-resour-econ-australian-journal-of-agricultural-and-resource-economics	385	3397	AUST J AGRIC RESOUR ECON
Journal of Cultural Economics	/Journal/4845/j-cult-econ-journal-of-cultural-economics	671	3395	J CULT ECON
Journal of Workplace Learning	/Journal/17036/journal-of-workplace-learning	737	3386	
Bulletin of Indonesian Economic Studies	/Journal/4655/bull-indones-econ-stud-bulletin-of-indonesian-economic-studies	809	3369	BULL INDONES ECON STUD
Electronic Commerce Research and Applications	/Journal/289/ecra-electronic-commerce-research-and-applications	454	3346	ECRA
Industry and Innovation	/Journal/10653/ind-innov-industry-and-innovation	387	3337	IND INNOV
Review of Radical Political Economics	/Journal/18114/review-of-radical-political-economics	2228	3260	
Feminist Economics	/Journal/4743/fem-econ-feminist-economics	667	3250	FEM ECON
Bulletin of Economic Research	/Journal/4654/bull-econ-res-bulletin-of-economic-research	1006	3239	BULL ECON RES
The International Review of Retail, Distribution and Consumer Research	/Journal/16209/the-international-review-of-retail-distribution-and-consumer-research	658	3227	
Economic and Industrial Democracy	/Journal/4689/econ-ind-democracy-economic-and-industrial-democracy	904	3166	ECON IND DEMOCRACY
International Journal of Public Administration	/Journal/16633/international-journal-of-public-administration	2015	3147	
International Journal of Entrepreneurial Behaviour & Research	/Journal/16946/international-journal-of-entrepreneurial-behaviour-&-research	311	3127	
Facilities	/Journal/16919/facilities	1097	3104	
Public Finance Review	/Journal/4995/public-financ-rev-public-finance-review	856	3089	PUBLIC FINANC REV
Integrated Manufacturing Systems	/Journal/16947/integrated-manufacturing-systems	488	3086	
Journal of African Economies	/Journal/4819/j-afr-econ-journal-of-african-economies	390	3056	J AFR ECON
Performance Improvement	/Journal/13302/performance-improvement	1217	3044	
Japan and The World Economy	/Journal/4944/jpn-world-econ-japan-and-the-world-economy	705	3036	JPN WORLD ECON
Economics and Philosophy	/Journal/4696/econ-phil-economics-and-philosophy	669	3016	ECON PHIL
Journal of Accounting Education	/Journal/14229/journal-of-accounting-education	692	3009	
The Engineering Economist	/Journal/16012/the-engineering-economist	1557	3003	
Accounting and Finance	/Journal/4601/account-financ-accounting-and-finance	642	2991	ACCOUNT FINANC
Australian Journal of Management	/Journal/4644/aust-j-manage-australian-journal-of-management	610	2978	AUST J MANAGE
Journal of International Financial Markets, Institutions and Money	/Journal/14281/journal-of-international-financial-markets-institutions-and-money	488	2958	
Oxford Development Studies	/Journal/16167/oxford-development-studies	655	2953	
Journal of Consumer Policy	/Journal/13483/journal-of-consumer-policy	1227	2946	
Journal of Economic Studies	/Journal/16916/journal-of-economic-studies	943	2934	
Accounting and Business Research	/Journal/4600/account-bus-res-accounting-and-business-research	1235	2865	ACCOUNT BUS RES
Review of Quantitative Finance and Accounting	/Journal/13438/review-of-quantitative-finance-and-accounting	789	2849	
International Review of Economics & Finance	/Journal/4809/int-rev-econ-financ-international-review-of-economics-&-finance	832	2831	INT REV ECON FINANC
International Finance	/Journal/4781/int-financ-international-finance	275	2830	INT FINANC
Nber Macroeconomics Annual	/Journal/4968/nber-macroecon-ann-nber-macroeconomics-annual	20	2824	NBER MACROECON ANN
Economist-netherlands	/Journal/4710/economist-netherlands	6655	2811	
Management Research News	/Journal/16981/management-research-news	1567	2770	
Journal of International Management	/Journal/4888/j-int-manag-journal-of-international-management	382	2765	J INT MANAG
New Political Economy	/Journal/4971/new-polit-econ-new-political-economy	587	2738	NEW POLIT ECON
Open Economies Review	/Journal/4974/open-econ-rev-open-economies-review	772	2733	OPEN ECON REV
Defence and Peace Economics	/Journal/4680/defence-peace-economics-defence-and-peace-economics	731	2719	DEFENCE PEACE ECONOMICS
Journal of Strategic Marketing	/Journal/16280/journal-of-strategic-marketing	503	2706	
International Review of Administrative Sciences	/Journal/10731/int-rev-adm-sci-international-review-of-administrative-sciences	1978	2686	INT REV ADM SCI
Business Ethics: A European Review	/Journal/17290/bus-ethics-eur-rev-business-ethics-a-european-review	734	2673	Bus Ethics Eur Rev
Managerial Finance	/Journal/16977/managerial-finance	1480	2658	
Corporate Reputation Review	/Journal/15606/corporate-reputation-review	362	2648	
Journal of Vacation Marketing	/Journal/18128/journal-of-vacation-marketing	448	2647	
The International Journal of Accounting	/Journal/14260/the-international-journal-of-accounting	721	2643	
European Journal of Industrial Relations	/Journal/4731/eur-j-ind-relat-european-journal-of-industrial-relations	324	2638	EUR J IND RELAT
Education Economics	/Journal/16259/education-economics	463	2627	
Atlantic Economic Journal	/Journal/13534/atlantic-economic-journal	2089	2620	
Clothing and Textiles Research Journal	/Journal/18190/clothing-and-textiles-research-journal	759	2596	
Qualitative Market Research: An International Journal	/Journal/17028/qualitative-market-research-an-international-journal	318	2588	
International Journal of The Economics of Business	/Journal/16225/international-journal-of-the-economics-of-business	467	2584	
Utilities Policy	/Journal/14267/utilities-policy	643	2583	
Journal of Public Economic Theory	/Journal/4922/j-public-econ-theory-journal-of-public-economic-theory	438	2562	J PUBLIC ECON THEORY
Metroeconomica	/Journal/17319/metroeconomica	1163	2551	
Journal of Brand Management	/Journal/15611/journal-of-brand-management	490	2525	
Labour	/Journal/17316/labour	666	2515	
International Review of Applied Economics	/Journal/16123/international-review-of-applied-economics	798	2508	
Review of Social Economy	/Journal/5030/rev-soc-econ-review-of-social-economy	1685	2501	REV SOC ECON
Journal of Risk and Insurance	/Journal/4928/j-risk-ins-journal-of-risk-and-insurance	387	2491	J RISK INS
European Journal of Innovation Management	/Journal/17018/european-journal-of-innovation-management	308	2490	
Business Communication Quarterly	/Journal/18118/bus-comm-q-business-communication-quarterly	2325	2469	Bus Comm Q
Comparative Economic Studies	/Journal/15592/comparative-economic-studies	1801	2467	
New Technology Work and Employment	/Journal/4972/new-technol-work-employ-new-technology-work-and-employment	383	2431	NEW TECHNOL WORK EMPLOY
Accounting, Management and Information Technologies	/Journal/14361/accounting-management-and-information-technologies	301	2416	
Knowledge and Process Management	/Journal/13327/knowledge-and-process-management	412	2413	
Creativity and Innovation Management	/Journal/17293/creativ-innovat-manag-creativity-and-innovation-management	605	2383	Creativ Innovat Manag
Voluntas	/Journal/13440/voluntas	638	2373	
The Journal of High Technology Management Research	/Journal/14152/the-journal-of-high-technology-management-research	340	2366	
The North American Journal of Economics and Finance	/Journal/14265/the-north-american-journal-of-economics-and-finance	372	2360	
Industrial and Commercial Training	/Journal/16951/industrial-and-commercial-training	1931	2359	
The European Journal of Development Research	/Journal/15599/the-european-journal-of-development-research	578	2328	
Journal of Financial Econometrics	/Journal/4871/j-financ-econom-journal-of-financial-econometrics	194	2295	J FINANC ECONOM
Business History	/Journal/4657/bus-hist-business-history	1372	2275	BUS HIST
Economie Et Statistique	/Journal/20874/economie-et-statistique	2250	2272	
Asia Pacific Journal of Human Resources	/Journal/10169/asia-pac-j-hum-resour-asia-pacific-journal-of-human-resources	1473	2267	ASIA PAC J HUM RESOUR
Accounting Education	/Journal/16211/accounting-education	685	2266	
Employee Responsibilities and Rights Journal	/Journal/15229/employee-responsibilities-and-rights-journal	567	2234	
Corporate Communications: An International Journal	/Journal/17030/corporate-communications-an-international-journal	403	2196	
Library Management	/Journal/16939/library-management	1005	2184	
Info	/Journal/16897/info	584	2179	
International Review of Financial Analysis	/Journal/14109/international-review-of-financial-analysis	571	2176	
Annals of Public and Cooperative Economics	/Journal/17280/ann-publ-cooper-econ-annals-of-public-and-cooperative-economics	1836	2168	Ann Publ Cooper Econ
Journal of Purchasing and Supply Management	/Journal/14167/journal-of-purchasing-and-supply-management	274	2159	
International Journal of Consumer Studies	/Journal/17413/int-j-consum-stud-international-journal-of-consumer-studies	667	2154	Int J Consum Stud
Journal of Contingencies and Crisis Management	/Journal/17311/journal-of-contingencies-and-crisis-management	481	2149	
European Journal of Health Economics	/Journal/4729/eur-j-health-econ-european-journal-of-health-economics	662	2123	EUR J HEALTH ECON
Journal of International Financial Management and Accounting	/Journal/17313/journal-of-international-financial-management-and-accounting	235	2116	
Business Strategy Review	/Journal/17292/bus-strat-rev-business-strategy-review	973	2066	Bus Strat Rev
Journal of Multinational Financial Management	/Journal/14243/journal-of-multinational-financial-management	386	2064	
International Economic Journal	/Journal/16040/international-economic-journal	1344	2052	
Journal of Institutional and Theoretical Economics-zeitschrift Fur Die Gesamte Staatswissenschaft	/Journal/4884/j-inst-theor-econ-journal-of-institutional-and-theoretical-economics-zeitschrift-fur-die-gesamte	468	2049	J INST THEOR ECON
Journal of Travel & Tourism Marketing	/Journal/15794/journal-of-travel-&-tourism-marketing	875	2042	
German Economic Review	/Journal/4758/ger-econ-rev-german-economic-review	268	2039	GER ECON REV
Studies in Nonlinear Dynamics & Econometrics	/Journal/20018/stud-nonlinear-dynam-econometrics-studies-in-nonlinear-dynamics-&-econometrics	257	2012	Stud Nonlinear Dynam Econometrics
Emerging Markets Review	/Journal/14206/emerging-markets-review	303	2011	
Journal of Consumer Behaviour	/Journal/13264/journal-of-consumer-behaviour	307	2009	
Review of Finance	/Journal/5023/rev-financ-review-of-finance	347	2005	REV FINANC
Economics & Human Biology	/Journal/4688/econ-hum-biol-economics-&-human-biology	394	1997	ECON HUM BIOL
Empirica	/Journal/15188/empirica	724	1988	
Transportation Planning and Technology	/Journal/5873/transport-planning-technol-transportation-planning-and-technology	885	1975	TRANSPORT PLANNING TECHNOL
International Journal of Organizational Analysis	/Journal/17075/international-journal-of-organizational-analysis	334	1945	
International Journal of Training and Development	/Journal/17304/int-j-train-dev-international-journal-of-training-and-development	297	1930	Int J Train Dev
Accounting Forum	/Journal/17276/account-forum-accounting-forum	295	1925	Account Forum
Conflict Management and Peace Science	/Journal/4672/conflict-manag-peace-sci-conflict-management-and-peace-science	393	1908	CONFLICT MANAG PEACE SCI
Business and Society Review	/Journal/17289/bus-soc-rev-business-and-society-review	418	1907	Bus Soc Rev
Review of Economic Design	/Journal/13595/review-of-economic-design	318	1894	
Marketing Theory	/Journal/4960/mark-theory-marketing-theory	217	1894	MARK THEORY
Japanese Economic Review	/Journal/4943/jpn-econ-rev-japanese-economic-review	511	1893	JPN ECON REV
Review of Political Economy	/Journal/16221/review-of-political-economy	707	1887	
European Business Review	/Journal/16942/european-business-review	681	1882	
Services Marketing Quarterly	/Journal/15843/services-marketing-quarterly	823	1868	
Journal of Financial Research	/Journal/17312/j-financ-res-journal-of-financial-research	245	1868	J Financ Res
Public Management Review	/Journal/4996/public-manag-rev-public-management-review	621	1863	PUBLIC MANAG REV
Journal of Manufacturing Technology Management	/Journal/16895/journal-of-manufacturing-technology-management	468	1852	
Constitutional Political Economy	/Journal/15206/constitutional-political-economy	441	1849	
Engineering Costs and Production Economics	/Journal/14665/engineering-costs-and-production-economics	668	1828	
Pacific Economic Review	/Journal/4985/pac-econ-rev-pacific-economic-review	721	1797	PAC ECON REV
Post-communist Economies	/Journal/4990/post-communist-econ-post-communist-economies	704	1789	POST-COMMUNIST ECON
Review of Black Political Economy	/Journal/5011/rev-black-polit-econ-review-of-black-political-economy	1143	1787	REV BLACK POLIT ECON
Journal of Economic Methodology	/Journal/16242/journal-of-economic-methodology	431	1777	
International Journal of Accounting Information Systems	/Journal/14156/international-journal-of-accounting-information-systems	244	1766	
Journal of Sports Economics	/Journal/4935/j-sport-econ-journal-of-sports-economics	412	1752	J SPORT ECON
Strategic Change	/Journal/13299/strategic-change	942	1725	
Thunderbird International Business Review	/Journal/13360/thunderbird-international-business-review	690	1720	
Journal of Management & Governance	/Journal/13508/journal-of-management-&-governance	359	1715	
Review of Financial Economics	/Journal/14252/review-of-financial-economics	304	1713	
Local Economy	/Journal/16203/local-economy	870	1702	
Impact Assessment and Project Appraisal	/Journal/20576/impact-assess-proj-apprais-impact-assessment-and-project-appraisal	456	1693	Impact Assess Proj Apprais
International Journal of Nonprofit and Voluntary Sector Marketing	/Journal/13262/international-journal-of-nonprofit-and-voluntary-sector-marketing	378	1692	
Australian Accounting Review	/Journal/4639/aust-account-rev-australian-accounting-review	452	1690	AUST ACCOUNT REV
Journal of Fashion Marketing and Management	/Journal/16889/journal-of-fashion-marketing-and-management	458	1686	
Economic Systems	/Journal/13407/economic-systems	415	1681	
Cesifo Economic Studies	/Journal/4666/cesifo-econ-stud-cesifo-economic-studies	207	1674	CESIFO ECON STUD
The Review of Austrian Economics	/Journal/13472/the-review-of-austrian-economics	476	1670	
Socio-economic Review	/Journal/11472/socio-econ-rev-socio-economic-review	224	1661	SOCIO-ECON REV
Journal of Agrarian Change	/Journal/4822/j-agrar-chang-journal-of-agrarian-change	282	1656	J AGRAR CHANG
Research in Economics	/Journal/14569/research-in-economics	335	1643	
Community Development	/Journal/16575/community-development	705	1635	
European Journal of Finance	/Journal/4728/eur-j-financ-european-journal-of-finance	680	1610	EUR J FINANC
Journal of Urban Planning and Development-asce	/Journal/5618/j-urban-plan-dev-asce-journal-of-urban-planning-and-development-asce	462	1608	J URBAN PLAN DEV-ASCE
Planning Practice and Research	/Journal/16195/planning-practice-and-research	699	1587	
Venture Capital: An International Journal of Entrepreneurial Finance	/Journal/16175/venture-capital-an-international-journal-of-entrepreneurial-finance	271	1586	
Journal of International Economic Law	/Journal/4887/j-int-econ-law-journal-of-international-economic-law	513	1580	J INT ECON LAW
Journal of International Trade & Economic Development	/Journal/4891/j-int-trade-econ-dev-journal-of-international-trade-&-economic-development	574	1565	J INT TRADE ECON DEV
Journal of Direct Marketing	/Journal/13226/journal-of-direct-marketing	352	1565	
Extremes	/Journal/13486/extremes	293	1540	
Issues in Accounting Education	/Journal/20147/issues-account-educ-issues-in-accounting-education	410	1538	Issues Account Educ
Asian Economic Journal	/Journal/4631/asian-econ-j-asian-economic-journal	459	1520	ASIAN ECON J
Journal of Media Economics	/Journal/10921/j-media-econ-journal-of-media-economics	394	1510	J MEDIA ECON
International Labour Review	/Journal/4806/int-lab-rev-international-labour-review	208	1496	INT LAB REV
Information Technology & Management	/Journal/4776/inf-technol-manag-information-technology-&-management	237	1495	INF TECHNOL MANAG
International Journal of Intelligent Systems in Accounting, Finance & Management	/Journal/13144/international-journal-of-intelligent-systems-in-accounting-finance-&-management	242	1489	
The Journal of Investing	/Journal/21145/the-journal-of-investing	805	1486	
European Journal of Law and Economics	/Journal/4733/eur-j-law-econ-european-journal-of-law-and-economics	716	1462	EUR J LAW ECON
Journal of Market-focused Management	/Journal/13493/journal-of-market-focused-management	93	1453	
Huisarts En Wetenschap	/Journal/13386/huisarts-en-wetenschap	4283	1451	
Journal of Property Investment & Finance	/Journal/16950/journal-of-property-investment-&-finance	379	1444	
Asean Economic Bulletin	/Journal/18797/asean-economic-bulletin	902	1443	
International Journal of Productivity and Performance Management	/Journal/16892/international-journal-of-productivity-and-performance-management	336	1441	
Networks & Spatial Economics	/Journal/4970/netw-spat-econ-networks-&-spatial-economics	277	1440	NETW SPAT ECON
Agrekon	/Journal/4614/agrekon	1330	1436	
Review of Derivatives Research	/Journal/13454/review-of-derivatives-research	151	1433	
Journal of Economics and Finance	/Journal/13708/journal-of-economics-and-finance	668	1432	
Journal of Property Valuation and Investment	/Journal/17022/journal-of-property-valuation-and-investment	342	1428	
Geneva Papers on Risk and Insurance-issues and Practice	/Journal/4757/geneva-pap-risk-insur-iss-pr-geneva-papers-on-risk-and-insurance-issues-and-practice	564	1410	GENEVA PAP RISK INSUR-ISS PR
Economic Papers: A Journal of Applied Economics and Policy	/Journal/17550/economic-papers-a-journal-of-applied-economics-and-policy	1160	1406	
Applied Stochastic Models in Business and Industry	/Journal/4626/appl-stoch-models-bus-ind-applied-stochastic-models-in-business-and-industry	568	1403	APPL STOCH MODELS BUS IND
American Law and Economics Review	/Journal/4616/am-law-econ-rev-american-law-and-economics-review	190	1399	AM LAW ECON REV
Corporate Governance	/Journal/16890/corporate-governance	445	1370	
Strategic Organization	/Journal/5051/strateg-organ-strategic-organization	156	1348	STRATEG ORGAN
Journal of Property Research	/Journal/16186/journal-of-property-research	523	1331	
Team Performance Management	/Journal/16943/team-performance-management	350	1324	
European Review of Economic History	/Journal/4738/eur-rev-econ-hist-european-review-of-economic-history	204	1322	EUR REV ECON HIST
Computational and Mathematical Organization Theory	/Journal/4671/comput-math-organ-theory-computational-and-mathematical-organization-theory	200	1320	COMPUT MATH ORGAN THEORY
Management and Organization Review	/Journal/4952/manag-organ-rev-management-and-organization-review	188	1316	MANAG ORGAN REV
Review of Network Economics	/Journal/5029/rev-netw-econ-review-of-network-economics	196	1314	REV NETW ECON
International Journal of Logistics-research and Applications	/Journal/4795/int-j-logist-res-appl-international-journal-of-logistics-research-and-applications	319	1298	INT J LOGIST-RES APPL
Journal of International Accounting, Auditing and Taxation	/Journal/14297/journal-of-international-accounting-auditing-and-taxation	232	1282	
Transport	/Journal/5872/transport	543	1277	
Compensation & Benefits Review	/Journal/18104/compensat-benefit-rev-compensation-&-benefits-review	2043	1258	Compensat Benefit Rev
Global Finance Journal	/Journal/14271/global-finance-journal	391	1251	
Economics of Planning	/Journal/4697/econ-plann-economics-of-planning	667	1250	ECON PLANN
Financial Markets, Institutions and Instruments	/Journal/17453/financial-markets-institutions-and-instruments	179	1247	
Journal of Management Accounting Research	/Journal/20151/j-manag-account-res-journal-of-management-accounting-research	111	1242	J Manag Account Res
International Planning Studies	/Journal/16239/international-planning-studies	366	1241	
International Journal of Auditing	/Journal/17475/int-j-audit-international-journal-of-auditing	329	1235	Int J Audit
Journal of Human Development	/Journal/16200/journal-of-human-development	131	1225	
Economics of Governance	/Journal/13848/economics-of-governance	201	1208	
National Productivity Review	/Journal/13244/national-productivity-review	946	1206	
Journal of Consumer Studies and Home Economics	/Journal/17482/j-consum-stud-home-econ-journal-of-consumer-studies-and-home-economics	798	1194	J Consum Stud Home Econ
Journal of Communication Management	/Journal/16990/journal-of-communication-management	427	1191	
Journal of Financial Services Marketing	/Journal/15608/journal-of-financial-services-marketing	313	1190	
International Advances in Economic Research	/Journal/13522/international-advances-in-economic-research	1226	1187	
Geneva Papers on Risk and Insurance Theory	/Journal/4755/geneva-pap-risk-insur-theory-geneva-papers-on-risk-and-insurance-theory	170	1184	GENEVA PAP RISK INSUR THEORY
Foresight	/Journal/16995/foresight	495	1183	
Journal of Change Management	/Journal/16028/journal-of-change-management	305	1182	
The International Food and Agribusiness Management Review	/Journal/14259/the-international-food-and-agribusiness-management-review	128	1169	
Journal of The History of Economic Thought	/Journal/10875/j-hist-econ-thought-journal-of-the-history-of-economic-thought	960	1167	J HIST ECON THOUGHT
Journal of International Entrepreneurship	/Journal/15144/journal-of-international-entrepreneurship	139	1157	
Resources and Energy	/Journal/14389/resources-and-energy	306	1154	
Journal of Economic Inequality	/Journal/4855/j-econ-inequal-journal-of-economic-inequality	232	1144	J ECON INEQUAL
Portuguese Economic Journal	/Journal/4989/port-econ-j-portuguese-economic-journal	127	1135	PORT ECON J
Journal of Advertising Research	/Journal/10762/jar-journal-of-advertising-research	301	1117	JAR
Journal of Marketing Communications	/Journal/16210/journal-of-marketing-communications	444	1107	
Gazette	/Journal/18096/gazette	963	1104	
Progress in Development Studies	/Journal/18189/progr-dev-stud-progress-in-development-studies	508	1094	Progr Dev Stud
Journal of Organizational Behavior Management	/Journal/4911/j-organ-behav-manage-journal-of-organizational-behavior-management	545	1093	J ORGAN BEHAV MANAGE
The Journal of Risk Finance	/Journal/16991/the-journal-of-risk-finance	392	1077	
Journal of Behavioral Finance	/Journal/15999/journal-of-behavioral-finance	294	1065	
Journal of European Integration	/Journal/15914/journal-of-european-integration	728	1060	
Applied Stochastic Models and Data Analysis	/Journal/13342/applied-stochastic-models-and-data-analysis	384	1054	
Qme-quantitative Marketing and Economics	/Journal/4998/qme-quant-mark-econ-qme-quantitative-marketing-and-economics	139	1053	QME-QUANT MARK ECON
Journal of Targeting, Measurement and Analysis for Marketing	/Journal/15619/journal-of-targeting-measurement-and-analysis-for-marketing	263	1050	
International Entrepreneurship and Management Journal	/Journal/13610/international-entrepreneurship-and-management-journal	246	1045	
