	Name	Link	NPubs_list	NCits_list	ShortName
4547	International Journal of Satellite Communications and Networking	/Journal/4547/int-j-satell-commun-netw-international-journal-of-satellite-communications-and-networking	234	936	INT J SATELL COMMUN NETW
84	International Journal of Web Services Research	/Journal/84/jwsr-international-journal-of-web-services-research	141	936	JWSR
211	ACM Crossroads Student Magazine	/Journal/211/xrds-acm-crossroads-student-magazine	715	935	XRDS
4578	Open Systems & Information Dynamics	/Journal/4578/open-syst-inf-dyn-open-systems-&-information-dynamics	457	930	OPEN SYST INF DYN
14066	Information Security Technical Report	/Journal/14066/information-security-technical-report	509	923	
115	Journal of Functional and Logic Programming	/Journal/115/jflp-journal-of-functional-and-logic-programming	78	913	JFLP
13589	International Journal of Automation and Computing	/Journal/13589/international-journal-of-automation-and-computing	377	912	
4585	Siam Journal on Imaging Sciences	/Journal/4585/siam-j-imaging-sci-siam-journal-on-imaging-sciences	98	901	SIAM J IMAGING SCI
1024	Ecological Informatics	/Journal/1024/ecological-informatics	289	893	
132	Journal of Quantitative Linguistics	/Journal/132/jql-journal-of-quantitative-linguistics	415	891	JQL
15145	Research on Language and Computation	/Journal/15145/research-on-language-and-computation	133	885	
15175	International Journal of Speech Technology	/Journal/15175/international-journal-of-speech-technology	312	881	
17757	Eurasip Journal on Embedded Systems	/Journal/17757/eurasip-journal-on-embedded-systems	210	866	
956	International Journal of Digital Evidence	/Journal/956/ijde-international-journal-of-digital-evidence	61	861	IJDE
797	Applied Ontology	/Journal/797/applied-ontology	91	857	
760	ACM Transactions on Autonomous and Adaptive Systems	/Journal/760/taas-acm-transactions-on-autonomous-and-adaptive-systems	161	846	TAAS
20904	Acta Automatica Sinica	/Journal/20904/acta-automatica-sinica	665	828	
4545	International Journal for Multiscale Computational Engineering	/Journal/4545/int-j-multiscale-comput-eng-international-journal-for-multiscale-computational-engineering	294	824	INT J MULTISCALE COMPUT ENG
16938	Campus-wide Information Systems	/Journal/16938/campus-wide-information-systems	612	821	
368	International Journal of Computational Intelligence and Applications	/Journal/368/ijcia-international-journal-of-computational-intelligence-and-applications	262	818	IJCIA
943	Theory of Computing	/Journal/943/theory-of-computing	79	815	
270	Chicago Journal of Theoretical Computer Science	/Journal/270/cjtcs-chicago-journal-of-theoretical-computer-science	227	811	CJTCS
14338	Environmental Software	/Journal/14338/environmental-software	306	806	
947	Web Intelligence and Agent Systems: An International Journal	/Journal/947/wias-web-intelligence-and-agent-systems-an-international-journal	188	805	WIAS
5555	Journal of Intelligent Transportation Systems	/Journal/5555/j-intell-transport-syst-journal-of-intelligent-transportation-systems	252	803	J INTELL TRANSPORT SYST
1018	Transactions on Computational Systems Biology	/Journal/1018/tcsb-transactions-on-computational-systems-biology	71	786	TCSB
4529	Iee Proceedings-software	/Journal/4529/iee-proc-softw-iee-proceedings-software	115	769	IEE PROC-SOFTW
868	International Journal of Knowledge and Learning	/Journal/868/ijkl-international-journal-of-knowledge-and-learning	188	762	IJKL
16132	Information Technology for Development	/Journal/16132/information-technology-for-development	400	749	
478	ACM Sigplan Fortran Forum	/Journal/478/acm-sigplan-fortran-forum	287	747	
83	International Journal of Web Engineering and Technology	/Journal/83/ijwet-international-journal-of-web-engineering-and-technology	295	733	IJWET
843	Game Studies	/Journal/843/game-studies	49	727	
989	Oclc Systems & Services	/Journal/989/oclc-systems-&-services	506	724	
14358	Library Acquisitions: Practice & Theory	/Journal/14358/library-acquisitions-practice-&-theory	1430	722	
1071	Philips Journal of Research	/Journal/1071/philips-journal-of-research	132	720	
5476	Journal of Aerospace Computing Information and Communication	/Journal/5476/j-aerosp-comput-inf-commun-journal-of-aerospace-computing-information-and-communication	252	718	J AEROSP COMPUT INF COMMUN
764	ACM Transactions on Knowledge Discovery From Data	/Journal/764/tkdd-acm-transactions-on-knowledge-discovery-from-data	110	716	TKDD
21234	Information Technology Journal	/Journal/21234/information-technology-journal	977	715	
142	Journal of The Brazilian Computer Society	/Journal/142/jbcs-journal-of-the-brazilian-computer-society	402	711	JBCS
4492	Language Resources and Evaluation	/Journal/4492/lang-resour-eval-language-resources-and-evaluation	170	711	LANG RESOUR EVAL
749	ACM Journal on Emerging Technologies in Computing Systems	/Journal/749/jetc-acm-journal-on-emerging-technologies-in-computing-systems	137	707	JETC
837	Foundations and Trends in Networking	/Journal/837/ftnet-foundations-and-trends-in-networking	13	705	FTNET
312	Data Science Journal	/Journal/312/datascience-data-science-journal	405	693	DATASCIENCE
313	Datenbank Rundbrief	/Journal/313/gidr-datenbank-rundbrief	395	693	GIDR
13561	International Journal of Computer Assisted Radiology and Surgery	/Journal/13561/international-journal-of-computer-assisted-radiology-and-surgery	404	682	
17006	Construction Innovation: Information, Process, Management	/Journal/17006/construction-innovation-information-process-management	299	678	
369	International Journal of Computer Processing of Oriental Languages	/Journal/369/ijcpol-international-journal-of-computer-processing-of-oriental-languages	206	674	IJCPOL
899	Journal of Social Structure	/Journal/899/joss-journal-of-social-structure	22	668	JoSS
4509	Digital Creativity	/Journal/4509/digit-creat-digital-creativity	485	661	DIGIT CREAT
702	International Journal of Ad Hoc and Ubiquitous Computing	/Journal/702/ijahuc-international-journal-of-ad-hoc-and-ubiquitous-computing	169	660	IJAHUC
17048	Information Technology & People	/Journal/17048/information-technology-&-people	79	651	
21215	Journal on Chain and Network Science	/Journal/21215/journal-on-chain-and-network-science	216	649	
832	Foundations and Trends in Computer Graphics and Vision	/Journal/832/ftcgv-foundations-and-trends-in-computer-graphics-and-vision	17	645	FTCGV
775	ACM Sigbed Review	/Journal/775/acm-sigbed-review	151	639	
22218	IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems	/Journal/22218/tcad-ieee-transactions-on-computer-aided-design-of-integrated-circuits-and-systems	67	636	TCAD_2
735	International Journal of Services Technology and Management	/Journal/735/ijstm-international-journal-of-services-technology-and-management	386	634	IJSTM
14404	Computerized Radiology	/Journal/14404/computerized-radiology	369	633	
4582	Problems of Information Transmission	/Journal/4582/probl-inf-transm-problems-of-information-transmission	349	632	PROBL INF TRANSM
14269	Computer Fraud & Security	/Journal/14269/computer-fraud-&-security	1292	623	
15929	Science & Global Security	/Journal/15929/science-&-global-security	241	618	
17758	International Journal of Biomedical Imaging	/Journal/17758/international-journal-of-biomedical-imaging	197	618	
14202	Computer Law & Security Report	/Journal/14202/computer-law-&-security-report	1724	614	
5503	Journal of Computational and Nonlinear Dynamics	/Journal/5503/j-comput-nonlinear-dyn-journal-of-computational-and-nonlinear-dynamics	247	613	J COMPUT NONLINEAR DYN
975	International Journal of Distributed Sensor Networks	/Journal/975/ijdsn-international-journal-of-distributed-sensor-networks	232	611	IJDSN
17935	Information Technologies and International Development	/Journal/17935/information-technologies-and-international-development	152	606	
19595	Applied Bioinformatics	/Journal/19595/applied-bioinformatics	104	605	
4495	Computer Languages	/Journal/4495/comput-lang-computer-languages	112	603	COMPUT LANG
884	Journal of Mobile Multimedia	/Journal/884/jmm-journal-of-mobile-multimedia	149	601	JMM
776	ACM Sigcsim Installation Management Review	/Journal/776/acm-sigcsim-installation-management-review	75	595	
738	International Journal of Web and Grid Services	/Journal/738/ijwgs-international-journal-of-web-and-grid-services	131	594	IJWGS
890	Journal in Computer Virology	/Journal/890/journal-in-computer-virology	146	593	
276	Praxis Der Wirtschaftsinformatik	/Journal/276/hmd-praxis-der-wirtschaftsinformatik	832	591	HMD
951	Algorithms for Molecular Biology	/Journal/951/algorithms-mol-biol-algorithms-for-molecular-biology	133	582	Algorithms Mol Biol
17156	IEEE Computational Science and Engineering	/Journal/17156/ieee-computational-science-and-engineering	226	581	
920	Programming and Computer Software	/Journal/920/programming-and-computer-software	586	580	
16201	International Review of Law, Computers & Technology	/Journal/16201/international-review-of-law-computers-&-technology	621	575	
1049	Language Resources and Evaluation	/Journal/1049/lre-language-resources-and-evaluation	93	569	LRE
10657	Information Development	/Journal/10657/inf-dev-information-development	915	562	INF DEV
949	Annals of Gis / Geographic Information Sciences	/Journal/949/annals-of-gis-geographic-information-sciences	279	562	
697	Asia-pacific Journal of Operational Research	/Journal/697/apjor-asia-pacific-journal-of-operational-research	246	562	APJOR
14378	Annual Review in Automatic Programming	/Journal/14378/annual-review-in-automatic-programming	677	560	
4565	Journal of Optical Communications and Networking	/Journal/4565/j-opt-commun-netw-journal-of-optical-communications-and-networking	356	549	J OPT COMMUN NETW
699	Electronic Government, An International Journal	/Journal/699/eg-electronic-government-an-international-journal	216	548	EG
20936	Information Technology & Tourism	/Journal/20936/information-technology-&-tourism	137	545	
732	International Journal of Security and Networks	/Journal/732/ijsn-international-journal-of-security-and-networks	126	545	IJSN
17765	Eurasip Journal on Image and Video Processing	/Journal/17765/eurasip-j-image-video-process-eurasip-journal-on-image-and-video-processing	171	540	EURASIP J Image Video Process
17712	ACM Sigdoc Asterisk Journal of Computer Documentation	/Journal/17712/acm-sigdoc-asterisk-journal-of-computer-documentation	368	529	
14459	Tetrahedron Computer Methodology	/Journal/14459/tetrahedron-computer-methodology	119	525	
712	International Journal of Electronic Business	/Journal/712/ijeb-international-journal-of-electronic-business	272	523	IJEB
37	Informatik - Forschung Und Entwicklung	/Journal/37/ife-informatik-forschung-und-entwicklung	488	519	IFE
15944	Conflict, Security & Development	/Journal/15944/conflict-security-&-development	291	517	
14121	Network Security	/Journal/14121/network-security	1404	514	
139	Journal of Systems Integration	/Journal/139/jsi-journal-of-systems-integration	232	510	JSI
935	South African Computer Journal	/Journal/935/sa-computer-journal-south-african-computer-journal	159	510	SA Computer Journal
1	Zeitschrift Für Interaktive Und Kooperative Medien	/Journal/1/icom-zeitschrift-f-r-interaktive-und-kooperative-medien	399	507	ICOM
4531	IEEE Systems Journal	/Journal/4531/ieee-syst-j-ieee-systems-journal	337	507	IEEE SYST J
836	Foundations and Trends in Information Retrieval	/Journal/836/ftir-foundations-and-trends-in-information-retrieval	17	507	FTIR
15742	African Security Review	/Journal/15742/african-security-review	666	505	
755	International Journal of Knowledge-based and Intelligent Engineering Systems	/Journal/755/kes-journal-international-journal-of-knowledge-based-and-intelligent-engineering-systems	222	504	KES Journal
4536	Iet Radar Sonar and Navigation	/Journal/4536/iet-radar-sonar-navig-iet-radar-sonar-and-navigation	226	499	IET RADAR SONAR NAVIG
430	Softwaretechnik-trends	/Journal/430/stt-softwaretechnik-trends	189	490	STT
417	Praxis Der Informationsverarbeitung Und Kommunikation	/Journal/417/pik-praxis-der-informationsverarbeitung-und-kommunikation	941	489	PIK
826	Elektrotechnik Und Informationstechnik	/Journal/826/e&i-elektrotechnik-und-informationstechnik	2021	487	e&i
736	International Journal of Virtual Reality	/Journal/736/ijvr-international-journal-of-virtual-reality	124	483	IJVR
898	Journal of Multimedia	/Journal/898/jmm-journal-of-multimedia	207	480	JMM
12569	Callaloo	/Journal/12569/callaloo	4577	476	
725	International Journal of Learning Technology	/Journal/725/ijlt-international-journal-of-learning-technology	120	472	IJLT
16396	Stochastics and Stochastics Reports	/Journal/16396/stochastics-and-stochastics-reports	81	471	
911	Multiagent and Grid Systems	/Journal/911/mags-multiagent-and-grid-systems	206	467	MAGS
11709	Journal of Real-time Image Processing	/Journal/11709/journal-of-real-time-image-processing	209	466	
453	ACM Sigapp Applied Computing Review	/Journal/453/acm-sigapp-applied-computing-review	159	465	
1010	Journal of Embedded Computing	/Journal/1010/journal-of-embedded-computing	88	462	
995	IEEE Transactions on Learning Technologies	/Journal/995/tlt-ieee-transactions-on-learning-technologies	173	461	TLT
19219	Transactions of The Japanese Society for Artificial Intelligence	/Journal/19219/transactions-of-the-japanese-society-for-artificial-intelligence	650	460	
990	Optical Switching and Networking	/Journal/990/optical-switching-and-networking	188	460	
462	ACM Sigcpr Computer Personnel	/Journal/462/acm-sigcpr-computer-personnel	274	456	
17168	IEEE Transactions on Network and Service Management	/Journal/17168/ieee-transactions-on-network-and-service-management	162	452	
1058	Ercim News	/Journal/1058/ercim-ercim-news	498	451	ERCIM
339	Zeitschrift Für Medienpsychologie	/Journal/339/zmp-zeitschrift-f-r-medienpsychologie	231	450	ZMP
1034	IEEE Transactions on Services Computing	/Journal/1034/ieee-transactions-on-services-computing	134	448	
354	Electronic Networking: Research, Applications and Policy	/Journal/354/en-electronic-networking-research-applications-and-policy	8	448	EN
189	Logiciel, Base De Données, Réseaux / Software, Databases, Networks	/Journal/189/lobjet-logiciel-base-de-donn-es-r-seaux-software-databases-networks	232	446	LOBJET
367	International Journal of Computational Engineering Science	/Journal/367/ijces-international-journal-of-computational-engineering-science	291	444	IJCES
396	Journal of Information, Law and Technology	/Journal/396/jilt-journal-of-information-law-and-technology	470	443	JILT
21017	Journal of The Virtual Explorer	/Journal/21017/journal-of-the-virtual-explorer	207	439	
915	Object Oriented Systems	/Journal/915/object-oriented-systems	34	437	
362	Grammars	/Journal/362/grammars	154	436	
967	Transactions on Computational Science	/Journal/967/transactions-on-computational-science	71	434	
1047	International Journal of Online Engineering	/Journal/1047/ijoe-international-journal-of-online-engineering	162	425	iJOE
457	ACM Sigcaph Computers and The Physically Handicapped	/Journal/457/acm-sigcaph-computers-and-the-physically-handicapped	231	423	
846	Journal of The International Computer Games Association	/Journal/846/journal-of-the-international-computer-games-association	135	419	
742	Innovations in Systems and Software Engineering	/Journal/742/isse-innovations-in-systems-and-software-engineering	177	414	ISSE
77	International Journal of Hybrid Intelligent Systems	/Journal/77/ijhis-international-journal-of-hybrid-intelligent-systems	147	413	IJHIS
4532	Iet Computers and Digital Techniques	/Journal/4532/iet-comput-digit-tech-iet-computers-and-digital-techniques	219	411	IET COMPUT DIGIT TECH
745	Journal of Applied Mathematics and Decision Sciences	/Journal/745/jamds-journal-of-applied-mathematics-and-decision-sciences	243	407	JAMDS
15758	Education, Communication & Information	/Journal/15758/education-communication-&-information	76	407	
714	International Journal of Embedded Systems	/Journal/714/ijes-international-journal-of-embedded-systems	105	402	IJES
707	International Journal of Bioinformatics Research and Applications	/Journal/707/ijbra-international-journal-of-bioinformatics-research-and-applications	240	401	IJBRA
399	Kognitionswissenschaft	/Journal/399/kognitionswissenschaft	150	400	
941	Technique Et Science Informatiques	/Journal/941/tsi-technique-et-science-informatiques	589	394	TSI
5367	Iet Circuits Devices & Systems	/Journal/5367/iet-circuits-devices-syst-iet-circuits-devices-&-systems	207	394	IET CIRCUITS DEVICES SYST
713	International Journal of Electronic Healthcare	/Journal/713/ijeh-international-journal-of-electronic-healthcare	153	391	IJEH
14794	Advances in Human Factors/ergonomics	/Journal/14794/advances-in-human-factors-ergonomics	350	390	
740	International Journal of Web Information Systems	/Journal/740/ijwis-international-journal-of-web-information-systems	150	389	IJWIS
987	Journal on Satisfiability, Boolean Modeling and Computation	/Journal/987/jsat-journal-on-satisfiability-boolean-modeling-and-computation	25	387	JSAT
710	International Journal of Computer Science & Applications	/Journal/710/ijcsa-international-journal-of-computer-science-&-applications	178	384	IJCSA
22227	IEEE Transactions on Pattern Analysis and Machine Intelligence	/Journal/22227/tpami-ieee-transactions-on-pattern-analysis-and-machine-intelligence	16	382	TPAMI
827	Engineering Letters	/Journal/827/engineering-letters	241	380	
