Name	Link	NCits_list	NPubs_list	ShortName
Memoirs and Proceedings of The Chemical Society	/Journal/15353/memoirs-and-proceedings-of-the-chemical-society	121	1	
X-ray Structure Analysis Online	/Journal/19519/x-ray-structure-analysis-online	95	1	
Psi Structural Genomics Knowledgebase	/Journal/15312/psi-structural-genomics-knowledgebase	94	1	
Annual Reports on The Progress of Chemistry, Section A: General Physical and Inorganic Chemistry	/Journal/15334/annual-reports-on-the-progress-of-chemistry-section-a-general-physical-and-inorganic-chemistry	94	1	
Journal of The Korean Chemical Society	/Journal/21946/journal-of-the-korean-chemical-society	82	1	
Journal of Synthetic Organic Chemistry Japan	/Journal/2193/j-syn-org-chem-jpn-journal-of-synthetic-organic-chemistry-japan	67	1	J SYN ORG CHEM JPN
Annales Umcs, Chemistry	/Journal/20300/annales-umcs-chemistry	46	1	
Journal of Nepal Chemical Society	/Journal/20520/journal-of-nepal-chemical-society	36	1	
The Open Catalysis Journal	/Journal/19863/the-open-catalysis-journal	34	1	
Tetrahedron Organic Chemistry Series	/Journal/14729/tetrahedron-organic-chemistry-series	32	1	
The Open Inorganic Chemistry Journal	/Journal/19689/the-open-inorganic-chemistry-journal	31	1	
Fullerene Science and Technology	/Journal/2042/fullerene-sci-technol-fullerene-science-and-technology	29	1	FULLERENE SCI TECHNOL
The Open Chemical and Biomedical Methods Journal	/Journal/19830/the-open-chemical-and-biomedical-methods-journal	29	1	
European Journal of Chemistry	/Journal/22057/european-journal-of-chemistry	29	1	
The Open Physical Chemistry Journal	/Journal/19665/the-open-physical-chemistry-journal	28	1	
Journal of Analytical Toxicology	/Journal/2087/j-anal-toxicol-journal-of-analytical-toxicology	25	1	J ANAL TOXICOL
Journal of Microbial & Biochemical Technology	/Journal/21770/journal-of-microbial-&-biochemical-technology	25	1	
The Open Analytical Chemistry Journal	/Journal/19714/the-open-analytical-chemistry-journal	24	1	
Chemviews	/Journal/13128/chemviews	22	1	
Polymers	/Journal/20831/polymers	21	1	
Croatica Chemica Acta	/Journal/2001/croat-chem-acta-croatica-chemica-acta	20	1	CROAT CHEM ACTA
Sulfur Reports	/Journal/15853/sulfur-reports	18	1	
Research Letters in Organic Chemistry	/Journal/17826/research-letters-in-organic-chemistry	16	1	
Journal of Chromatographic Science	/Journal/2119/j-chromatogr-sci-journal-of-chromatographic-science	15	1	J CHROMATOGR SCI
Journal of The Chemical Society, Abstracts	/Journal/15327/journal-of-the-chemical-society-abstracts	15	1	
Journal of Systems Chemistry	/Journal/18316/j-syst-chem-journal-of-systems-chemistry	15	1	J Syst Chem
Frontiers in Organic Chemistry	/Journal/19810/frontiers-in-organic-chemistry	14	1	
The Open Bioactive Compounds Journal	/Journal/19829/the-open-bioactive-compounds-journal	12	1	
Studies in Inorganic Chemistry	/Journal/14898/studies-in-inorganic-chemistry	11	1	
Enzyme Research	/Journal/21546/enzyme-research	11	1	
Journal of Nucleic Acids Investigation	/Journal/21600/journal-of-nucleic-acids-investigation	10	1	
Acta Chimica Slovenica	/Journal/1845/acta-chim-slov-acta-chimica-slovenica	9	1	ACTA CHIM SLOV
Research Letters in Biochemistry	/Journal/17813/research-letters-in-biochemistry	9	1	
Advances in Physical Chemistry	/Journal/17837/advances-in-physical-chemistry	9	1	
Current Research in Chemistry	/Journal/21300/current-research-in-chemistry	8	1	
Synthesis Lectures on Tissue Engineering	/Journal/19992/synthesis-lectures-on-tissue-engineering	6	1	
Journal of Amino Acids	/Journal/21528/journal-of-amino-acids	5	1	
Atomic Spectroscopy	/Journal/5125/at-spectrosc-atomic-spectroscopy	4	1	AT SPECTROSC
International Journal of Carbohydrate Chemistry	/Journal/17854/international-journal-of-carbohydrate-chemistry	4	1	
Canadian Journal of Analytical Sciences and Spectroscopy	/Journal/5148/can-j-anal-sci-spectrosc-canadian-journal-of-analytical-sciences-and-spectroscopy	3	1	CAN J ANAL SCI SPECTROSC
Oil Gas-european Magazine	/Journal/5721/oil-gas-eur-mag-oil-gas-european-magazine	3	1	OIL GAS-EUR MAG
Chemia Analityczna	/Journal/5152/chem-anal-chemia-analityczna	2	1	CHEM ANAL
Industrial Laboratory	/Journal/5384/ind-lab-engl-tr-industrial-laboratory	108	0	IND LAB-ENGL TR
High Power Laser and Particle Beams	/Journal/20985/high-power-laser-and-particle-beams	48	0	
Acta Photonica Sinica	/Journal/20984/acta-photonica-sinica	42	0	
Memoirs of The Chemical Society of London	/Journal/15352/memoirs-of-the-chemical-society-of-london	38	0	
Protein Structure Initiative Structural Genomics Knowledgebase	/Journal/21335/protein-structure-initiative-structural-genomics-knowledgebase	29	0	
E-polymers	/Journal/2026/e-polymers	18	0	
Research Letters in Inorganic Chemistry	/Journal/17824/research-letters-in-inorganic-chemistry	12	0	
Hikaku Seiri Seikagaku(comparative Physiology and Biochemistry)	/Journal/20716/hikaku-seiri-seikagaku-comparative-physiology-and-biochemistry	12	0	
Chemistry & Industry	/Journal/1949/chem-ind-london-chemistry-&-industry	9	0	CHEM IND-LONDON
Polymer Contents	/Journal/14103/polymer-contents	7	0	
Biochemistry Research International	/Journal/17889/biochemistry-research-international	7	0	
Reuse/recycle Newsletter	/Journal/18121/reuse-recycle-newsletter	7	0	
Cellulose Chemistry and Technology	/Journal/6731/cell-chem-technol-cellulose-chemistry-and-technology	6	0	CELL CHEM TECHNOL
European Journal of Mass Spectrometry	/Journal/2028/eur-j-mass-spectrom-european-journal-of-mass-spectrometry	5	0	EUR J MASS SPECTROM
Journal of Chemical Research (miniprint)	/Journal/20631/journal-of-chemical-research-miniprint	5	0	
Journal of Advanced Oxidation Technologies	/Journal/2081/j-adv-oxid-technol-journal-of-advanced-oxidation-technologies	4	0	J ADV OXID TECHNOL
Polish Journal of Chemistry	/Journal/2272/polish-j-chem-polish-journal-of-chemistry	4	0	POLISH J CHEM
Zeitschrift Fur Naturforschung Section B-a Journal of Chemical Sciences	/Journal/2388/z-naturforsch-sect-b-zeitschrift-fur-naturforschung-section-b-a-journal-of-chemical-sciences	4	0	Z NATURFORSCH SECT B
International Journal of Inorganic Chemistry	/Journal/17825/international-journal-of-inorganic-chemistry	4	0	
Organic Chemistry International	/Journal/17890/organic-chemistry-international	4	0	
Natural Product Communications	/Journal/2248/nat-prod-commun-natural-product-communications	3	0	NAT PROD COMMUN
Revista De Chimie	/Journal/2313/rev-chim-revista-de-chimie	3	0	REV CHIM
Spectroscopy-an International Journal	/Journal/2345/spectrosc-int-j-spectroscopy-an-international-journal	3	0	SPECTROSC-INT J
Topics in Current Chemistry	/Journal/2372/top-curr-chem-topics-in-current-chemistry	3	0	TOP CURR CHEM
Srx Chemistry	/Journal/21032/srx-chemistry	3	0	
Indian Journal of Biochemistry & Biophysics	/Journal/1620/indian-j-biochem-biophys-indian-journal-of-biochemistry-&-biophysics	2	0	INDIAN J BIOCHEM BIOPHYS
Chemical Journal of Chinese Universities-chinese	/Journal/1951/chem-j-chinese-univ-chinese-chemical-journal-of-chinese-universities-chinese	2	0	CHEM J CHINESE UNIV-CHINESE
Chemicke Listy	/Journal/1953/chem-listy-chemicke-listy	2	0	CHEM LISTY
Chimica Oggi-chemistry Today	/Journal/1976/chim-oggi-chimica-oggi-chemistry-today	2	0	CHIM OGGI
International Journal of Electrochemical Science	/Journal/2068/int-j-electrochem-sci-international-journal-of-electrochemical-science	3	0	INT J ELECTROCHEM SCI
American Laboratory	/Journal/5093/amer-lab-american-laboratory	2	0	AMER LAB
Chemotherapy Research and Practice	/Journal/17735/chemotherapy-research-and-practice	2	0	
Biochemia Medica	/Journal/1456/biochem-medica-biochemia-medica	1	0	BIOCHEM MEDICA
Cryoletters	/Journal/1555/cryoletters	1	0	
Advances in Chromatography	/Journal/1864/advan-chromatogr-advances-in-chromatography	1	0	ADVAN CHROMATOGR
Afinidad	/Journal/1874/afinidad	1	0	
Arkivoc	/Journal/1895/arkivoc	1	0	
Asian Journal of Chemistry	/Journal/1896/asian-j-chem-asian-journal-of-chemistry	1	0	ASIAN J CHEM
Chemistry in Britain	/Journal/1935/chem-brit-chemistry-in-britain	1	0	CHEM BRIT
Inorganic Syntheses	/Journal/2066/inorganic-syntheses	1	0	
Iranian Journal of Chemistry & Chemical Engineering-international English Edition	/Journal/2078/iran-j-chem-chem-eng-iranian-journal-of-chemistry-&-chemical-engineering-international-english	1	0	IRAN J CHEM CHEM ENG
Latin American Applied Research	/Journal/2206/latin-am-appl-res-latin-american-applied-research	1	0	LATIN AM APPL RES
Lc Gc Europe	/Journal/2207/lc-gc-eur-lc-gc-europe	1	0	LC GC EUR
Macedonian Journal of Chemistry and Chemical Engineering	/Journal/2211/maced-j-chem-chem-eng-macedonian-journal-of-chemistry-and-chemical-engineering	1	0	MACED J CHEM CHEM ENG
Progress in Chemistry	/Journal/2292/prog-chem-progress-in-chemistry	1	0	PROG CHEM
Progress in Inorganic Chemistry	/Journal/2294/prog-inorgan-chem-progress-in-inorganic-chemistry	1	0	PROG INORGAN CHEM
Revue Roumaine De Chimie	/Journal/2319/rev-roum-chim-revue-roumaine-de-chimie	1	0	REV ROUM CHIM
Studies in Conservation	/Journal/2351/studies-conservation-studies-in-conservation	1	0	STUDIES CONSERVATION
Tenside Surfactants Detergents	/Journal/2365/tenside-surfactants-deterg-tenside-surfactants-detergents	2	0	TENSIDE SURFACTANTS DETERG
Aatcc Review	/Journal/6699/aatcc-rev-aatcc-review	1	0	AATCC REV
Journal of The Royal Institute of Chemistry	/Journal/15338/journal-of-the-royal-institute-of-chemistry	1	0	
Cell	/Journal/7592/cell	16406	456	
Nature Genetics	/Journal/7779/nat-genet-nature-genetics	6682	266	NAT GENET
Journal of Cell Biology	/Journal/7723/j-cell-biol-journal-of-cell-biology	22250	248	J CELL BIOL
Genes & Development	/Journal/7673/gene-develop-genes-&-development	5904	243	GENE DEVELOP
Trends in Ecology and Evolution	/Journal/1090/trends-in-ecology-and-evolution	5391	190	
Embo Journal	/Journal/7657/embo-j-embo-journal	8096	189	EMBO J
Plant Cell	/Journal/9271/plant-cell	4848	189	
Bioscience	/Journal/1504/bioscience	8984	185	
Annual Review of Ecology and Systematics	/Journal/5915/annu-rev-ecol-syst-annual-review-of-ecology-and-systematics	837	184	ANNU REV ECOL SYST
Nature Biotechnology	/Journal/1744/nat-biotechnol-nature-biotechnology	7779	179	NAT BIOTECHNOL
Molecular Cell	/Journal/7756/mol-cell-molecular-cell	4510	174	MOL CELL
Nature Reviews Molecular Cell Biology	/Journal/7781/nat-rev-mol-cell-biol-nature-reviews-molecular-cell-biology	3056	168	NAT REV MOL CELL BIOL
American Journal of Human Genetics	/Journal/7556/amer-j-hum-genet-american-journal-of-human-genetics	7662	167	AMER J HUM GENET
Current Biology	/Journal/1556/curr-biol-current-biology	12623	158	CURR BIOL
Current Opinion in Cell Biology	/Journal/7630/curr-opin-cell-biol-current-opinion-in-cell-biology	2510	156	CURR OPIN CELL BIOL
Plant Physiology	/Journal/9286/plant-physiol-plant-physiology	25402	153	PLANT PHYSIOL
Nature Cell Biology	/Journal/6944/nat-cell-biol-nature-cell-biology	3182	147	NAT CELL BIOL
Gene	/Journal/7672/gene	14876	144	
Human Molecular Genetics	/Journal/7711/hum-mol-genet-human-molecular-genetics	6870	143	HUM MOL GENET
Ecology	/Journal/5986/ecology	6825	143	
Genome Research	/Journal/7697/genome-res-genome-research	2943	143	GENOME RES
Limnology and Oceanography	/Journal/9166/limnol-oceanogr-limnology-and-oceanography	6988	142	LIMNOL OCEANOGR
Trends in Genetics	/Journal/7817/trends-genet-trends-in-genetics	4348	140	TRENDS GENET
Annual Review of Plant Physiology and Plant Molecular Biology	/Journal/8727/annu-rev-plant-physiol-annual-review-of-plant-physiology-and-plant-molecular-biology	589	138	ANNU REV PLANT PHYSIOL
Annual Review of Microbiology	/Journal/7434/annu-rev-microbiol-annual-review-of-microbiology	1765	137	ANNU REV MICROBIOL
Developmental Biology	/Journal/7648/develop-biol-developmental-biology	17766	135	DEVELOP BIOL
Molecular Microbiology	/Journal/7516/mol-microbiol-molecular-microbiology	10140	135	MOL MICROBIOL
Biophysical Journal	/Journal/1495/biophys-j-biophysical-journal	35603	134	BIOPHYS J
European Journal of Immunology	/Journal/6627/eur-j-immunol-european-journal-of-immunology	13614	133	EUR J IMMUNOL
Nature Reviews Genetics	/Journal/7780/nat-rev-genet-nature-reviews-genetics	3065	133	NAT REV GENET
Applied and Environmental Microbiology	/Journal/1088/aem-applied-and-environmental-microbiology	12560	132	AEM
Conservation Biology	/Journal/5964/conserv-biol-conservation-biology	4640	132	CONSERV BIOL
Philosophical Transactions of The Royal Society B: Biological Sciences	/Journal/16867/philosophical-transactions-of-the-royal-society-b-biological-sciences	12531	131	
Oecologia	/Journal/6141/oecologia	11211	129	
Molecular and Cellular Biology	/Journal/7758/mol-cell-biol-molecular-and-cellular-biology	8797	129	MOL CELL BIOL
Annual Review of Pharmacology and Toxicology	/Journal/8129/annu-rev-pharmacol-toxicol-annual-review-of-pharmacology-and-toxicology	1493	129	ANNU REV PHARMACOL TOXICOL
Annual Review of Cell and Developmental Biology	/Journal/7563/annu-rev-cell-dev-biol-annual-review-of-cell-and-developmental-biology	574	129	ANNU REV CELL DEV BIOL
Proceedings of The Royal Society B: Biological Sciences	/Journal/16864/proceedings-of-the-royal-society-b-biological-sciences	6822	127	
Plant Journal	/Journal/9280/plant-j-plant-journal	5441	127	PLANT J
Annual Review of Genetics	/Journal/7564/annu-rev-genet-annual-review-of-genetics	1105	127	ANNU REV GENET
Trends in Cell Biology	/Journal/7815/tr-cell-biol-trends-in-cell-biology	2930	125	TR CELL BIOL
Virology	/Journal/7544/virology	24097	124	
Experimental Cell Research	/Journal/7665/exp-cell-res-experimental-cell-research	19954	124	EXP CELL RES
Cancer Cell	/Journal/1534/cancer-cell	1445	124	
Annual Review of Entomology	/Journal/8724/annu-rev-entomol-annual-review-of-entomology	1489	123	ANNU REV ENTOMOL
Brain Research Reviews	/Journal/7908/brain-res-rev-brain-research-reviews	1361	121	BRAIN RES REV
Journal of Theoretical Biology	/Journal/7741/j-theor-biol-journal-of-theoretical-biology	12382	120	J THEOR BIOL
Trends in Plant Science	/Journal/9387/trends-plant-sci-trends-in-plant-science	2432	120	TRENDS PLANT SCI
New Phytologist	/Journal/9212/new-phytol-new-phytologist	10782	117	NEW PHYTOL
Animal Behaviour	/Journal/8697/anim-behav-animal-behaviour	11921	116	ANIM BEHAV
Molecular Ecology	/Journal/6130/mol-ecol-molecular-ecology	4958	116	MOL ECOL
PLOS Biology	/Journal/1778/plos-biol-plos-biology	3975	116	PLOS BIOL
Current Opinion in Genetics & Development	/Journal/7631/curr-opin-genet-develop-current-opinion-in-genetics-&-development	2088	114	CURR OPIN GENET DEVELOP
Canadian Journal of Fisheries and Aquatic Sciences	/Journal/8832/can-j-fisheries-aquat-sci-canadian-journal-of-fisheries-and-aquatic-sciences	7295	113	CAN J FISHERIES AQUAT SCI
Ecological Applications	/Journal/5975/ecol-appl-ecological-applications	2930	112	ECOL APPL
Developmental Cell	/Journal/7646/dev-cell-developmental-cell	2231	112	DEV CELL
Soil Biology & Biochemistry	/Journal/6174/soil-biol-biochem-soil-biology-&-biochemistry	8003	111	SOIL BIOL BIOCHEM
Theoretical and Applied Genetics	/Journal/9373/theor-appl-genet-theoretical-and-applied-genetics	13161	109	THEOR APPL GENET
Global Change Biology	/Journal/6037/glob-change-biol-global-change-biology	2471	109	GLOB CHANGE BIOL
Annual Review of Phytopathology	/Journal/8725/annu-rev-phytopathol-annual-review-of-phytopathology	1365	109	ANNU REV PHYTOPATHOL
Annual Review of Plant Physiology	/Journal/17716/annual-review-of-plant-physiology	725	109	
Systematic Biology	/Journal/6182/syst-biol-systematic-biology	1573	108	SYST BIOL
Journal of Cellular Physiology	/Journal/7724/j-cell-physiol-journal-of-cellular-physiology	10325	107	J CELL PHYSIOL
Bioessays	/Journal/1469/bioessays	4323	107	
Plant Cell and Environment	/Journal/9272/plant-cell-environ-plant-cell-and-environment	4527	106	PLANT CELL ENVIRON
Journal of Molecular Evolution	/Journal/1689/j-mol-evol-journal-of-molecular-evolution	4333	106	J MOL EVOL
Genomics	/Journal/7698/genomics	8276	105	
Journal of Bacteriology	/Journal/7483/j-bacteriol-journal-of-bacteriology	10628	104	J BACTERIOL
Nature Structural Biology	/Journal/1751/nature-struct-biology-nature-structural-biology	2126	104	NATURE STRUCT BIOLOGY
Quarterly Review of Biology	/Journal/1795/quart-rev-biol-quarterly-review-of-biology	28770	101	QUART REV BIOL
American Journal of Medical Genetics	/Journal/7557/amer-j-med-genet-american-journal-of-medical-genetics	15037	101	AMER J MED GENET
Journal of General Virology	/Journal/7487/j-gen-virol-journal-of-general-virology	11726	101	J GEN VIROL
Faseb Journal	/Journal/1599/faseb-j-faseb-journal	5666	101	FASEB J
Proceedings of The Royal Society of London. Series B, Biological Sciences (1934-1990)	/Journal/16866/proceedings-of-the-royal-society-of-london-series-b-biological-sciences-1934-1990	8235	100	
Molecular Psychiatry	/Journal/3369/mol-psychiatr-molecular-psychiatry	2325	100	MOL PSYCHIATR
Current Opinion in Structural Biology	/Journal/1559/curr-opin-struct-biol-current-opinion-in-structural-biology	2314	100	CURR OPIN STRUCT BIOL
Planta	/Journal/9291/planta	14405	98	
Antimicrobial Agents and Chemotherapy	/Journal/7436/antimicrob-agents-chemother-antimicrobial-agents-and-chemotherapy	8364	98	ANTIMICROB AGENTS CHEMOTHER
Current Opinion in Plant Biology	/Journal/8865/curr-opin-plant-biol-current-opinion-in-plant-biology	1507	98	CURR OPIN PLANT BIOL
Fems Microbiology Reviews	/Journal/7464/fems-microbiol-rev-fems-microbiology-reviews	1361	98	FEMS MICROBIOL REV
Biochimica Et Biophysica Acta-biomembranes	/Journal/1444/bba-biomembranes-biochimica-et-biophysica-acta-biomembranes	15720	97	BBA-BIOMEMBRANES
Trends in Microbiology	/Journal/7540/trends-microbiol-trends-in-microbiology	2861	97	TRENDS MICROBIOL
Clinical Microbiology Reviews	/Journal/7451/clin-microbiol-rev-clinical-microbiology-reviews	413	97	CLIN MICROBIOL REV
American Journal of Botany	/Journal/8689/amer-j-bot-american-journal-of-botany	12503	96	AMER J BOT
Plant Molecular Biology	/Journal/9282/plant-mol-biol-plant-molecular-biology	6354	96	PLANT MOL BIOL
Journal of Cell Science	/Journal/7725/j-cell-sci-journal-of-cell-science	4111	96	J CELL SCI
Biological Reviews	/Journal/1481/biol-rev-biological-reviews	1473	96	BIOL REV
Plant and Soil	/Journal/6149/plant-soil-plant-and-soil	13066	95	PLANT SOIL
Journal of Experimental Botany	/Journal/9061/j-exp-bot-journal-of-experimental-botany	9479	95	J EXP BOT
Biotechnology and Bioengineering	/Journal/1510/biotechnol-bioeng-biotechnology-and-bioengineering	12723	94	BIOTECHNOL BIOENG
Development	/Journal/7651/development	4893	94	
Trends in Biotechnology	/Journal/1826/trends-biotech-trends-in-biotechnology	3634	94	TRENDS BIOTECH
Cell Death and Differentiation	/Journal/7601/cell-death-differentiation-cell-death-and-differentiation	2841	94	CELL DEATH DIFFERENTIATION
Protein Science	/Journal/1791/protein-sci-protein-science	6040	93	PROTEIN SCI
Human Gene Therapy	/Journal/7707/hum-gene-ther-human-gene-therapy	3161	93	HUM GENE THER
Bio/technology	/Journal/15295/bio-technology	2188	93	
Molecular and General Genetics	/Journal/7761/mol-gen-genet-molecular-and-general-genetics	14179	92	MOL GEN GENET
Aquaculture	/Journal/8737/aquaculture	13124	92	
Ecology Letters	/Journal/5981/ecol-lett-ecology-letters	1455	92	ECOL LETT
Microbiology and Molecular Biology Reviews	/Journal/7509/microbiol-mol-biol-rev-microbiology-and-molecular-biology-reviews	323	92	MICROBIOL MOL BIOL REV
Microbiology-sgm	/Journal/7512/microbiology-sgm	16563	91	
Nature Reviews Microbiology	/Journal/7519/nat-rev-microbiol-nature-reviews-microbiology	2150	91	NAT REV MICROBIOL
Toxicology and Applied Pharmacology	/Journal/8317/toxicol-appl-pharmacol-toxicology-and-applied-pharmacology	12056	90	TOXICOL APPL PHARMACOL
Human Genetics	/Journal/7708/hum-genet-human-genetics	11606	90	HUM GENET
Heredity	/Journal/7701/heredity	6550	90	
Fems Microbiology Letters	/Journal/7463/fems-microbiol-lett-fems-microbiology-letters	27241	89	FEMS MICROBIOL LETT
Physiologia Plantarum	/Journal/9251/physiol-plant-physiologia-plantarum	13799	89	PHYSIOL PLANT
Freshwater Biology	/Journal/8938/freshwater-biol-freshwater-biology	4059	89	FRESHWATER BIOL
Genome Biology	/Journal/7695/genome-biol-genome-biology	3658	89	GENOME BIOL
Gene Therapy	/Journal/7677/gene-therapy	3293	89	
Current Opinion in Biotechnology	/Journal/1557/curr-opin-biotechnol-current-opinion-in-biotechnology	2835	89	CURR OPIN BIOTECHNOL
Applied Microbiology and Biotechnology	/Journal/7441/appl-microbiol-biotechnol-applied-microbiology-and-biotechnology	11598	88	APPL MICROBIOL BIOTECHNOL
Marine Biology	/Journal/9176/mar-biol-marine-biology	10442	88	MAR BIOL
Behavioral Ecology and Sociobiology	/Journal/8781/behav-ecol-sociobiol-behavioral-ecology-and-sociobiology	4396	87	BEHAV ECOL SOCIOBIOL
Evolution	/Journal/1593/evolution	4026	87	
Phytochemistry	/Journal/9255/phytochemistry	30035	86	
Cell and Tissue Research	/Journal/7614/cell-tissue-res-cell-and-tissue-research	19569	86	CELL TISSUE RES
Annual Review of Biophysics and Biomolecular Structure	/Journal/1431/annu-rev-biophys-biomol-struc-annual-review-of-biophysics-and-biomolecular-structure	566	86	ANNU REV BIOPHYS BIOMOL STRUC
Photochemistry and Photobiology	/Journal/1770/photochem-photobiol-photochemistry-and-photobiology	11020	85	PHOTOCHEM PHOTOBIOL
Transactions of The American Fisheries Society	/Journal/9381/trans-amer-fish-soc-transactions-of-the-american-fisheries-society	10961	85	TRANS AMER FISH SOC
Journal of Medical Genetics	/Journal/3644/j-med-genet-journal-of-medical-genetics	9132	85	J MED GENET
Ecological Modelling	/Journal/5982/ecol-model-ecological-modelling	6852	85	ECOL MODEL
Structure	/Journal/7807/structure	3685	85	
Annual Review of Plant Biology	/Journal/8726/annu-rev-plant-biol-annual-review-of-plant-biology	233	85	ANNU REV PLANT BIOL
Archives of Microbiology	/Journal/7442/arch-microbiol-archives-of-microbiology	11133	84	ARCH MICROBIOL
Metabolism-clinical and Experimental	/Journal/1726/metabolism-metabolism-clinical-and-experimental	10485	83	METABOLISM
Mechanisms of Development	/Journal/7747/mech-develop-mechanisms-of-development	3959	83	MECH DEVELOP
Current Opinion in Microbiology	/Journal/7455/curr-opin-microbiol-current-opinion-in-microbiology	1751	83	CURR OPIN MICROBIOL
Hydrobiologia	/Journal/8965/hydrobiologia	17522	82	
Molecular Phylogenetics and Evolution	/Journal/1743/mol-phylogenet-evol-molecular-phylogenetics-and-evolution	3913	82	MOL PHYLOGENET EVOL
International Journal of Biochemistry & Cell Biology	/Journal/1623/int-j-biochem-cell-biol-international-journal-of-biochemistry-&-cell-biology	3481	82	INT J BIOCHEM CELL BIOL
Biochimica Et Biophysica Acta-reviews on Biomembranes	/Journal/1449/bba-rev-biomembranes-biochimica-et-biophysica-acta-reviews-on-biomembranes	429	82	BBA-REV BIOMEMBRANES
Phytopathology	/Journal/9261/phytopathology	9700	80	
Canadian Journal of Forest Research-revue Canadienne De Recherche Forestiere	/Journal/8833/can-j-forest-res-canadian-journal-of-forest-research-revue-canadienne-de-recherche-forestiere	7571	80	CAN J FOREST RES
Embo Reports	/Journal/7658/embo-rep-embo-reports	2987	80	EMBO REP
Journal of Vegetation Science	/Journal/9131/j-veg-sci-journal-of-vegetation-science	2655	80	J VEG SCI
Deep-sea Research Part I-oceanographic Research Papers	/Journal/8870/deep-sea-res-pt-i-oceanog-res-deep-sea-research-part-i-oceanographic-research-papers	2181	80	DEEP-SEA RES PT I-OCEANOG RES
Theoretical Population Biology	/Journal/7808/theor-pop-biol-theoretical-population-biology	1989	80	THEOR POP BIOL
Cytokine & Growth Factor Reviews	/Journal/7639/cytokine-growth-factor-rev-cytokine-&-growth-factor-reviews	602	80	CYTOKINE GROWTH FACTOR REV
Molecular Biology and Evolution	/Journal/1737/mol-biol-evol-molecular-biology-and-evolution	2145	79	MOL BIOL EVOL
Annual Review of Cell Biology	/Journal/17718/annu-rev-cell-biol-annual-review-of-cell-biology	160	79	ANNU REV CELL BIOL
Biopolymers	/Journal/1496/biopolymers	8863	78	
Molecular Biology of The Cell	/Journal/7751/mol-biol-cell-molecular-biology-of-the-cell	3906	78	MOL BIOL CELL
Journal of Fish Biology	/Journal/9068/j-fish-biol-journal-of-fish-biology	10813	77	J FISH BIOL
Journal of Experimental Zoology	/Journal/9063/j-exp-zool-journal-of-experimental-zoology	10327	77	J EXP ZOOL
Journal of Experimental Marine Biology and Ecology	/Journal/9062/j-exp-mar-biol-ecol-journal-of-experimental-marine-biology-and-ecology	8476	77	J EXP MAR BIOL ECOL
Lipids	/Journal/1716/lipids	7732	77	
Biological Journal of The Linnean Society	/Journal/1478/biol-j-linn-soc-biological-journal-of-the-linnean-society	4068	77	BIOL J LINN SOC
Genetics	/Journal/7693/genetics	3979	77	
Journal of Ecology	/Journal/6079/j-ecol-journal-of-ecology	1585	77	J ECOL
Journal of Clinical Microbiology	/Journal/3524/j-clin-microbiol-journal-of-clinical-microbiology	9665	76	J CLIN MICROBIOL
Toxicological Sciences	/Journal/8322/toxicol-sci-toxicological-sciences	5834	76	TOXICOL SCI
Agriculture Ecosystems & Environment	/Journal/5905/agr-ecosyst-environ-agriculture-ecosystems-&-environment	4885	76	AGR ECOSYST ENVIRON
International Journal for Parasitology	/Journal/7475/int-j-parasitol-international-journal-for-parasitology	5773	75	INT J PARASITOL
Biochimica Et Biophysica Acta-molecular Cell Research	/Journal/7572/bba-mol-cell-res-biochimica-et-biophysica-acta-molecular-cell-research	5687	75	BBA-MOL CELL RES
Molecular Plant-microbe Interactions	/Journal/9190/mol-plant-microbe-interaction-molecular-plant-microbe-interactions	2169	75	MOL PLANT MICROBE INTERACTION
Ecological Monographs	/Journal/5983/ecol-monogr-ecological-monographs	534	75	ECOL MONOGR
Journal of Phycology	/Journal/9105/j-phycol-journal-of-phycology	6093	74	J PHYCOL
Chromosoma	/Journal/7617/chromosoma	5369	74	
Human Mutation	/Journal/7712/hum-mutat-human-mutation	4718	74	HUM MUTAT
Plant Ecology	/Journal/6148/plant-ecol-plant-ecology	4581	74	PLANT ECOL
Integrative and Comparative Biology	/Journal/9000/integr-comp-biol-integrative-and-comparative-biology	3565	74	INTEGR COMP BIOL
Behaviour	/Journal/8783/behaviour	3016	74	
Chemistry & Biology	/Journal/1540/chem-biol-chemistry-&-biology	2669	74	CHEM BIOL
Canadian Journal of Zoology-revue Canadienne De Zoologie	/Journal/8837/can-j-zool-canadian-journal-of-zoology-revue-canadienne-de-zoologie	13331	73	CAN J ZOOL
Proteomics	/Journal/7794/proteomics	4108	73	
Estuaries	/Journal/8899/estuaries	1979	73	
Botanical Review	/Journal/8804/bot-rev-botanical-review	1061	73	BOT REV
Quarterly Reviews of Biophysics	/Journal/1796/quart-rev-biophys-quarterly-reviews-of-biophysics	432	73	QUART REV BIOPHYS
Journal of Applied Microbiology	/Journal/1640/j-appl-microbiol-journal-of-applied-microbiology	9538	72	J APPL MICROBIOL
Drugs	/Journal/8198/drugs	6827	72	
Progress in Biophysics & Molecular Biology	/Journal/7789/prog-biophys-mol-biol-progress-in-biophysics-&-molecular-biology	1013	72	PROG BIOPHYS MOL BIOL
Pharmacogenetics	/Journal/8291/pharmacogenetics	913	72	
Advances in Immunology	/Journal/6602/advan-immunol-advances-in-immunology	386	72	ADVAN IMMUNOL
Toxicology Letters	/Journal/8318/toxicol-lett-toxicology-letters	14780	71	TOXICOL LETT
