Name	Link	NCits_list	NPubs_list	ShortName
Lipids and Lipid Metabolism	/Journal/14322/biochimica-et-biophysica-acta-bba-lipids-and-lipid-metabolism	8078	68	Biochimica Et Biophysica Acta (bba)
Biochimica Et Biophysica Acta-general Subjects	/Journal/1445/bba-gen-subjects-biochimica-et-biophysica-acta-general-subjects	12504	67	BBA-GEN SUBJECTS
Biochimie	/Journal/1463/biochimie	8010	67	
Acta Crystallographica Section D-biological Crystallography	/Journal/1850/acta-crystallogr-d-biol-cryst-acta-crystallographica-section-d-biological-crystallography	4568	67	ACTA CRYSTALLOGR D-BIOL CRYST
Coordination Chemistry Reviews	/Journal/1999/coord-chem-rev-coordination-chemistry-reviews	4074	67	COORD CHEM REV
Scandinavian Journal of Clinical & Laboratory Investigation	/Journal/4252/scand-j-clin-lab-invest-scandinavian-journal-of-clinical-&-laboratory-investigation	8448	66	SCAND J CLIN LAB INVEST
Neurochemistry International	/Journal/8038/neurochem-int-neurochemistry-international	5378	66	NEUROCHEM INT
Tetrahedron	/Journal/2366/tetrahedron	40894	65	
Carbohydrate Research	/Journal/1923/carbohyd-res-carbohydrate-research	17067	64	CARBOHYD RES
Traffic	/Journal/1823/traffic	1327	64	
Molecular and Cellular Endocrinology	/Journal/1740/mol-cell-endocrinol-molecular-and-cellular-endocrinology	7724	63	MOL CELL ENDOCRINOL
Sensors and Actuators B-chemical	/Journal/5813/sensor-actuator-b-chem-sensors-and-actuators-b-chemical	11076	62	SENSOR ACTUATOR B-CHEM
Journal of Aerosol Science	/Journal/2082/j-aerosol-sci-journal-of-aerosol-science	8986	62	J AEROSOL SCI
Molecular and Cellular Biochemistry	/Journal/7757/mol-cell-biochem-molecular-and-cellular-biochemistry	8375	62	MOL CELL BIOCHEM
Bioconjugate Chemistry	/Journal/1902/bioconjugate-chemistry	3330	61	
Free Radical Research	/Journal/1608/free-radical-res-free-radical-research	3015	61	FREE RADICAL RES
Journal of Organic Chemistry	/Journal/2163/j-org-chem-journal-of-organic-chemistry	66292	60	J ORG CHEM
