"CJourID","DomainID","SubDomainID"
"355","2","1"
"356","2","4"
"357","2","4"
"358","2","23"
"358","22","13"
"359","2","5"
"360","2","0"
"361","2","0"
"362","2","9"
"363","2","16"
"364","2","13"
"365","7","16"
"366","2","5"
"367","2","0"
"368","2","4"
"368","2","5"
"369","2","9"
"370","2","20"
"371","2","10"
"372","2","0"
"373","2","11"
"374","2","18"
"375","2","0"
"376","2","15"
"377","2","5"
"377","2","6"
"377","2","8"
"378","2","14"
"379","2","5"
"380","2","5"
"380","2","6"
"381","2","10"
"381","2","11"
"382","2","5"
"384","2","3"
"385","2","0"
"386","2","21"
"387","2","10"
"387","2","12"
"388","2","21"
"389","5","5"
"389","5","16"
"390","2","21"
"391","5","5"
"392","5","5"
"393","2","21"
"394","6","14"
"395","2","5"
"396","2","0"
"397","2","11"
"398","2","3"
"399","2","5"
"400","2","5"
"401","2","3"
"402","2","0"
"402","15","0"
"403","2","10"
"404","2","6"
"405","2","0"
"405","3","7"
"406","2","14"
"407","6","14"
"408","2","0"
"409","6","14"
"410","2","13"
"411","4","8"
"412","2","24"
"413","2","1"
"414","2","10"
"415","2","0"
"416","2","0"
"417","2","14"
"418","2","6"
"419","2","6"
"420","2","0"
"421","2","5"
"423","2","0"
"423","15","0"
"424","2","1"
"425","2","0"
"426","2","5"
"427","2","20"
"428","2","22"
"429","2","4"
"430","2","4"
"431","2","14"
"432","2","0"
"433","2","1"
"434","2","16"
"435","2","13"
"436","2","0"
"437","2","3"
"438","2","0"
"439","2","23"
"441","2","12"
"442","2","14"
"446","2","0"
"448","2","0"
"449","2","17"
"451","2","0"
"452","2","24"
"453","2","4"
"454","2","3"
"455","2","19"
"456","2","21"
"457","2","12"
"458","2","0"
"459","2","12"
"460","2","12"
"462","2","4"
"463","2","23"
"464","2","23"
"465","2","3"
"466","2","0"
"467","2","0"
"468","2","10"
"469","2","12"
"470","2","0"
"471","2","3"
"472","2","0"
"475","2","22"
"476","2","0"
"477","2","0"
"478","2","24"
"479","2","24"
"480","2","2"
"481","2","22"
"482","2","20"
"483","2","0"
"485","2","4"
"486","2","23"
"487","2","15"
"549","2","0"
"652","2","0"
"664","2","22"
"667","2","3"
"669","2","5"
"670","2","13"
"677","2","6"
"694","2","3"
"696","2","14"
"697","2","14"
"698","2","0"
"699","2","0"
"700","2","0"
"701","2","1"
"701","15","1"
"701","15","8"
"702","2","14"
"703","2","13"
"703","2","14"
"704","2","11"
"705","2","7"
"706","2","0"
"707","2","21"
"708","2","0"
"709","2","5"
"710","2","0"
"711","2","7"
"711","2","21"
"712","2","0"
"713","2","0"
"714","2","19"
"715","2","14"
"715","2","16"
"715","2","22"
"716","2","5"
"716","2","7"
"716","2","14"
"717","2","18"
"718","2","22"
"719","2","5"
"720","2","21"
"721","2","5"
"722","2","22"
"723","2","0"
"724","2","0"
"725","2","23"
"726","2","14"
"727","2","0"
"728","2","15"
"729","2","5"
"730","2","14"
"731","2","14"
"732","2","5"
"733","2","14"
"734","2","0"
"735","2","0"
"736","2","20"
"737","2","15"
"738","2","6"
"739","2","14"
"740","2","15"
"741","2","14"
"742","2","4"
"742","2","19"
"743","2","0"
"744","2","5"
"745","2","1"
"746","2","14"
"747","2","0"
"748","2","18"
"749","2","4"
"750","2","1"
"751","2","14"
"752","2","5"
"753","2","0"
"754","2","1"
"755","2","4"
"755","2","18"
"756","2","0"
"757","2","6"
"757","2","7"
"758","2","14"
"759","2","6"
"759","2","7"
"760","2","5"
"761","2","12"
"762","2","1"
"763","2","15"
"764","2","7"
"765","2","13"
"766","2","3"
"766","2","17"
"767","2","14"
"768","2","3"
"769","2","9"
"770","2","2"
"771","2","0"
"772","2","1"
"773","2","24"
"774","2","12"
"775","2","19"
"776","2","14"
"777","2","0"
"778","2","23"
"779","2","9"
"780","2","0"
"781","2","5"
"782","2","5"
"783","2","5"
"784","2","4"
"785","2","14"
"786","2","22"
"786","15","0"
"787","2","4"
"788","2","6"
"789","2","4"
"791","2","1"
"792","2","1"
"793","2","14"
"794","2","22"
"794","15","11"
"795","2","1"
"795","15","1"
"795","15","2"
"795","15","7"
"796","2","22"
"797","2","8"
"798","2","1"
"798","2","22"
"798","15","0"
"799","2","0"
"800","2","1"
"801","2","0"
"802","6","14"
"803","4","0"
"804","2","21"
"805","2","9"
"805","15","0"
"806","2","0"
"807","2","22"
"807","15","0"
"808","2","7"
"808","2","18"
"808","15","9"
"809","2","3"
"810","2","21"
"811","2","22"
"811","19","0"
"812","2","9"
"813","2","11"
"814","2","4"
"815","2","0"
"816","2","10"
"817","2","10"
"818","2","2"
"819","2","0"
"820","2","5"
"821","2","3"
"821","22","3"
"822","2","18"
"823","2","1"
"824","2","0"
"825","2","1"
"825","15","4"
"826","2","0"
"827","2","0"
"828","2","0"
"829","2","5"
"830","7","3"
"831","2","11"
"832","2","10"
"832","2","11"
"833","2","18"
"834","2","3"
"835","2","12"
"836","2","8"
"837","2","1"
"838","2","20"
"839","2","1"
"840","2","1"
"841","2","14"
"842","2","22"
"842","15","0"
"843","2","12"
"844","2","21"
"844","15","0"
"845","2","0"
"846","2","12"
"847","2","3"
"848","2","2"
"849","2","5"
"850","2","13"
"851","2","3"
"852","2","9"
"853","2","5"
"854","2","9"
"855","2","14"
"856","2","0"
"857","2","0"
"858","2","14"
"859","2","14"
"860","2","6"
"861","2","6"
"862","2","6"
"863","2","6"
"864","2","4"
"865","2","14"
"866","2","2"
"867","2","0"
"868","2","6"
"869","2","0"
"870","2","15"
