Key,ShortName,Name,HIndex,Qualis
dblp:conf/dmkd,DMKD (C),,,
dblp:conf/iceccs,ICECCS (C),,24,B1
dblp:journals/sigcse,SIGCSE (J),,,
dblp:conf/iwmm,IWMM (C),,,
dblp:journals/jc,JC (J),,,B1
dblp:conf/bsn,BSN (C),,,
dblp:journals/infsof,INFSOF (J),,,
dblp:journals/ijait,IJAIT (J),,,B3
dblp:journals/network,NETWORK (J),,,A1
dblp:conf/codes,CODES (C),,,
dblp:journals/jsa,JSA (J),,,
dblp:conf/vee,VEE (C),,,
dblp:conf/tamc,TAMC (C),,,
dblp:journals/im,IM (J),,,B1
dblp:journals/aamas,AAMAS (J),,,A2
dblp:conf/amast,AMAST (C),,27,B1
dblp:journals/tomccap,TOMCCAP (J),,,
dblp:conf/ISCApdcs,ISCAPDCS (C),,,
dblp:conf/mss,MSS (C),,,
dblp:journals/tomacs,TOMACS (J),,,
dblp:conf/isw,ISW (C),,,
dblp:conf/haptics,HAPTICS (C),,28,B1
dblp:conf/dood,DOOD (C),,,
dblp:conf/cpm,CPM (C),,33,B1
dblp:conf/grid,GRID (C),,46,A2
dblp:conf/ieaaie,IEAAIE (C),,,
dblp:conf/cbms,CBMS (C),,26,B1
dblp:conf/tacs,TACS (C),,,
dblp:conf/icst,ICST (C),,21,B2
dblp:conf/cse,CSE (C),,8,B4
dblp:conf/waim,WAIM (C),,21,B2
dblp:conf/apgv,APGV (C),,19,B2
dblp:journals/ir,IR (J),,,B1
dblp:conf/pimrc,PIMRC (C),,60,A1
dblp:reference/wiley,WILEY (reference),,,
dblp:journals/jcisd,JCISD (J),,,B1
dblp:conf/eScience,ESCIENCE (C),,22,B1
dblp:conf/nocs,NOCS (C),,28,B1
dblp:journals/ase,ASE (J),,,B2
dblp:journals/cm,CM (J),,,A1
dblp:conf/ppdp,PPDP (C),,32,B1
dblp:journals/ijprai,IJPRAI (J),,,B1
dblp:series/ads,ADS (series),,,
dblp:journals/eswa,ESWA (J),,,A1
dblp:journals/aai,AAI (J),,,B1
dblp:journals/tbe,TBE (J),,,A1
dblp:journals/dlib,DLIB (J),,,
dblp:conf/ca,CA (C),,,
dblp:conf/grc,GRC (C),,,
dblp:conf/icdar,ICDAR (C),,48,A2
dblp:journals/jamia,JAMIA (J),,,A1
dblp:journals/jmiv,JMIV (J),,,B1
dblp:conf/cis,CIS (C),,12,B3
dblp:journals/cpc,CPC (J),,,
dblp:conf/ieeevast,IEEEVAST (C),,,
dblp:conf/dbpl,DBPL (C),,17,B2
dblp:conf/ki,KI (C),,,
dblp:conf/iccps,ICCPS (C),,,
dblp:conf/icarcv,ICARCV (C),,23,B1
dblp:journals/jbcb,JBCB (J),,,B1
dblp:conf/issre,ISSRE (C),,41,A2
dblp:journals/eor,EOR (J),,,A1
dblp:conf/wg,WG (C),,25,B1
dblp:journals/ijar,IJAR (J),,,A2
dblp:conf/group,GROUP (C),,45,A2
dblp:conf/aplas,APLAS (C),,28,B1
dblp:journals/jfr,JFR (J),,,A1
dblp:conf/para,PARA (C),,,
dblp:conf/iat,IAT (C),,25,B1
dblp:conf/dawak,DAWAK (C),,29,B1
dblp:conf/istcs,ISTCS (C),,,
dblp:conf/infovis,INFOVIS (C),,,
dblp:reference/algo,ALGO (reference),,,
dblp:journals/questa,QUESTA (J),,,
dblp:journals/interactions,INTERACTIONS (J),,,B2
dblp:conf/assets,ASSETS (C),,38,A2
dblp:journals/puc,PUC (J),,,B1
dblp:journals/jodl,JODL (J),,,B3
dblp:conf/ifip12,IFIP12 (C),,,
dblp:conf/ewsn,EWSN (C),,37,A2
dblp:conf/ngc,NGC (C),,,
dblp:conf/vmv,VMV (C),,,
dblp:conf/deductive,DEDUCTIVE (C),,,
dblp:conf/iri,IRI (C),,21,B2
dblp:conf/dis,DIS (C),,49,A2
dblp:conf/lfcs,LFCS (C),,12,B3
dblp:conf/sde,SDE (C),,,
dblp:conf/dbsec,DBSEC (C),,,
dblp:journals/compsec,COMPSEC (J),,,
dblp:conf/mig,MIG (C),,,
dblp:conf/acns,ACNS (C),,34,B1
dblp:conf/pkc,PKC (C),,54,A2
dblp:conf/mfps,MFPS (C),,2,B4
dblp:conf/fossacs,FOSSACS (C),,37,A2
dblp:conf/cf,CF (C),,27,B1
dblp:conf/iwcmc,IWCMC (C),,25,B1
dblp:journals/queue,QUEUE (J),,,
dblp:journals/cl,CL (J),,,
dblp:conf/clor,CLOR (C),,,
dblp:conf/tldi,TLDI (C),,,
dblp:journals/dafes,DAFES (J),,,B2
dblp:conf/ispa,ISPA (C),,13,B3
dblp:conf/charme,CHARME (C),,25,B1
dblp:journals/siammax,SIAMMAX (J),,,
dblp:journals/ijisec,IJISEC (J),,,B1
dblp:conf/ctrsa,CTRSA (C),,,
dblp:journals/oopsm,OOPSM (J),,,
dblp:conf/ancs,ANCS (C),,25,B1
dblp:journals/combinatorics,COMBINATORICS (J),,,B2
qualis:j/1950-5701_ideas,IdeAs,,,
dblp:journals/paapp,PAAPP (J),,,B2
dblp:conf/saint,SAINT (C),,32,B1
dblp:journals/ior,IOR (J),,,A1
dblp:conf/ercimdl,ERCIMDL (C),,,
dblp:conf/dna,DNA (C),,10,B4
dblp:journals/jco,JCO (J),,,B1
dblp:journals/jscic,JSCIC (J),,,
dblp:conf/isorc,ISORC (C),,33,B1
dblp:conf/pet,PET (C),,,
dblp:conf/fodo,FODO (C),,,
dblp:journals/mva,MVA (J),,,B1
dblp:journals/grid,GRID (J),,,B1
dblp:conf/asian,ASIAN (C),,,
dblp:journals/air,AIR (J),,,B1
dblp:conf/gpce,GPCE (C),,37,A2
dblp:conf/icsoc,ICSOC (C),,47,A2
dblp:conf/ic,IC (C),,,
dblp:conf/wecwis,WECWIS (C),,,
dblp:conf/hase,HASE (C),,22,B1
dblp:conf/lisa,LISA (C),,,
dblp:conf/cmg,CMG (C),,,
dblp:journals/tcas,TCAS (J),,,
dblp:conf/vstte,VSTTE (C),,,
dblp:journals/speech,SPEECH (J),,,A2
dblp:conf/isvlsi,ISVLSI (C),,29,B1
dblp:conf/ispan,ISPAN (C),,,
dblp:journals/pieee,PIEEE (J),,,A1
dblp:conf/lpar,LPAR (C),,32,B1
dblp:conf/ds,DS (C),,25,B1
dblp:conf/IEEEscc,IEEESCC (C),,,
dblp:conf/ws,WS (C),,,
dblp:journals/csys,CSYS (J),,,
dblp:journals/jea,JEA (J),,,B3
dblp:journals/apin,APIN (J),,,B1
dblp:conf/wmrd,WMRD (C),,,
dblp:conf/icci,ICCI (C),,1,B4
dblp:journals/sigpro,SIGPRO (J),,,A1
dblp:conf/sara,SARA (C),,,
dblp:conf/asunam,ASUNAM (C),,,
dblp:conf/qest,QEST (C),,27,B1
dblp:conf/cec,CEC (C),,27,B1
dblp:conf/securecomm,SECURECOMM (C),,25,B1
dblp:journals/ita,ITA (J),,,
dblp:conf/euc,EUC (C),,20,B2
dblp:journals/bit,BIT (J),,,
dblp:conf/isaim,ISAIM (C),,,
dblp:journals/siamjo,SIAMJO (J),,,A1
dblp:conf/ifipTCS,IFIPTCS (C),,,
dblp:journals/jhsn,JHSN (J),,,B3
dblp:conf/isbra,ISBRA (C),,11,B3
dblp:conf/kes,KES (C),,27,B1
dblp:journals/mam,MAM (J),,,
dblp:conf/icnc,ICNC (C),,5,B4
dblp:journals/simulation,SIMULATION (J),,,B3
dblp:journals/siamco,SIAMCO (J),,,A2
dblp:conf/gd,GD (C),,18,B2
dblp:conf/miar,MIAR (C),,,
dblp:conf/ecir,ECIR (C),,39,A2
dblp:conf/mmns,MMNS (C),,15,B3
dblp:conf/performance,PERFORMANCE (C),,,
dblp:journals/procedia,PROCEDIA (J),,,C 
dblp:conf/hpcc,HPCC (C),,,
dblp:conf/icmas,ICMAS (C),,,
dblp:journals/amc,AMC (J),,,A2
dblp:journals/cor,COR (J),,,
dblp:conf/awoc,AWOC (C),,,
dblp:journals/dse,DSE (J),,,
dblp:conf/dmsn,DMSN (C),,,
dblp:conf/ihi,IHI (C),,6,B4
dblp:journals/join,JOIN (J),,,
dblp:conf/sagt,SAGT (C),,,
dblp:conf/soups,SOUPS (C),,29,B1
dblp:conf/paste,PASTE (C),,,
dblp:conf/icics,ICICS (C),,33,B1
dblp:conf/tools,TOOLS (C),,27,B1
dblp:conf/iopads,IOPADS (C),,,
dblp:journals/sadm,SADM (J),,,B4
dblp:journals/dss,DSS (J),,,A1
dblp:conf/hipeac,HIPEAC (C),,17,B2
dblp:conf/spire,SPIRE (C),,33,B1
dblp:conf/anlp,ANLP (C),,,
dblp:journals/ki,KI (J),,,
dblp:conf/icwn,ICWN (C),,17,B2
dblp:conf/iccsa,ICCSA (C),,27,B1
dblp:journals/crossroads,CROSSROADS (J),,,
dblp:journals/spic,SPIC (J),,,
dblp:journals/jei,JEI (J),,,A2
dblp:conf/igarss,IGARSS (C),,14,B1
dblp:conf/padl,PADL (C),,30,B1
dblp:journals/ijig,IJIG (J),,,B2
dblp:conf/comsnets,COMSNETS (C),,,
dblp:conf/jsspp,JSSPP (C),,32,B1
dblp:conf/cpe,CPE (C),,,
dblp:conf/caise,CAISE (C),,51,A2
dblp:journals/anor,ANOR (J),,,A2
dblp:journals/cse,CSE (J),,,
dblp:conf/mmm,MMM (C),,22,B1
dblp:journals/ijhsc,IJHSC (J),,,
dblp:conf/icic,ICIC (C),,,
dblp:conf/sbbd,SBBD (C),,,
dblp:journals/nc,NC (J),,,
dblp:journals/chinaf,CHINAF (J),,,
dblp:conf/fgcs,FGCS (C),,,
dblp:conf/rex,REX (C),,,
dblp:conf/visapp,VISAPP (C),,14,B3
dblp:conf/coordination,COORDINATION (C),,,
dblp:conf/ma,MA (C),,,
dblp:conf/java,JAVA (C),,,
dblp:journals/ijcis,IJCIS (J),,,B1
dblp:conf/discex,DISCEX (C),,,
dblp:conf/nsf,NSF (C),,,
dblp:conf/lcr,LCR (C),,,
dblp:journals/integration,INTEGRATION (J),,,B2
dblp:journals/ewc,EWC (J),,,B1
dblp:conf/wea,WEA (C),,,
dblp:journals/ngc,NGC (J),,,B2
dblp:conf/caip,CAIP (C),,20,B2
dblp:conf/icdsc,ICDSC (C),,,
dblp:conf/pcrcw,PCRCW (C),,,
dblp:conf/nime,NIME (C),,32,B1
dblp:conf/icdcn,ICDCN (C),,10,B4
dblp:conf/riao,RIAO (C),,,
dblp:journals/ar,AR (J),,,
dblp:journals/tapos,TAPOS (J),,,
dblp:conf/fsr,FSR (C),,4,B4
dblp:conf/cata,CATA (C),,11,B3
dblp:conf/fjcc,FJCC (C),,,
dblp:conf/widm,WIDM (C),,32,B1
dblp:conf/aosd,AOSD (C),,55,A1
dblp:journals/informaticaSI,INFORMATICASI (J),,,B5
dblp:journals/tase,TASE (J),,,
dblp:journals/candc,CANDC (J),,,A2
dblp:conf/prdc,PRDC (C),,23,B1
dblp:conf/aaecc,AAECC (C),,17,B2
dblp:journals/mansci,MANSCI (J),,,B2
dblp:journals/kbs,KBS (J),,,
dblp:conf/ftdcs,FTDCS (C),,,
dblp:conf/iiswc,IISWC (C),,,
dblp:conf/apn,APN (C),,,
dblp:journals/tits,TITS (J),,,
dblp:conf/im,IM (C),,32,B1
dblp:conf/cascon,CASCON (C),,30,B1
dblp:conf/dft,DFT (C),,30,B1
dblp:conf/pdcs,PDCS (C),,5,B3
dblp:conf/candc,CANDC (C),,,
dblp:conf/IEEEcit,IEEECIT (C),,,
dblp:conf/pcm,PCM (C),,,
dblp:journals/jeric,JERIC (J),,,
dblp:conf/hpcn,HPCN (C),,14,B3
dblp:journals/njc,NJC (J),,,
dblp:conf/words,WORDS (C),,24,B1
dblp:journals/jda,JDA (J),,,B3
dblp:conf/icalt,ICALT (C),,35,B1
dblp:conf/dlt,DLT (C),,19,B2
dblp:conf/calco,CALCO (C),,,
dblp:conf/fmoods,FMOODS (C),,28,B1
dblp:conf/iciap,ICIAP (C),,25,B1
dblp:journals/alife,ALIFE (J),,,A2
dblp:conf/re,RE (C),,55,A1
dblp:journals/jnca,JNCA (J),,,B1
dblp:journals/jec,JEC (J),,,B3
dblp:journals/jbi,JBI (J),,,A2
dblp:conf/wimob,WIMOB (C),,23,B1
dblp:conf/cadgraphics,CADGRAPHICS (C),,,
dblp:conf/iwdc,IWDC (C),,,
dblp:conf/ACMicec,ACMICEC (C),,,
dblp:conf/pos,POS (C),,,
dblp:conf/wosp,WOSP (C),,,
dblp:journals/dr,DR (J),,,
dblp:journals/ijhr,IJHR (J),,,
dblp:journals/ijdsn,IJDSN (J),,,B3
dblp:conf/dsl,DSL (C),,5,B4
dblp:journals/jnsm,JNSM (J),,,B3
dblp:conf/icai,ICAI (C),,16,B2
dblp:conf/avss,AVSS (C),,,
dblp:conf/sofsem,SOFSEM (C),,22,B1
dblp:conf/iciss,ICISS (C),,13,B3
dblp:conf/sigplanW,SIGPLANW (C),,,
dblp:conf/waw,WAW (C),,,
dblp:conf/sigada,SIGADA (C),,,
dblp:conf/ishpc,ISHPC (C),,,
dblp:conf/wcre,WCRE (C),,43,A2
dblp:conf/hcw,HCW (C),,,
dblp:journals/ijgt,IJGT (J),,,
dblp:conf/rv,RV (C),,,
dblp:journals/siamnum,SIAMNUM (J),,,A1
dblp:journals/tim,TIM (J),,,A2
dblp:conf/aaim,AAIM (C),,14,B3
dblp:conf/tridentcom,TRIDENTCOM (C),,22,B1
dblp:conf/lpnmr,LPNMR (C),,30,B1
dblp:conf/epia,EPIA (C),,19,B2
dblp:conf/wadt,WADT (C),,,
dblp:conf/webnet,WEBNET (C),,16,B2
dblp:conf/mhci,MHCI (C),,,
dblp:conf/cscl,CSCL (C),,35,B1
dblp:journals/iwc,IWC (J),,,B1
dblp:conf/vlsi,VLSI (C),,,
dblp:conf/eacl,EACL (C),,37,A2
dblp:conf/iccbr,ICCBR (C),,4,B4
dblp:conf/csie,CSIE (C),,,
dblp:conf/saso,SASO (C),,15,B3
dblp:conf/algosensors,ALGOSENSORS (C),,15,B3
dblp:journals/jirs,JIRS (J),,,
dblp:conf/pacs,PACS (C),,,
dblp:journals/tist,TIST (J),,,
dblp:journals/www,WWW (J),,,B1
dblp:conf/eh,EH (C),,,
dblp:conf/wacg,WACG (C),,,
dblp:conf/cpaior,CPAIOR (C),,21,B2
dblp:conf/wh,WH (C),,,
dblp:conf/shape,SHAPE (C),,,
dblp:conf/IEEEicci,IEEEICCI (C),,,
dblp:conf/aintec,AINTEC (C),,,
dblp:conf/sutc,SUTC (C),,,
dblp:journals/taas,TAAS (J),,,B1
dblp:journals/tap,TAP (J),,,B2
dblp:conf/euromicro,EUROMICRO (C),,,
dblp:conf/ceas,CEAS (C),,36,B1
dblp:journals/ieeecc,IEEECC (J),,,
dblp:conf/hpn,HPN (C),,,
dblp:journals/simpra,SIMPRA (J),,,
dblp:conf/iv,IV (C),,32,B1
dblp:conf/pppj,PPPJ (C),,,
dblp:conf/debs,DEBS (C),,21,B2
dblp:journals/jsw,JSW (J),,,B4
dblp:conf/mva,MVA (C),,15,B3
dblp:conf/vast,VAST (C),,24,B1
dblp:conf/ecscw,ECSCW (C),,27,B1
dblp:conf/oodbs,OODBS (C),,,
dblp:journals/bib,BIB (J),,,
dblp:conf/ike,IKE (C),,10,B4
dblp:conf/ecbs,ECBS (C),,29,B1
dblp:conf/sbac-pad,SBAC-PAD (C),,,
dblp:conf/pdp,PDP (C),,27,B1
dblp:conf/dance,DANCE (C),,,
dblp:conf/sccc,SCCC (C),,13,B3
dblp:conf/green,GREEN (C),,,
dblp:journals/tgrs,TGRS (J),,,A1
dblp:conf/apweb,APWEB (C),,20,B2
dblp:conf/cgi,CGI (C),,31,B1
dblp:conf/ilp,ILP (C),,27,B1
dblp:conf/ershov,ERSHOV (C),,,
dblp:conf/mse,MSE (C),,10,B4
dblp:journals/jcsc,JCSC (J),,,B2
dblp:conf/isss2,ISSS2 (C),,,
dblp:conf/wiopt,WIOPT (C),,24,B1
dblp:conf/wicon,WICON (C),,13,B3
dblp:conf/vrml,VRML (C),,,
dblp:conf/icee,ICEE (C),,16,B2
dblp:conf/arcs,ARCS (C),,17,B2
dblp:conf/cloud,CLOUD (C),,19,B2
dblp:reference/robo,ROBO (reference),,,
dblp:conf/iccabs,ICCABS (C),,3,B5
dblp:conf/time,TIME (C),,23,B1
dblp:conf/bpm,BPM (C),,49,A2
dblp:conf/iconip,ICONIP (C),,23,B1
dblp:journals/jetc,JETC (J),,,
dblp:conf/siemens,SIEMENS (C),,,
dblp:journals/bc,BC (J),,,A1
dblp:conf/sss,SSS (C),,,
dblp:journals/transci,TRANSCI (J),,,B2
dblp:journals/jilp,JILP (J),,,
dblp:conf/ersa,ERSA (C),,15,B3
dblp:conf/wrla,WRLA (C),,,
dblp:conf/caap,CAAP (C),,,
dblp:journals/ejwcn,EJWCN (J),,,B1
dblp:conf/iaai,IAAI (C),,14,B2
dblp:conf/wise,WISE (C),,35,B1
dblp:conf/woss,WOSS (C),,,
dblp:conf/ims,IMS (C),,4,B4
dblp:conf/mmsys,MMSYS (C),,11,B3
dblp:conf/nmr,NMR (C),,20,B2
dblp:conf/esec,ESEC (C),,,
dblp:journals/loplas,LOPLAS (J),,,
dblp:conf/isss,ISSS (C),,,
dblp:journals/jgaa,JGAA (J),,,
dblp:conf/scalespace,SCALESPACE (C),,,
dblp:conf/isda,ISDA (C),,16,B2
dblp:conf/vdb,VDB (C),,,
dblp:journals/lmcs,LMCS (J),,,
dblp:conf/atva,ATVA (C),,22,B1
dblp:journals/gc,GC (J),,,B2
qualis:c/_international-conference-computer-supported-cooperative-work-design,International Conference on Computer Supported Cooperative Work in Design,,18,
dblp:journals/moc,MOC (J),,,A2
dblp:conf/pdd,PDD (C),,,
dblp:conf/cibcb,CIBCB (C),,15,B3
dblp:conf/dsrt,DSRT (C),,,
dblp:conf/tic,TIC (C),,,
dblp:conf/icig,ICIG (C),,13,B3
dblp:conf/jcis,JCIS (C),,18,B2
dblp:conf/worm,WORM (C),,36,B1
dblp:journals/ivs,IVS (J),,,B1
dblp:conf/tabletop,TABLETOP (C),,,
dblp:conf/clef,CLEF (C),,16,B2
dblp:journals/nle,NLE (J),,,
dblp:journals/ijwin,IJWIN (J),,,B2
dblp:conf/mpc,MPC (C),,22,B1
dblp:conf/sec,SEC (C),,28,B1
dblp:journals/scpe,SCPE (J),,,
dblp:conf/ica,ICA (C),,,
dblp:journals/csse,CSSE (J),,,
dblp:conf/comsware,COMSWARE (C),,18,B2
dblp:conf/formats,FORMATS (C),,22,B1
dblp:conf/ictd,ICTD (C),,,
dblp:conf/serp,SERP (C),,17,B2
dblp:conf/waoa,WAOA (C),,4,B4
dblp:conf/slt,SLT (C),,16,B2
dblp:conf/slip,SLIP (C),,,
dblp:conf/IEEEcloud,IEEECLOUD (C),,,
dblp:conf/ngits,NGITS (C),,7,B4
dblp:conf/ieeeams,IEEEAMS (C),,,
dblp:conf/fuzzIEEE,FUZZIEEE (C),,,
dblp:conf/bmei,BMEI (C),,7,B4
dblp:journals/cjtcs,CJTCS (J),,,
dblp:conf/its,ITS (C),,17,B2
dblp:conf/qshine,QSHINE (C),,17,B2
dblp:journals/ijsnet,IJSNET (J),,,
dblp:conf/biocomp,BIOCOMP (C),,8,B4
dblp:conf/spw,SPW (C),,5,B4
dblp:conf/hvc,HVC (C),,5,B4
dblp:conf/conpar,CONPAR (C),,,
dblp:conf/dcfs,DCFS (C),,,
dblp:journals/ijsysc,IJSYSC (J),,,A2
dblp:journals/ese,ESE (J),,,A2
dblp:conf/iscope,ISCOPE (C),,,
dblp:conf/iwpc,IWPC (C),,,
dblp:conf/ctcs,CTCS (C),,,
dblp:conf/sacrypt,SACRYPT (C),,,
dblp:conf/ifip10-3,IFIP10-3 (C),,,
dblp:journals/heuristics,HEURISTICS (J),,,A2
dblp:conf/IEEEares,IEEEARES (C),,,
dblp:conf/amfg,AMFG (C),,,
dblp:journals/ftcgv,FTCGV (J),,,
dblp:journals/jolpe,JOLPE (J),,,B2
dblp:conf/xp,XP (C),,20,B2
dblp:journals/jidm,JIDM (J),,,
dblp:conf/coots,COOTS (C),,,
dblp:journals/ansoft,ANSOFT (J),,,A2
dblp:conf/isscc,ISSCC (C),,28,B1
dblp:conf/mobide,MOBIDE (C),,20,B2
dblp:conf/amec,AMEC (C),,,
dblp:journals/ijnm,IJNM (J),,,B3
dblp:conf/jcdkb,JCDKB (C),,,
dblp:journals/aaecc,AAECC (J),,,B2
dblp:conf/bncod,BNCOD (C),,18,B2
dblp:journals/ram,RAM (J),,,
dblp:conf/case,CASE (C),,,
dblp:conf/evoW,EVOW (C),,,
dblp:journals/mcm,MCM (J),,,A2
dblp:journals/geoinformatica,GEOINFORMATICA (J),,,B1
dblp:journals/qic,QIC (J),,,
dblp:conf/wasa,WASA (C),,9,B4
dblp:conf/emeit,EMEIT (C),,,
dblp:journals/aei,AEI (J),,,B1
dblp:journals/eceasst,ECEASST (J),,,
dblp:conf/visual,VISUAL (C),,16,B2
dblp:journals/et,ET (J),,,B2
dblp:journals/ws,WS (J),,,A1
dblp:conf/dnis,DNIS (C),,11,B3
dblp:conf/gcc,GCC (C),,18,B2
dblp:conf/ispw,ISPW (C),,,
dblp:conf/pc,PC (C),,,
dblp:journals/dcc,DCC (J),,,B1
dblp:conf/ifip10-5,IFIP10-5 (C),,,
dblp:conf/icail,ICAIL (C),,26,B1
dblp:conf/his,HIS (C),,18,B2
dblp:conf/icn,ICN (C),,24,B1
dblp:conf/cvbia,CVBIA (C),,,
dblp:journals/cma,CMA (J),,,
dblp:journals/cmig,CMIG (J),,,B1
dblp:conf/icaisc,ICAISC (C),,17,B2
dblp:conf/weis,WEIS (C),,26,B1
dblp:reference/complexity,COMPLEXITY (reference),,,
dblp:conf/amw,AMW (C),,5,B4
dblp:conf/kcap,KCAP (C),,,
dblp:journals/ijbra,IJBRA (J),,,B3
dblp:conf/vecpar,VECPAR (C),,10,B4
dblp:conf/cicling,CICLING (C),,29,B1
dblp:journals/focm,FOCM (J),,,B2
dblp:conf/ftdc,FTDC (C),,,
dblp:conf/icsi,ICSI (C),,,
dblp:conf/zum,ZUM (C),,,
dblp:conf/itng,ITNG (C),,22,B1
dblp:conf/eccb,ECCB (C),,34,B1
dblp:journals/ijahuc,IJAHUC (J),,,
dblp:conf/eurocolt,EUROCOLT (C),,,
dblp:conf/wisec,WISEC (C),,22,B1
dblp:conf/ismvl,ISMVL (C),,21,B2
dblp:conf/eclipse,ECLIPSE (C),,,
dblp:conf/hpts,HPTS (C),,,
dblp:conf/ftrtft,FTRTFT (C),,20,B2
dblp:conf/3dui,3DUI (C),,18,B2
dblp:journals/tplp,TPLP (J),,,B1
dblp:journals/gis,GIS (J),,,A2
dblp:conf/iccc,ICCC (C),,7,B4
dblp:conf/c5,C5 (C),,13,B3
dblp:journals/jcp,JCP (J),,,B4
dblp:conf/wbir,WBIR (C),,,
dblp:conf/isads,ISADS (C),,25,B1
dblp:conf/sigal,SIGAL (C),,,
dblp:conf/idms,IDMS (C),,,
dblp:journals/ijcm,IJCM (J),,,B2
dblp:conf/sigdial,SIGDIAL (C),,15,B2
dblp:conf/c++,C++ (C),,,
dblp:conf/aied,AIED (C),,29,B1
dblp:journals/jsi,JSI (J),,,
dblp:conf/comad,COMAD (C),,,
dblp:journals/csda,CSDA (J),,,
dblp:conf/iqis,IQIS (C),,15,B3
dblp:conf/soca,SOCA (C),,,
dblp:journals/tweb,TWEB (J),,,A2
dblp:journals/ijnsec,IJNSEC (J),,,
dblp:conf/doceng,DOCENG (C),,32,B1
dblp:journals/ijsn,IJSN (J),,,B2
dblp:conf/iva,IVA (C),,30,B1
dblp:conf/jelia,JELIA (C),,30,B1
dblp:conf/apbc,APBC (C),,,
dblp:conf/npc,NPC (C),,12,B3
dblp:conf/cosit,COSIT (C),,29,B1
dblp:conf/nfm,NFM (C),,7,B4
dblp:conf/dsom,DSOM (C),,24,B1
dblp:conf/rsctc,RSCTC (C),,,
dblp:conf/esws,ESWS (C),,,
dblp:conf/iih-msp,IIH-MSP (C),,,
dblp:journals/tec,TEC (J),,,A1
dblp:conf/cisis,CISIS (C),,15,B3
dblp:conf/propertytesting,PROPERTYTESTING (C),,,
dblp:conf/tableaux,TABLEAUX (C),,24,B1
dblp:conf/scm,SCM (C),,,
dblp:conf/icann,ICANN (C),,30,B1
dblp:reference/dataware,DATAWARE (reference),,,
dblp:conf/pricai,PRICAI (C),,,
dblp:conf/ausai,AUSAI (C),,,
dblp:conf/pacific,PACIFIC (C),,,
dblp:journals/mr,MR (J),,,
dblp:conf/imw,IMW (C),,,
dblp:conf/sbm,SBM (C),,14,B3
dblp:conf/tcs,TCS (C),,25,B1
dblp:journals/cie,CIE (J),,,B3
dblp:conf/ACMmsp,ACMMSP (C),,,
dblp:conf/uml,UML (C),,,
dblp:conf/smile,SMILE (C),,,
dblp:conf/nss,NSS (C),,,
dblp:conf/tlca,TLCA (C),,23,B1
dblp:journals/rti,RTI (J),,,A2
dblp:conf/icga,ICGA (C),,,
dblp:journals/ejivp,EJIVP (J),,,
dblp:conf/jcdcg,JCDCG (C),,,
dblp:journals/csl,CSL (J),,,
dblp:conf/recsys,RECSYS (C),,29,B1
dblp:conf/scn,SCN (C),,16,B2
dblp:conf/bcb,BCB (C),,5,B4
dblp:conf/cia,CIA (C),,24,B1
dblp:journals/lre,LRE (J),,,B3
dblp:journals/ejc,EJC (J),,,B1
dblp:conf/mobicase,MOBICASE (C),,5,B4
dblp:conf/vissym,VISSYM (C),,,
dblp:conf/vcip,VCIP (C),,31,B1
dblp:conf/ssr,SSR (C),,3,B4
dblp:journals/jwsr,JWSR (J),,,
dblp:journals/jise,JISE (J),,,B2
dblp:journals/aiedam,AIEDAM (J),,,
dblp:conf/ram,RAM (C),,,
dblp:conf/wscg,WSCG (C),,30,B1
dblp:conf/csse,CSSE (C),,,
dblp:conf/membrane,MEMBRANE (C),,,
dblp:journals/jcamd,JCAMD (J),,,A1
dblp:journals/fss,FSS (J),,,A1
dblp:journals/epodd,EPODD (J),,,
dblp:conf/mas,MAS (C),,,
qualis:j/1941-6016_scholarpedia,Scholarpedia,,,
dblp:conf/um,UM (C),,,
dblp:conf/isa,ISA (C),,,
dblp:conf/vizsec,VIZSEC (C),,23,B1
dblp:reference/gis,GIS (reference),,,
dblp:journals/cbm,CBM (J),,,B1
dblp:conf/sdmw,SDMW (C),,,
dblp:journals/disopt,DISOPT (J),,,B1
dblp:conf/patmos,PATMOS (C),,17,B2
dblp:conf/cie,CIE (C),,16,B2
dblp:conf/adhoc-now,ADHOC-NOW (C),,,
dblp:conf/giscience,GISCIENCE (C),,23,B1
dblp:conf/ACISicis,ACISICIS (C),,,
dblp:journals/jdi,JDI (J),,,B1
dblp:journals/tnsm,TNSM (J),,,
dblp:conf/spc,SPC (C),,,
dblp:conf/xpu,XPU (C),,,
dblp:journals/mt,MT (J),,,B1
dblp:journals/comsur,COMSUR (J),,,A1
dblp:conf/iwan,IWAN (C),,,
dblp:journals/trets,TRETS (J),,,
dblp:journals/ijdar,IJDAR (J),,,B1
dblp:conf/biostec,BIOSTEC (C),,,
dblp:journals/tr,TR (J),,,A2
dblp:conf/wsfm,WSFM (C),,,
dblp:conf/sbrn,SBRN (C),,14,B3
dblp:conf/aiide,AIIDE (C),,19,B2
dblp:conf/ches,CHES (C),,65,A1
dblp:conf/sigdoc,SIGDOC (C),,24,B1
dblp:journals/jot,JOT (J),,,B2
dblp:conf/ants,ANTS (C),,27,B1
dblp:conf/cocoa,COCOA (C),,10,B4
dblp:journals/cscw,CSCW (J),,,B3
dblp:journals/inffus,INFFUS (J),,,B1
dblp:conf/3dic,3DIC (C),,,
dblp:journals/ahswn,AHSWN (J),,,
dblp:journals/ijns,IJNS (J),,,A1
