1680-7324	Atmospheric Chemistry and Physics (Online)	A2	ASTRONOMIA / FÍSICA	Atualizado
1680-7316	Atmospheric Chemistry and Physics (Print)	A2	ASTRONOMIA / FÍSICA	Atualizado
0264-6021	Biochemical Journal (London. 1984)	A2	ASTRONOMIA / FÍSICA	Atualizado
0006-2952	Biochemical Pharmacology	A2	ASTRONOMIA / FÍSICA	Atualizado
0005-2736	Biochimica et Biophysica Acta. Biomembranes	A2	ASTRONOMIA / FÍSICA	Atualizado
0304-4165	Biochimica et Biophysica Acta. G, General Subjects (Print)	A2	ASTRONOMIA / FÍSICA	Atualizado
1367-4803	Bioinformatics (Oxford. Print)	A2	ASTRONOMIA / FÍSICA	Atualizado
1525-7797	Biomacromolecules	A2	ASTRONOMIA / FÍSICA	Atualizado
0006-3495	Biophysical Journal (Print)	A2	ASTRONOMIA / FÍSICA	Atualizado
0956-5663	Biosensors & Bioelectronics	A2	ASTRONOMIA / FÍSICA	Atualizado
1754-6834	Biotechnology for Biofuels	A2	ASTRONOMIA / FÍSICA	Atualizado
0006-4971	Blood (Philadelphia, PA)	A2	ASTRONOMIA / FÍSICA	Atualizado
0007-1188	British Journal of Pharmacology	A2	ASTRONOMIA / FÍSICA	Atualizado
0008-543X	Cancer (Print)	A2	ASTRONOMIA / FÍSICA	Atualizado
0008-5472	Cancer Research (Chicago, Ill.)	A2	ASTRONOMIA / FÍSICA	Atualizado
0008-6223	Carbon (New York)	A2	ASTRONOMIA / FÍSICA	Atualizado
1420-682X	Cellular and Molecular Life Sciences (Printed ed.)	A2	ASTRONOMIA / FÍSICA	Atualizado
1867-3899	ChemCatChem	A2	ASTRONOMIA / FÍSICA	Atualizado
1867-3880	ChemCatChem	A2	ASTRONOMIA / FÍSICA	Atualizado
1359-7345	Chemical Communications (London. 1996. Print)	A2	ASTRONOMIA / FÍSICA	Atualizado
0947-6539	Chemistry - A European Journal	A2	ASTRONOMIA / FÍSICA	Atualizado
1439-4235	ChemPhysChem (Print)	A2	ASTRONOMIA / FÍSICA	Atualizado
1864-5631	ChemSusChem (Weinheim. Print)	A2	ASTRONOMIA / FÍSICA	Atualizado
0264-9381	Classical and Quantum Gravity (Print)	A2	ASTRONOMIA / FÍSICA	Atualizado
0930-7575	Climate Dynamics	A2	ASTRONOMIA / FÍSICA	Atualizado
0010-3616	Communications in Mathematical Physics	A2	ASTRONOMIA / FÍSICA	Atualizado
1528-7483	Crystal Growth & Design	A2	ASTRONOMIA / FÍSICA	Atualizado
1466-8033	CrystEngComm (Cambridge. Online)	A2	ASTRONOMIA / FÍSICA	Atualizado
0929-8673	Current Medicinal Chemistry	A2	ASTRONOMIA / FÍSICA	Atualizado
1477-9226	Dalton Transactions (2003. Print)	A2	ASTRONOMIA / FÍSICA	Atualizado
1359-6446	Drug Discovery Today	A2	ASTRONOMIA / FÍSICA	Atualizado
1388-2481	Electrochemistry Communications	A2	ASTRONOMIA / FÍSICA	Atualizado
1469-221X	EMBO Reports (Print)	A2	ASTRONOMIA / FÍSICA	Atualizado
0160-4120	Environment International	A2	ASTRONOMIA / FÍSICA	Atualizado
