Vkey,Subareas
conf/ictir,"['Information retrieval', 'Knowledge management', 'Machine learning', 'Natural language processing']"
conf/wsdm,"['Data mining', 'Information retrieval', 'Knowledge management', 'World Wide Web']"
conf/cikm,"['Data mining', 'Database', 'Information retrieval', 'Knowledge management']"
conf/sigir,"['Information retrieval', 'Knowledge management', 'Machine learning', 'Theoretical computer science']"
conf/ecir,"['Information retrieval', 'Knowledge management', 'Machine learning', 'Natural language processing']"
journals/tkdd,"['Data mining', 'Data science', 'Database', 'Knowledge management', 'Machine learning']"
conf/trec,"['Data mining', 'Information retrieval']"
journals/sigir,"['Information retrieval', 'Knowledge management', 'Machine learning', 'Natural language processing']"
conf/widm,"['Data science', 'Database', 'Knowledge management', 'World Wide Web']"
journals/ir,"['Data mining', 'Information retrieval', 'Knowledge management']"
conf/sdm,"['Data mining', 'Database', 'Knowledge management', 'Machine learning']"
conf/inex,"['Data science', 'Information retrieval']"
conf/dasfaa,"['Data mining', 'Data science', 'Database', 'Knowledge management']"
journals/vldb,"['Data science', 'Database', 'Information retrieval']"
journals/tois,"['Data mining', 'Information retrieval', 'Knowledge management']"
journals/tist,"['Algorithm', 'Artificial intelligence', 'Theoretical computer science']"
conf/kdd,"['Data mining', 'Database', 'Information retrieval', 'Knowledge management']"
journals/tkde,"['Data mining', 'Data science', 'Knowledge management']"
conf/airs,"['Data mining', 'Information retrieval']"
journals/pvldb,"['Data science', 'Database', 'Information retrieval']"
journals/www,"['Data mining', 'Data science', 'World Wide Web']"
conf/icde,"['Data mining', 'Data science', 'Database']"
conf/edbt,"['Data mining', 'Data science', 'Database']"
conf/icdm,"['Data mining', 'Data science', 'Machine learning', 'Pattern recognition']"
journals/sigkdd,"['Data mining', 'Data science', 'Knowledge management', 'Machine learning']"
conf/pakdd,"['Data mining', 'Database', 'Information retrieval', 'Knowledge management']"
conf/waim,"['Data science', 'Database', 'Information retrieval', 'World Wide Web']"
conf/www,"['Data mining', 'Data science', 'World Wide Web']"
conf/spire,"['Computational biology', 'Information retrieval', 'Pattern recognition']"
conf/adc,"['Data science', 'Database', 'Information retrieval', 'Natural language processing']"
journals/datamine,"['Data mining', 'Knowledge management']"
journals/dpd,"['Database', 'Distributed computing', 'Parallel computing']"
conf/ssd,"['Data science', 'Database']"
journals/kais,"['Information retrieval', 'Knowledge management', 'Multimedia']"
conf/jcdl,"['Data science', 'Database', 'Information retrieval', 'Multimedia', 'Pattern recognition', 'Theoretical computer science']"
conf/apweb,"['Database', 'World Wide Web']"
conf/sigmod,"['Data science', 'Database', 'Information retrieval', 'Parallel computing']"
conf/icwsm,"['Data science', 'Machine learning', 'Multimedia', 'Natural language processing', 'World Wide Web']"
conf/wise,"['Data mining', 'Information retrieval', 'World Wide Web']"
conf/riao,"['Information retrieval', 'Multimedia', 'World Wide Web']"
conf/vldb,"['Data science', 'Database', 'Information retrieval']"
conf/ssdbm,"['Bioinformatics', 'Data mining', 'Data science', 'Database']"
conf/mdm,"['Data science', 'Database']"
journals/dke,"['Data science', 'Knowledge management', 'Pattern recognition']"
conf/dawak,"['Data mining', 'Data science', 'Database', 'Knowledge management']"
conf/clef,"['Data science', 'Information retrieval', 'Theoretical computer science']"
conf/icadl,"['Data science', 'Database', 'Information retrieval', 'Pattern recognition']"
journals/sigmod,"['Data science', 'Database', 'Information retrieval', 'Parallel computing']"
conf/webi,"['Data science', 'Knowledge management', 'World Wide Web']"
conf/pkdd,"['Data mining', 'Data science', 'Information retrieval', 'Knowledge management', 'Machine learning']"
,['']
