,Name,Information retrieval,Information retrieval coef,ndcg pos
109,University of Alabama,11715.0,35.5384615385,0.115932501107
93,City University of New York Grad. Center,10519.0,33.7894736842,0.0
142,Universidade Federal do Rio de Janeiro,16272.0,32.04,0.115167640652
138,Universidade Federal de Mato Grosso do Sul,1476.0,31.9090909091,0.115121158039
20,Harvard University,41768.0,29.1179487179,0.373485166589
60,Florida Institute of Technology,13753.0,16.3235294118,0.113500013558
150,Universidade Federal Fluminense,10264.0,15.4666666667,0.113376384341
136,Universidade Federal do Espírito Santo,7316.0,0.0,0.0
64,University of Kentucky,31318.0,0.0,0.12225074741
130,Universidade do Vale do Rio dos Sinos,2392.0,0.0,0.0
131,Universidade de Fortaleza,5710.0,0.0,0.0
132,Universidade Federal de Campina Grande,6445.0,0.0,0.0
133,Universidade Federal da Bahia,1427.0,0.0,0.0
51,University of Arizona,26872.0,0.0,0.40718995336
55,Georgia State University,17801.0,0.0,0.0
137,Universidade Federal de Pernambuco,24496.0,0.0,0.0
145,Pontifícia Universidade Católica do Paraná,6047.0,0.0,0.0
65,Florida State University,16736.0,0.0,0.152210346713
66,Oklahoma State University Main Campus,5669.0,0.0,0.0
140,Universidade Federal de Santa Catarina,4726.0,0.0,0.0
141,Universidade Federal do Rio Grande de Norte,5074.0,0.0,0.0
149,Universidade Federal do Paraná,9089.0,0.0,0.0
67,Washington State University,23948.0,0.0,0.0
72,University of Georgia,25847.0,0.0,0.0
129,Universidade de São Paulo,9465.0,0.0,0.0
125,University of Southern Mississippi,8071.0,0.0,0.0
127,Universidade Federal de Uberlândia,6620.0,0.0,0.0
44,University of Oklahoma Norman Campus,20114.0,0.0,0.0
36,Yale University,23811.0,0.0,0.190551412427
97,University of New Mexico Main Campus,14270.0,0.0,0.0
98,Syracuse University Main Campus,31146.0,0.0,0.0
99,New Mexico State University Main Campus,10838.0,0.0,0.0
88,University of Oregon,25853.0,0.0,0.0
86,Auburn University,9490.0,0.0,0.0
102,College of William and Mary,9859.0,0.0,0.0
40,University of Connecticut,23540.0,0.0,0.115737459688
30,Penn State University,24613.0,0.0,0.0
106,Texas Tech University,12654.0,0.0,0.0
59,Vanderbilt University,23966.0,0.0,0.0
110,Mississippi State University,13764.0,0.0,0.0
124,Southern Methodist University,8427.0,0.0,0.0
112,University of North Texas,22628.0,0.0,0.0
113,Clemson University,9644.0,0.0,0.0
115,Brigham Young University,21005.0,0.0,0.146081579632
116,Kansas State University,10149.0,0.0,0.0
117,University of Alabama In Huntsville,4471.0,0.0,0.0
79,Kent State University Main Campus,16685.0,0.0,0.0
119,Temple University,35992.0,0.0,0.0
49,University of Virginia,25221.0,0.0,0.484438993212
121,University of Alabama at Birmingham,15543.0,0.0,0.0
50,University of South Florida,21898.0,0.0,0.0
123,Western Michigan University,2947.0,0.0,0.0
78,University of Cincinnati Main Campus,13690.0,0.0,0.0
