,0
267,ETH Zurich 
268,University of Queensland 
269,Rensselaer Polytechnic Institute 
270,Ohio State University Main Campus 
271,Boston University 
272,Northeastern University 
273,Georgetown University 
274,University of Bristol 
275,University of Waterloo 
276,Cornell University 
277,Northeastern University 
278,Oregon State University 
279,Northeastern University 
280,Carnegie Mellon University 
281,University of North Carolina 
282,Kansas State University 
283,Wayne State University 
284,University of Michigan 
285,New York University 
286,Universidade Federal de Minas Gerais 
287,University of Pennsylvania 
288,Columbia University 
289,University of Wisconsin-Madison 
290,University College London 
291,University of Michigan-Ann Arbor 
292,IIT Bombay 
293,University of Oxford 
294,University of California-Irvine 
295,University of Rochester 
296,University of Waikato 
297,University of Alabama at Birmingham 
298,Northwestern University 
299,Florida State University 
300,University of California-Los Angeles 
301,University of California-Los Angeles 
302,Cornell University 
303,Simon Fraser University 
304,University of Massachusetts Amherst 
305,Purdue University Main Campus 
306,University of Maryland College Park 
307,University of Maryland-College Park 
308,University of Minnesota 
309,Temple University 
310,Indiana University at Bloomington 
311,Rutgers University 
312,Harvard University 
313,Purdue University Main Campus 
314,North Dakota State University Main Campus 
315,Washington University in St. Louis 
316,North Dakota State University Main Campus 
317,University of Queensland 
318,Rutgers University 
319,University of Maryland-College Park 
320,North Dakota State University Main Campus 
321,University of Delaware 
322,Vanderbilt University 
323,Technion-Israel Institute of Technology 
324,University of Montreal 
325,Wayne State University 
326,Washington State University 
327,Temple University 
328,Nanyang Technological University 
329,IIT Kanpur 
330,University of Auckland 
331,University of Waterloo 
332,University of Minnesota 
333,University of Toronto 
334,University of Washington 
335,University of Alberta 
336,University of Oklahoma Norman Campus 
337,University of Pittsburgh Pittsburgh Campus 
338,Stony Brook University 
339,Oregon State University 
340,Nanyang Technological University 
341,Universidade Federal de Minas Gerais 
342,University of Toronto 
343,Brigham Young University 
344,University of Chicago 
345,Technion-Israel Institute of Technology 
346,IIIT Hyderabad 
347,Cornell University 
348,Columbia University 
349,University of Massachusetts Amherst 
350,IISc Bangalore 
351,University of Queensland 
352,University of Minnesota 
353,Syracuse University Main Campus 
354,University of Victoria 
355,Arizona State University 
356,Stanford University 
357,College of William and Mary 
358,Harvard University 
359,University of Southern California 
360,Rutgers University 
361,University of California-Los Angeles 
362,University of Wisconsin-Madison 
363,Universidade Federal de Minas Gerais 
364,University of Maryland-Baltimore County 
365,Florida International University 
366,University of Illinois at Chicago 
367,Nanyang Technological University 
368,Cornell University 
369,University of Georgia 
370,Duke University 
371,University College London 
372,University of Rochester 
373,Georgia Institute of Technology 
374,Oregon State University 
375,Arizona State University 
376,IIT Bombay 
377,Old Dominion University 
378,University of California-Davis 
379,University of Minnesota-Twin Cities 
380,IIT Delhi 
381,Vanderbilt University 
382,University of Michigan 
383,Brown University 
384,Universidade Federal de Minas Gerais 
385,Cornell University 
386,Purdue University Main Campus 
387,Washington University in St. Louis 
388,University of Montreal 
389,Universidade Federal de Minas Gerais 
390,Georgia Institute of Technology 
391,Imperial College London 
392,University of Queensland 
393,State University of New York at Albany 
394,Stanford University 
395,Georgia Institute of Technology 
396,University of Michigan 
397,University of California-Irvine 
398,University of Texas at Arlington 
399,IISc Bangalore 
400,IIIT Delhi 
401,University of Florida 
402,Georgia Institute of Technology 
403,Stevens Institute of Technology 
404,Yale University 
405,Carnegie Mellon University 
406,University of Southern California 
407,Arizona State University 
408,Case Western Reserve University 
409,University of South Florida 
410,USP - São Carlos 
411,University of North Carolina 
412,USP - São Carlos 
413,University of Kentucky 
414,Stony Brook University 
415,University of Kent 
416,Purdue University Main Campus 
417,Boise State University 
418,University of Wisconsin-Madison 
419,Cornell University 
420,University of Memphis 
421,George Washington University 
422,IIT Kharagpur 
423,Virginia Commonwealth University 
424,Rutgers University 
425,National University of Singapore 
426,University of Michigan 
427,University of California-Los Angeles 
428,Monash University 
429,University of Nebraska 
430,Columbia University 
431,EPFL 
432,University of Melbourne 
433,Purdue University Main Campus 
434,University of North Carolina at Charlotte 
435,Columbia University 
436,University of Michigan-Ann Arbor 
437,University of Zurich 
438,Stanford University 
439,Oregon State University 
440,University of Adelaide 
441,University of California-Berkeley 
442,University of Oxford 
443,USP - São Carlos 
444,University of Massachusetts Amherst 
445,University of Chicago 
446,University of Michigan 
447,North Carolina State University 
448,University of California-Santa Cruz 
449,University of Texas at Austin 
450,University of Massachusetts Amherst 
451,University of Michigan 
452,Carnegie Mellon University 
453,University of Texas at Dallas 
454,Stony Brook University 
455,Cornell University 
456,Australian National University 
457,Monash University 
458,University of California-Riverside 
459,Rensselaer Polytechnic Institute 
460,Carnegie Mellon University 
461,Carnegie Mellon University 
462,University of Melbourne 
463,Monash University 
464,University of Melbourne 
465,University of Calgary 
466,University of Alberta 
467,University of California-San Diego 
468,University of Massachusetts Amherst 
469,Carleton University 
470,Texas A&M University 
471,Indiana University 
472,Technion-Israel Institute of Technology 
473,IIT Delhi 
474,Indiana University 
475,University of Massachusetts Lowell 
476,Duke University 
477,Cornell University 
478,University of Minnesota 
479,Hebrew University of Jerusalem 
480,Rensselaer Polytechnic Institute 
481,Michigan State University 
482,Bar-Ilan University 
483,University of Alberta 
484,Yale University 
485,State University of New York at Buffalo 
486,Rutgers University 
487,Brown University 
488,University of California-Berkeley 
489,University of Illinois at Urbana-Champaign 
490,ETH Zurich 
491,University of California-San Diego 
492,Purdue University Main Campus 
493,Binghamton University 
494,University of Washington 
495,Stanford University 
496,Universidade Federal de Minas Gerais 
497,University of Massachusetts Amherst 
498,Queen’s University 
499,University of Auckland 
500,University of Pennsylvania 
501,Temple University 
502,University of Alberta 
503,Purdue University Main Campus 
504,University of California-Irvine 
505,Purdue University Main Campus 
506,ETH Zurich 
507,University of California-Santa Barbara 
508,Carnegie Mellon University 
509,Oregon State University 
510,Universidade Federal de Minas Gerais 
511,University of Cambridge 
512,University of Texas at Austin 
513,TU Delft 
514,Purdue University Main Campus 
515,University of Wisconsin-Madison 
516,Athens University of Economics and Business 
517,National University of Singapore 
518,Bar-Ilan University 
519,University of North Carolina 
520,University of Alabama In Huntsville 
521,University of North Texas 
522,Texas A&M University 
523,National University of Singapore 
524,Purdue University Main Campus 
525,University of California-Santa Barbara 
526,University of Calgary 
527,Carnegie Mellon University 
528,University of Cambridge 
529,University of Florida 
530,University of Montreal 
531,University of Notre Dame 
532,Technion-Israel Institute of Technology 
533,Duke University 
534,University of Southern California 
535,Carnegie Mellon University 
536,Georgia Institute of Technology 
537,Brown University 
538,Cornell University 
539,Western University 
540,University of Cambridge 
541,University of Maryland-College Park 
542,Pennsylvania State University 
543,University of Pennsylvania 
544,Imperial College London 
545,National University of Singapore 
546,University College London 
547,Tufts University 
548,Tufts University 
549,Duke University 
550,University of Edinburgh 
551,University of Wisconsin-Madison 
552,Arizona State University 
553,University of Illinois at Urbana-Champaign 
554,University of Washington 
555,University of Minnesota 
556,University of Texas at Arlington 
557,University of California-Irvine 
558,University of British Columbia 
559,Wayne State University 
560,IISc Bangalore 
561,Arizona State University 
562,IIT Hyderabad 
563,University of California-Berkeley 
564,Nanyang Technological University 
565,University of Texas at Dallas 
566,Arizona State University 
567,University of Washington 
568,Bar-Ilan University 
569,Kansas State University 
570,Monash University 
571,ETH Zurich 
572,University of Texas at Austin 
573,Nanyang Technological University 
574,Universidade Federal de Minas Gerais 
575,ETH Zurich 
576,University of Kentucky 
577,Massachusetts Institute of Technology 
578,University of California-Berkeley 
579,University of California-Irvine 
580,Duke University 
581,University of Delaware 
582,University of Alberta 
583,Technion-Israel Institute of Technology 
584,Worcester Polytechnic Institute 
585,Bar-Ilan University 
586,University of Wisconsin-Madison 
587,Washington University in St. Louis 
588,University of New Mexico Main Campus 
589,EPFL 
590,Virginia Commonwealth University 
591,University of North Carolina at Charlotte 
592,New York University 
593,University of Toronto 
594,University of California-Berkeley 
595,University of Adelaide 
596,Boston University 
597,Brown University 
598,USP - São Carlos 
599,University of Southern California 
600,Massachusetts Institute of Technology 
601,University of Florida 
602,Duke University 
