Sigla,Índice-­‐H,Estrato
CONGRESS,1,B5
CoNLL,22,B1
CONQUEST,2,B5
CONTECSI,4,B4
COOLCHIPS,3,B5
COOP,11,B3
CoopIS,22,B1
COSIT,29,B1
CP,48,A2
CPAIOR,21,B2
CPM,33,B1
CRIWG,25,B1
CROWNCOM,24,B1
CRYPTO,92,A1
CSB,34,B1
CSC,5,B4
CSCL,35,B1
CSCLP,5,B4
CSCW,78,A1
CSCWD,18,B2
CSD,5,B4
CSE,8,B4
CSEDU,6,B4
CSEE,2,B5
CSEE&T,19,B2
CSFW,57,A1
CSL,33,B1
CSMR,40,A2
CSNDSP,11,B3
CSO,3,B5
CSREA_EEE,5,B4
CSSW,5,B4
CTAC,2,B4
CTC,2,B5
CTW,8,B4
CVPR,167,A1
CyberGames,2,B5
DAARC,10,B4
DAC,102,A1
DAFX,21,B2
DAIS,18,B2
DALT,10,B4
DARS,25,B1
DAS,22,B1
DASC,13,B3
DASD,4,B4
DASFAA,29,B1
DATE,79,A1
DaWaK,29,B1
DB&IS,1,B5
DBISP2P,6,B4
DBKDA,5,B4
DBPL,17,B2
DBTA,5,B4
DCAI,6,B4
DCC,45,A2
DCCS,1,B5
DCW,11,B3
DDECS,11,B3
DEBS,21,B2
DeLFI,10,B4
DENVECT,1,B5
DEON,14,B3
DepCoS-­‐RELCOMEX,12,B3
DEPEND,7,B4
DesignCon,13,B3
DEXA,34,B1
DFT,30,B1
DGCI,20,B2
DGO,23,B1
DICTAP,3,B5
DIGITEL,11,B3
DIGRA,17,B2
DIMVA,24,B1
DIPES,12,B3
DIS,49,A2
DISC,40,A2
DIWeb,8,B4
DL,36,B1
DLT,19,B2
DMDW,16,B2
DMO,5,B4
DMTCS,21,B2
DNA,10,B4
DNIS,11,B3
DOA,19,B2
DocEng,32,B1
DOLAP,31,B1
DRCN,20,B2
DRM,22,B1
DS,25,B1
DS-­‐RT,20,B2
DSD,27,B1
DSDE,4,B4
DSL,5,B4
DSM,12,B3
DSN,65,A1
DSOM,24,B1
DSP,37,A2
DSS,4,B4
DSSNS,7,B4
DUX,15,B3
DYSPAN,8,B2
E-­‐ACTIVITIES,4,B4
e-­‐Learning,7,B4
E-­‐SCIENCE,2,B5
E2EMON,12,B3
E4MAS,2,B4
EA,11,B3
EACL,37,A2
EAMT,8,B3
EANN,4,B4
EASE,9,B4
EATIS,9,B4
EC,58,A1
EC-­‐TEL,19,B2
ECAI,49,A2
ECAL,27,B1
ECBS,29,B1
ECC,27,B1
ECCB,34,B1
ECCO,3,B5
ECCTD,12,B3
ECCV,95,A1
ECIR,39,A2
ECIS,33,B1
ECKM,7,B4
ECMDA,25,B1
ECML,47,A2
