Sigla,Índice-­‐H,Estrato
RTCOMP,26,B1
RTCSA,26,B1
RTSS,57,A1
RuleApps,3,B5
RULEML,22,B1
S&P,110,A1
SAB,16,B2
SAC,61,A1
SACI,6,B4
SACMAT,55,A1
SAC_A,21,B2
SAFECOMP,22,B1
SAFEProcess,14,B3
SAICSIT,12,B3
SAINT,32,B1
SAM,12,B3
SAME,3,B5
SAMOS,16,B2
SAMT,11,B3
Sandbox,15,B3
SAPIR,4,B4
SARNOFF,15,B3
SAS,48,A2
SASO,15,B3
SASP,8,B4
SAST,3,B5
SAT,32,B1
SAVCBS,7,B4
SBAC-­‐PAD,18,B2
SBAI,7,B4
SBCARS,6,B4
SBCCI,24,B1
SBCM,5,B4
SBCUP,2,B5
SBES,16,B2
SBESC,6,B4
SBGames,7,B4
SBIA,19,B2
SBIE,18,B2
SBLP,13,B3
SBM,14,B3
SBMF,7,B4
SBPO,9,B4
SBQS,11,B3
SBRC,16,B2
SBRN,14,B3
SBRT,6,B4
SBSC,5,B4
SBSE,3,B5
SBSEG,8,B4
SBSI,7,B4
SC,76,A1
SCA,39,A2
SCAM,15,B3
SCAN,7,B4
SCC,33,B1
SCCC,13,B3
SCCI,3,B5
SCN,16,B2
SCOPES,16,B2
SCSC,15,B3
SCW,18,B2
SC_A,21,B2
SDKB,6,B4
SDM,51,A2
SEA,26,B1
SEAA,31,B1
SEAL,11,B3
SEAMS,12,B3
SEAS,5,B4
SEA_A,7,B4
SEBIZ,2,B5
SEC,28,B1
SECIII,2,B5
SECON,30,B1
SECPERU,10,B4
SECRYPT,9,B4
SECURECOMM,25,B1
SECURITY,81,A1
SECURWARE,11,B3
SEDE,5,B4
SEFM,26,B1
SEKE,35,B1
SELMAS,11,B3
SEMAPRO,5,B4
SemDial,3,B5
SemEval,6,B4
SEMISH,9,B4
SemWiki,14,B3
SENSYS,86,A1
SERA,14,B3
SERP,17,B2
SERVICES,16,B2
ServiceWave,9,B4
SESS,7,B4
SEW,20,B2
SForum,1,B5
SGP,7,B4
SIBGRAPI,28,B1
SIES,13,B3
SIGCOMM,145,A1
SIGCSE,53,A2
SIGdial,15,B2
SIGDOC,24,B1
SIGIR,122,A1
SIGITE,15,B3
SIGMETRICS,73,A1
SIGMOD,151,A1
SIGSEM,2,B4
SIIE,6,B4
SIIT,10,B4
SIN,7,B4
SInT,60,A1
SIPS,15,B3
SIROCCO,21,B2
SITE,10,B4
SLE,3,B5
SLS,9,B4
SLT,16,B2
SMAP,9,B4
SMC,19,B2
SMC_A,16,B2
SMI,38,A2
SOAS,8,B4
SOC,10,B4
SOCASE,7,B4
SOCC,20,B2
SoCG,49,A2
SocialCom,10,B4
SOCINFO,4,B4
SOCO,4,B4
SODA,85,A1
SOFSEM,22,B1
SOFTCOMM,8,B4
Softvis,28,B1
SoICT,3,B5
SoMeT,10,B4
SOSE,16,B2
SOSP,71,A1
SOUPS,29,B1
SPAA,46,A2
SPECTS,8,B4
SPICE,3,B4
SPIRE,33,B1
SPL,6,B4
SPLC,43,A2
SPW,5,B4
SQC,2,B5
SQM,7,B4
SRDS,40,A2
SREIS,5,B4
SRUTI,8,B4
SSBSE,7,B4
SSC,5,B4
SSDBM,38,A2
SSI,7,B4
SSIRI,7,B4
SSIRI-­‐C,6,B4
SSPR,25,B1
SSR,3,B4
SSRR,6,B4
SSST,1,B5
SSTD,33,B1
STACS,44,A2
STAIRS,8,B4
STEP,14,B3
STFSSD,4,B4
STIL,5,B4
STOC,100,A1
Storage,28,B1
SugarLoafPlop,3,B5
SUPER,76,A1
SVR,9,B4
SWAP,13,B3
SWAT,26,B1
SWEL,4,B4
SWWS,38,A2
SYROCO,11,B3
T4E,3,B5
TABLEAUX,24,B1
TAC,20,B2
TACAS,68,A1
TAG+,3,B4
TALN,7,B4
TAP,12,B3
TaPP,4,B4
TARK,19,B2
TASE,11,B3
TAU,4,B4
TCC,47,A2
TCGOV,9,B4
TCoB,2,B5
TCS,25,B1
TEAA,5,B4
TEAR,3,B5
TECHEDUCA,4,B4
TEI,25,B1
TEL,1,B5
TES,21,B2
TextGraphs,10,B4
TFP,6,B3
TIDSE,18,B2
TIME,23,B1
TISE,4,B4
TLCA,23,B1
TLT,7,B4
TMRA,1,B5
TOOLS,27,B1
TPDL,34,B1
TPHOLs,35,B1
TREC,51,A2
TRIDENTCOM,22,B1
TRUST,8,B4
TSD,23,B1
UAI,70,A1
UBICOMM,11,B3
UbiComp,70,A1
UCAS,4,B4
UDMS,8,B4
UIC,17,B2
UIST,77,A1
UMAP,35,B1
UNISCON,9,B4
URSW,10,B4
USENIX,67,A1
USITS,31,B1
VAMOS,14,B3
VAST,24,B1
VCIP,31,B1
VDEA,2,B5
VECIMS,4,B4
VECPAR,10,B4
VG,10,B4
VIIP,11,B3
Virtual,10,B4
Vis,4,B4
VISAPP,14,B3
VISUAL,16,B2
VIZSEC,23,B1
VL/HCC,25,B1
VLFM,2,B4
VLSI-­‐DAT,9,B4
VLSI-­‐SOC,15,B3
VLSID,40,A2
VMCAI,40,A2
VMIL,7,B4
VNC,6,B4
VR,40,A2
VRCAI,17,B2
VRCIA,18,B2
VRST,32,B1
VS-­‐Games,7,B4
VSMM,9,B3
VSSN,20,B2
VTC,98,A1
VTS,47,A2
W2GIS,11,B3
W4A,26,B1
WAAMD,4,B4
WABI,34,B1
WAC,6,B4
WACC,3,B5
WACERTS,2,B5
WACV,33,B1
WADS,25,B1
WADS_A,24,B1
WAFR,5,B4
WAIM,21,B2
WAIS,10,B3
WAMCA,1,B5
WAMPS,2,B5
WAOA,4,B4
WASA,9,B4
WASSA,1,B5
WBC,6,B4
WBE,1,B5
WBPM,1,B5
WCAE,6,B4
WCAMA,1,B5
WCCE,8,B4
WCCI,8,B4
WCCM,11,B3
WCGA,4,B4
WCGE,1,B5
WCNC,34,A2
WCOLDE,4,B4
WCRE,43,A2
WCSMO,53,A2
WCW,9,B3
WD,8,B4
WDBC,2,B5
WDDD,10,B4
WDDDM,7,B4
WDL,1,B5
WEAC,3,B5
Web3D,31,B1
WebDB,34,B1
WEBIST,11,B3
WebKDD,4,B4
WEBMEDIA,12,B3
WebNet,16,B2
WebPRES,2,B5
WEED,1,B5
WEI,9,B4
WEIS,26,B1
WER,14,B3
WES,16,B2
WESAAC,1,B5
WETICE,33,B1
WFLP,7,B4
WG,25,B1
WGRS,3,B5
WI,39,A2
WICON,13,B3
WICSA,32,B1
WIDM,32,B1
WIE,11,B3
WIM,4,B4
WiMOB,23,B1
WiOpt,24,B1
WIS,7,B4
WISA,9,B4
WISE,35,B1
WISEC,22,B1
WISM,6,B4
WISP,13,B3
WISTDCS,4,B4
WITS,11,B3
WKDD,10,B4
WMIS,12,B3
WMT,3,B5
WMUTE,14,B3
WOCC,20,B2
WOCN,19,B2
WoLLIC,11,B3
WOMSDE,5,B4
WONS,9,B4
WORDS,24,B1
WORKS,9,B4
WorldHAPTICS,26,B1
WORM,36,B1
WoSAR,4,B4
WoSIDA,1,B5
WoWMoM,6,B3
WP2P,3,B5
WPERFORMANCE,3,B5
WRC,4,B4
WRS,1,B5
WRT,6,B4
WRVA,2,B5
WS-­‐REST,6,B4
WSC,56,A1
WSCAD-­‐SSC,4,B4
WSCG,30,B1
WSDM,35,B1
WSE,20,B2
WSKS,10,B4
WSNA,29,B1
WSOM,9,B4
WSPI,5,B4
WSWED,1,B5
WTF,4,B4
WTI,3,B5
WTS,14,B3
WUWNET,16,B2
WVC,3,B5
WWIC,15,B3
WWW,145,A1
X-­‐Meeting,8,B4
XP,20,B2
XSym,15,B3
