Vkey,Subareas
journals/pvldb,"['Data mining', 'Data science', 'Database']"
journals/vldb,"['Data mining', 'Data science', 'Database']"
conf/cidr,"['Data mining', 'Data science', 'Database']"
conf/sigmod,"['Data mining', 'Data science', 'Database']"
journals/tods,"['Data mining', 'Data science', 'Database']"
journals/debu,"['Data mining', 'Data science', 'Database']"
conf/pods,"['Data mining', 'Database', 'Theoretical computer science']"
conf/webdb,"['Data mining', 'Database', 'World Wide Web']"
conf/vldb,"['Data mining', 'Data science', 'Database']"
conf/icde,"['Data mining', 'Data science', 'Database']"
conf/icdt,"['Data mining', 'Database', 'Theoretical computer science']"
journals/sigmod,"['Data mining', 'Data science', 'Database']"
conf/edbt,"['Data mining', 'Data science', 'Database']"
conf/ssd,"['Data science', 'Database']"
conf/ssdbm,"['Data mining', 'Data science', 'Database']"
journals/tkde,"['Data mining', 'Database', 'Knowledge management']"
journals/dpd,"['Database', 'Distributed computing']"
journals/tkdd,"['Data mining', 'Knowledge management', 'Machine learning']"
conf/comad,"['Data mining', 'Database', 'World Wide Web']"
conf/dasfaa,"['Data mining', 'Database', 'Knowledge management']"
journals/www,"['Information retrieval', 'Knowledge management', 'World Wide Web']"
conf/btw,"['Database', 'Knowledge management', 'World Wide Web']"
conf/sdm,"['Data mining', 'Database', 'Machine learning']"
conf/kdd,"['Data mining', 'Database', 'Machine learning']"
journals/is,"['Data mining', 'Database', 'Knowledge management']"
journals/dbsk,"['Computer security', 'Database']"
journals/sigkdd,"['Data mining', 'Database', 'Machine learning']"
conf/cikm,"['Data mining', 'Database', 'Knowledge management']"
journals/datamine,"['Artificial intelligence', 'Data mining', 'Machine learning']"
conf/waim,"['Information retrieval', 'Knowledge management', 'World Wide Web']"
conf/adc,"['Data mining', 'Data science', 'Database']"
conf/dbsec,"['Computer security', 'Database']"
conf/gis,"['Database', 'Information retrieval', 'World Wide Web']"
conf/wsdm,"['Data mining', 'Database', 'World Wide Web']"
conf/mdm,"['Computer network', 'Database', 'Telecommunications']"
conf/ideas,"['Database', 'Knowledge management']"
journals/geoinformatica,"['Database', 'Information retrieval', 'World Wide Web']"
journals/tois,"['Information retrieval', 'Knowledge management', 'World Wide Web']"
conf/icdm,"['Data mining', 'Knowledge management', 'Machine learning']"
journals/kais,"['Database', 'Knowledge management', 'Natural language processing']"
conf/dawak,"['Data mining', 'Data science', 'Database']"
journals/jiis,"['Artificial intelligence', 'Cognitive science', 'Knowledge management']"
journals/dke,"['Data science', 'Database', 'Knowledge management']"
conf/www,"['Information retrieval', 'Knowledge management', 'World Wide Web']"
journals/csur,"['Algorithm', 'Computer architecture', 'Theoretical computer science']"
conf/wise,"['Knowledge management', 'Natural language processing', 'World Wide Web']"
journals/jacm,"['Algorithm', 'Mathematical optimization', 'Theoretical computer science']"
journals/jcss,"['Algorithm', 'Knowledge management', 'Theoretical computer science']"
conf/icdcs,"['Computer network', 'Distributed computing', 'Operating system']"
conf/er,"['Database', 'Knowledge management']"
,['']
